ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,safety_md,all_td,scoring,sacks,tackles_solo,tackles_assists,def_int,def_int_yds,def_int_td
1,2005,2005-09-11,1,22.173,CAR,,NOR,L 20-23,*,,,,,,,,,,,,,
2,2005,2005-09-18,2,22.180,CAR,,NWE,W 27-17,,0,0,,0,,0,0,1.0,,,0,0,0
3,2005,2005-09-25,3,22.187,CAR,@,MIA,L 24-27,,,,,,,,,,,,,,
4,2005,2005-10-03,4,22.195,CAR,,GNB,W 32-29,,,,,,,,,,,,,,
5,2005,2005-10-09,5,22.201,CAR,@,ARI,W 24-20,,,,,,,,,,,,,,
6,2005,2005-10-16,6,22.208,CAR,@,DET,W 21-20,,,,,,,,,,,,,,
7,2005,2005-10-30,7,22.222,CAR,,MIN,W 38-13,,,,,,,,,,,,,,
8,2005,2005-11-06,8,22.229,CAR,@,TAM,W 34-14,,,,,,,,,,,,,,
9,2005,2005-11-13,9,22.236,CAR,,NYJ,W 30-3,,,,,,,,,,,,,,
10,2005,2005-11-20,10,22.243,CAR,@,CHI,L 3-13,,,,,,,,,,,,,,
11,2005,2005-11-27,11,22.250,CAR,@,BUF,W 13-9,,,,,,,,,,,,,,
12,2005,2005-12-04,12,22.257,CAR,,ATL,W 24-6,,0,0,,0,,0,0,0.5,,,0,0,0
13,2005,2005-12-11,13,22.264,CAR,,TAM,L 10-20,,,,,,,,,,,,,,
14,2005,2005-12-18,14,22.271,CAR,@,NOR,W 27-10,,,,,,,,,,,,,,
15,2005,2005-12-24,15,22.277,CAR,,DAL,L 20-24,,,,,,,,,,,,,,
16,2005,2006-01-01,16,22.285,CAR,@,ATL,W 44-11,,,,,,,,,,,,,,
17,2006,2006-09-10,1,23.172,CAR,,ATL,L 6-20,*,,,,,,,,,,,,,
18,2006,2006-09-17,2,23.179,CAR,@,MIN,L 13-16,*,,,,,,,,,,,,,
19,2006,2006-09-24,3,23.186,CAR,@,TAM,W 26-24,*,,,,,,,,,,,,,
20,2006,2006-10-01,4,23.193,CAR,,NOR,W 21-18,*,,,,,,,,,,,,,
21,2006,2006-10-08,5,23.200,CAR,,CLE,W 20-12,*,,,,,,,,,,,,,
22,2006,2006-10-15,6,23.207,CAR,@,BAL,W 23-21,*,,,,,,,,,,,,,
23,2006,2006-10-29,8,23.221,CAR,,DAL,L 14-35,*,,,,,,,,,,,,,
24,2006,2006-11-13,9,23.236,CAR,,TAM,W 24-10,*,,,,,,,,,,,,,
25,2006,2006-11-19,10,23.242,CAR,,STL,W 15-0,*,0,0,,0,,0,0,1.5,,,0,0,0
26,2006,2006-11-26,11,23.249,CAR,@,WAS,L 13-17,*,,,,,,,,,,,,,
27,2006,2006-12-04,12,23.257,CAR,@,PHI,L 24-27,*,,,,,,,,,,,,,
28,2006,2006-12-10,13,23.263,CAR,,NYG,L 13-27,*,,,,,,,,,,,,,
29,2006,2006-12-17,14,23.270,CAR,,PIT,L 3-37,*,,,,,,,,,,,,,
30,2006,2006-12-24,15,23.277,CAR,@,ATL,W 10-3,*,,,,,,,,,,,,,
31,2007,2007-09-09,1,24.171,CAR,@,STL,W 27-13,*,,,,,,,,,,,,,
32,2007,2007-09-16,2,24.178,CAR,,HOU,L 21-34,*,,,,,,,,,,,,,
33,2007,2007-09-23,3,24.185,CAR,@,ATL,W 27-20,*,,,,,,,,,,,,,
34,2007,2007-09-30,4,24.192,CAR,,TAM,L 7-20,*,,,,,,,,,,,,,
35,2007,2007-10-07,5,24.199,CAR,@,NOR,W 16-13,*,,,,,,,,,,,,,
36,2007,2007-10-14,6,24.206,CAR,@,ARI,W 25-10,*,,,,,,,,,,,,,
37,2007,2007-10-28,7,24.220,CAR,,IND,L 7-31,*,0,0,,0,,0,0,1.0,,,0,0,0
38,2007,2007-11-04,8,24.227,CAR,@,TEN,L 7-20,*,,,,,,,,,,,,,
39,2007,2007-11-11,9,24.234,CAR,,ATL,L 13-20,*,,,,,,,,,,,,,
