ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,rush_att,rush_yds,rush_yds_per_att,rush_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,two_pt_md,all_td,scoring,sacks,tackles_solo,tackles_assists
1,2004,2004-09-12,1,22.086,ATL,@,SFO,W 21-19,,,,,,,0.0%,,,,,,,,,,,,,,,
2,2004,2004-09-19,2,22.093,ATL,,STL,W 34-17,,,,,,,0.0%,,,,,,,,,,,,,,,
3,2004,2004-09-26,3,22.100,ATL,,ARI,W 6-3,,1,,,,,0.0%,,,,,,,,,,,,,,,
4,2004,2004-10-03,4,22.107,ATL,@,CAR,W 27-10,,0,,,,,0.0%,,,,,,,,,,,,,,,
5,2004,2004-10-10,5,22.114,ATL,,DET,L 10-17,,0,,,,,0.0%,,,,,,,,,,,,,,,
6,2004,2004-10-17,6,22.121,ATL,,SDG,W 21-20,,,,,,,0.0%,,,,,,,,,,,,,,,
7,2004,2004-10-24,7,22.128,ATL,@,KAN,L 10-56,,,,,,,0.0%,,,,,,,,,,,,,,,
8,2004,2004-10-31,8,22.135,ATL,@,DEN,W 41-28,,1,1,46,46.00,0,100.0%,46.00,1,2,2.00,0,0,0,,0,,0,0,0.0,,
9,2004,2004-11-14,9,22.149,ATL,,TAM,W 24-14,,1,,,,,0.0%,,,,,,,,,,,,,,,
10,2004,2004-11-21,10,22.156,ATL,@,NYG,W 14-10,,0,,,,,0.0%,,,,,,,,,,,,,,,
11,2004,2004-11-28,11,22.163,ATL,,NOR,W 24-21,,1,,,,,0.0%,,,,,,,,,,,,,,,
12,2004,2004-12-05,12,22.170,ATL,@,TAM,L 0-27,,3,1,23,23.00,0,33.3%,7.67,0,0,,0,0,0,,0,,0,0,0.0,,
13,2004,2004-12-12,13,22.177,ATL,,OAK,W 35-10,,3,2,20,10.00,0,66.7%,6.67,0,0,,0,0,0,,0,,0,0,0.0,,
14,2004,2004-12-18,14,22.183,ATL,,CAR,W 34-31,,1,1,22,22.00,0,100.0%,22.00,0,0,,0,0,0,,0,,0,0,0.0,,
15,2004,2004-12-26,15,22.191,ATL,@,NOR,L 13-26,,6,,,,,0.0%,,,,,,,,,,,,,,,
16,2004,2005-01-02,16,22.198,ATL,@,SEA,L 26-28,,3,2,8,4.00,0,66.7%,2.67,0,0,,0,0,0,,0,,0,0,0.0,,
17,2005,2005-09-12,1,23.086,ATL,,PHI,W 14-10,*,4,3,80,26.67,0,75.0%,20.00,0,0,,0,0,0,,0,,0,0,0.0,,
18,2005,2005-09-18,2,23.092,ATL,@,SEA,L 18-21,*,6,1,22,22.00,0,16.7%,3.67,0,0,,0,0,0,,0,,0,0,0.0,,
19,2005,2005-09-25,3,23.099,ATL,@,BUF,W 24-16,*,5,4,48,12.00,1,80.0%,9.60,0,0,,0,1,4,4.00,0,,1,6,0.0,,
20,2005,2005-10-02,4,23.106,ATL,,MIN,W 30-10,*,1,1,12,12.00,0,100.0%,12.00,0,0,,0,0,0,,0,,0,0,0.0,,
21,2005,2005-10-09,5,23.113,ATL,,NWE,L 28-31,*,10,3,55,18.33,0,30.0%,5.50,0,0,,0,0,0,,0,,0,0,0.0,,
22,2005,2005-10-16,6,23.120,ATL,@,NOR,W 34-31,,3,2,24,12.00,0,66.7%,8.00,0,0,,0,0,0,,0,,0,0,0.0,,
23,2005,2005-10-24,7,23.128,ATL,,NYJ,W 27-14,*,5,1,8,8.00,0,20.0%,1.60,0,0,,0,0,0,,0,,0,0,0.0,,
24,2005,2005-11-20,10,23.155,ATL,,TAM,L 27-30,*,8,5,69,13.80,1,62.5%,8.63,0,0,,0,0,0,,0,,1,6,0.0,,
25,2005,2005-11-24,11,23.159,ATL,@,DET,W 27-7,*,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,,0,0,0.0,,
26,2005,2005-12-04,12,23.169,ATL,@,CAR,L 6-24,*,8,3,32,10.67,0,37.5%,4.00,0,0,,0,0,0,,0,,0,0,0.0,,
27,2005,2005-12-12,13,23.177,ATL,,NOR,W 36-17,*,4,3,33,11.00,0,75.0%,8.25,0,0,,0,0,0,,0,,0,0,0.0,,
28,2005,2005-12-18,14,23.183,ATL,@,CHI,L 3-16,*,5,1,11,11.00,0,20.0%,2.20,0,0,,0,0,0,,0,,0,0,0.0,,
29,2005,2005-12-24,15,23.189,ATL,@,TAM,L 24-27,*,6,4,54,13.50,1,66.7%,9.00,0,0,,0,0,0,,0,,1,6,0.0,,
30,2005,2006-01-01,16,23.197,ATL,,CAR,L 11-44,,5,5,60,12.00,0,100.0%,12.00,0,0,,0,2,15,7.50,0,,0,0,0.0,,
31,2006,2006-09-10,1,24.084,ATL,@,CAR,W 20-6,*,5,3,77,25.67,1,60.0%,15.40,0,0,,0,0,0,,0,,1,6,0.0,,
32,2006,2006-09-17,2,24.091,ATL,,TAM,W 14-3,*,4,2,14,7.00,0,50.0%,3.50,0,0,,0,0,0,,0,,0,0,0.0,,
33,2006,2006-09-25,3,24.099,ATL,@,NOR,L 3-23,*,6,2,23,11.50,0,33.3%,3.83,0,0,,0,0,0,,0,,0,0,0.0,,
34,2006,2006-10-01,4,24.105,ATL,,ARI,W 32-10,*,6,3,28,9.33,0,50.0%,4.67,0,0,,0,0,0,,0,,0,0,0.0,,
35,2006,2006-10-15,5,24.119,ATL,,NYG,L 14-27,*,6,3,30,10.00,0,50.0%,5.00,0,0,,0,0,0,,0,,0,0,0.0,,
36,2006,2006-10-22,6,24.126,ATL,,PIT,W 41-38,*,4,2,25,12.50,1,50.0%,6.25,0,0,,0,0,0,,0,,1,6,0.0,,
37,2006,2006-10-29,7,24.133,ATL,@,CIN,W 29-27,*,4,3,53,17.67,1,75.0%,13.25,0,0,,0,0,0,,0,,1,6,0.0,,
38,2006,2006-11-05,8,24.140,ATL,@,DET,L 14-30,*,7,3,26,8.67,0,42.9%,3.71,0,0,,0,0,0,,0,,0,0,0.0,,
39,2006,2006-11-12,9,24.147,ATL,,CLE,L 13-17,*,9,2,17,8.50,1,22.2%,1.89,0,0,,0,0,0,,0,,1,6,0.0,,
40,2006,2006-11-19,10,24.154,ATL,@,BAL,L 10-24,*,5,3,23,7.67,1,60.0%,4.60,0,0,,0,0,0,,0,,1,6,0.0,,
41,2006,2006-11-26,11,24.161,ATL,,NOR,L 13-31,*,5,2,6,3.00,0,40.0%,1.20,0,0,,0,0,0,,0,,0,0,0.0,,
42,2006,2006-12-03,12,24.168,ATL,@,WAS,W 24-14,*,5,4,43,10.75,1,80.0%,8.60,0,0,,0,0,0,,0,,1,6,0.0,,
43,2006,2006-12-10,13,24.175,ATL,@,TAM,W 17-6,*,4,1,6,6.00,0,25.0%,1.50,0,0,,0,0,0,,0,,0,0,0.0,,
44,2006,2006-12-16,14,24.181,ATL,,DAL,L 28-38,*,4,3,37,12.33,1,75.0%,9.25,0,0,,0,0,0,,0,,1,6,0.0,,
45,2006,2006-12-24,15,24.189,ATL,,CAR,L 3-10,*,4,1,9,9.00,0,25.0%,2.25,1,2,2.00,0,0,0,,0,,0,0,0.0,,
46,2006,2006-12-31,16,24.196,ATL,@,PHI,L 17-24,*,5,2,19,9.50,0,40.0%,3.80,0,0,,0,0,0,,0,,0,0,0.0,,
47,2007,2007-09-09,1,25.083,ATL,@,MIN,L 3-24,,4,2,13,6.50,0,50.0%,3.25,0,0,,0,0,0,,0,,0,0,0.0,,
48,2007,2007-09-16,2,25.090,ATL,@,JAX,L 7-13,,1,1,15,15.00,0,100.0%,15.00,0,0,,0,0,0,,0,,0,0,0.0,,
49,2007,2007-09-23,3,25.097,ATL,,CAR,L 20-27,*,8,6,76,12.67,0,75.0%,9.50,0,0,,0,0,0,,0,,0,0,0.0,,
50,2007,2007-09-30,4,25.104,ATL,,HOU,W 26-16,*,6,6,64,10.67,2,100.0%,10.67,0,0,,0,0,0,,0,,2,12,0.0,,
51,2007,2007-10-07,5,25.111,ATL,@,TEN,L 13-20,,5,1,2,2.00,0,20.0%,0.40,0,0,,0,0,0,,0,,0,0,0.0,,
52,2007,2007-10-15,6,25.119,ATL,,NYG,L 10-31,,6,2,23,11.50,0,33.3%,3.83,0,0,,0,0,0,,0,,0,0,0.0,,
53,2007,2007-10-21,7,25.125,ATL,@,NOR,L 16-22,,9,6,69,11.50,0,66.7%,7.67,0,0,,0,0,0,,0,,0,0,0.0,,
54,2007,2007-11-04,8,25.139,ATL,,SFO,W 20-16,*,5,2,31,15.50,0,40.0%,6.20,0,0,,0,0,0,,0,,0,0,0.0,,
55,2007,2007-11-11,9,25.146,ATL,@,CAR,W 20-13,*,2,1,6,6.00,0,50.0%,3.00,0,0,,0,0,0,,0,,0,0,0.0,,
56,2007,2007-11-18,10,25.153,ATL,,TAM,L 7-31,*,11,9,73,8.11,0,81.8%,6.64,0,0,,0,0,0,,0,,0,0,0.0,,
57,2007,2007-11-22,11,25.157,ATL,,IND,L 13-31,,3,1,9,9.00,0,33.3%,3.00,0,0,,0,0,0,,0,,0,0,0.0,,
58,2007,2007-12-02,12,25.167,ATL,@,STL,L 16-28,*,8,5,48,9.60,1,62.5%,6.00,0,0,,0,0,0,,0,,1,6,0.0,,
59,2007,2007-12-10,13,25.175,ATL,,NOR,L 14-34,,14,9,83,9.22,1,64.3%,5.93,0,0,,0,0,0,,0,,1,6,0.0,,
60,2007,2007-12-16,14,25.181,ATL,@,TAM,L 3-37,,2,1,5,5.00,0,50.0%,2.50,0,0,,0,0,0,,0,,0,0,0.0,,
61,2007,2007-12-23,15,25.188,ATL,@,ARI,L 27-30,,1,1,15,15.00,0,100.0%,15.00,0,0,,0,0,0,,0,,0,0,0.0,,
62,2008,2008-09-07,1,26.081,ATL,,DET,W 34-21,*,2,1,62,62.00,1,50.0%,31.00,0,0,,0,0,0,,0,,1,6,0.0,0,0
63,2008,2008-09-14,2,26.088,ATL,@,TAM,L 9-24,*,7,,,,,0.0%,,,,,,,,,,,,,,,
64,2008,2008-09-21,3,26.095,ATL,,KAN,W 38-14,*,4,2,19,9.50,0,50.0%,4.75,0,0,,0,0,0,,0,,0,0,0.0,0,0
65,2008,2008-09-28,4,26.102,ATL,@,CAR,L 9-24,,5,3,32,10.67,0,60.0%,6.40,0,0,,0,0,0,,0,,0,0,0.0,0,0
66,2008,2008-10-05,5,26.109,ATL,@,GNB,W 27-24,*,5,3,38,12.67,0,60.0%,7.60,0,0,,0,0,0,,0,,0,0,0.0,0,0
67,2008,2008-10-12,6,26.116,ATL,,CHI,W 22-20,*,5,4,58,14.50,0,80.0%,11.60,0,0,,0,0,0,,0,,0,0,0.0,0,0
68,2008,2008-10-26,7,26.130,ATL,@,PHI,L 14-27,,6,3,50,16.67,0,50.0%,8.33,0,0,,0,0,0,,0,,0,0,0.0,0,0
69,2008,2008-11-02,8,26.137,ATL,@,OAK,W 24-0,,3,2,64,32.00,2,66.7%,21.33,0,0,,0,0,0,,0,,2,12,0.0,0,0
70,2008,2008-11-09,9,26.144,ATL,,NOR,W 34-20,,6,6,72,12.00,0,100.0%,12.00,0,0,,0,0,0,,0,,0,0,0.0,0,0
71,2008,2008-11-16,10,26.151,ATL,,DEN,L 20-24,*,6,5,55,11.00,0,83.3%,9.17,0,0,,0,0,0,,0,,0,0,0.0,0,0
72,2008,2008-11-23,11,26.158,ATL,,CAR,W 45-28,*,6,4,48,12.00,0,66.7%,8.00,0,0,,0,0,0,,0,,0,0,0.0,0,0
73,2008,2008-11-30,12,26.165,ATL,@,SDG,W 22-16,*,3,1,22,22.00,0,33.3%,7.33,0,0,,0,0,0,,0,,0,0,0.0,0,0
74,2008,2008-12-07,13,26.172,ATL,@,NOR,L 25-29,*,5,5,69,13.80,0,100.0%,13.80,0,0,,0,0,0,,0,1,0,2,0.0,0,0
75,2008,2008-12-14,14,26.179,ATL,,TAM,W 13-10,*,4,3,55,18.33,0,75.0%,13.75,0,0,,0,0,0,,0,,0,0,0.0,0,0
76,2008,2008-12-21,15,26.186,ATL,@,MIN,W 24-17,*,8,4,61,15.25,0,50.0%,7.63,0,0,,0,0,0,,0,,0,0,0.0,0,0
77,2008,2008-12-28,16,26.193,ATL,,STL,W 31-27,*,6,4,72,18.00,0,66.7%,12.00,0,0,,0,0,0,,0,,0,0,0.0,0,0
