ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,def_int,def_int_yds,def_int_td
1,1997,1997-12-01,13,24.039,GNB,@,MIN,W 27-11,,,,
2,1998,1998-12-20,15,25.058,JAX,@,MIN,L 10-50,,,,
3,1998,1998-12-28,16,25.066,JAX,,PIT,W 21-3,,,,
4,1999,1999-09-12,1,25.324,JAX,,SFO,W 41-3,,,,
5,1999,1999-09-19,2,25.331,JAX,@,CAR,W 22-20,,,,
6,1999,1999-09-26,3,25.338,JAX,,TEN,L 19-20,,,,
7,1999,1999-10-03,4,25.345,JAX,@,PIT,W 17-3,,,,
8,1999,1999-10-11,5,25.353,JAX,@,NYJ,W 16-6,,1,26,0
9,1999,1999-10-17,6,25.359,JAX,,CLE,W 24-7,,,,
10,1999,1999-10-31,7,26.008,JAX,@,CIN,W 41-10,,,,
11,1999,1999-11-07,8,26.015,JAX,@,ATL,W 30-7,,,,
12,1999,1999-11-14,9,26.022,JAX,,BAL,W 6-3,,,,
13,1999,1999-11-21,10,26.029,JAX,,NOR,W 41-23,,,,
14,1999,1999-11-28,11,26.036,JAX,@,BAL,W 30-23,,,,
15,1999,1999-12-02,12,26.040,JAX,,PIT,W 20-6,,,,
16,1999,1999-12-13,13,26.051,JAX,,DEN,W 27-24,,,,
17,1999,1999-12-19,14,26.057,JAX,@,CLE,W 24-14,,,,
18,1999,1999-12-26,15,26.064,JAX,@,TEN,L 14-41,,,,
19,1999,2000-01-02,16,26.071,JAX,,CIN,W 24-7,,,,
