ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,rush_att,rush_yds,rush_yds_per_att,rush_td,two_pt_md,all_td,scoring
1,2006,2006-10-22,6,23.129,CLE,,DEN,L 7-17,,0,0,,0,0,0,,0,,,,0,0,,0,,0,0
2,2006,2006-12-03,12,23.171,CLE,,KAN,W 31-28,,12,21,57.14,171,2,1,95.5,1,5,8.14,7.90,2,44,22.00,0,,0,0
3,2006,2006-12-07,13,23.175,CLE,@,PIT,L 7-27,*,21,37,56.76,276,1,1,78.2,0,0,7.46,6.78,1,4,4.00,0,,0,0
4,2006,2006-12-17,14,23.185,CLE,@,BAL,L 17-27,*,23,32,71.88,223,2,2,85.8,5,41,6.97,5.41,0,0,,0,,0,0
5,2006,2006-12-24,15,23.192,CLE,,TAM,L 7-22,*,10,27,37.04,123,0,4,12.3,2,20,4.56,-2.11,1,-1,-1.00,0,,0,0
6,2007,2007-09-09,1,24.086,CLE,,PIT,L 7-34,,13,28,46.43,184,1,1,65.2,1,12,6.57,5.68,1,-1,-1.00,0,,0,0
7,2007,2007-09-16,2,24.093,CLE,,CIN,W 51-45,*,20,33,60.61,328,5,1,121.0,0,0,9.94,11.61,1,-1,-1.00,0,,0,0
8,2007,2007-09-23,3,24.100,CLE,@,OAK,L 24-26,*,18,37,48.65,248,1,2,57.0,1,24,6.70,4.81,2,12,6.00,1,,1,6
9,2007,2007-09-30,4,24.107,CLE,,BAL,W 27-13,*,10,18,55.56,204,2,1,109.5,0,0,11.33,11.06,3,0,0.00,0,,0,0
10,2007,2007-10-07,5,24.114,CLE,@,NWE,L 17-34,*,22,43,51.16,287,2,3,59.0,3,26,6.67,4.47,3,7,2.33,0,,0,0
11,2007,2007-10-14,6,24.121,CLE,,MIA,W 41-31,*,18,25,72.00,245,3,0,142.5,1,1,9.80,12.20,5,13,2.60,1,,1,6
12,2007,2007-10-28,7,24.135,CLE,@,STL,W 27-20,*,18,25,72.00,248,3,0,143.0,2,12,9.92,12.32,1,-1,-1.00,0,,0,0
13,2007,2007-11-04,8,24.142,CLE,,SEA,W 33-30,*,29,48,60.42,364,0,1,75.3,0,0,7.58,6.65,2,21,10.50,0,,0,0
14,2007,2007-11-11,9,24.149,CLE,@,PIT,L 28-31,*,16,35,45.71,123,3,0,83.4,0,0,3.51,5.23,2,5,2.50,0,,0,0
15,2007,2007-11-18,10,24.156,CLE,@,BAL,W 33-30,*,24,38,63.16,274,0,1,73.8,1,5,7.21,6.03,4,-4,-1.00,1,,1,6
16,2007,2007-11-25,11,24.163,CLE,,HOU,W 27-17,*,24,35,68.57,253,2,1,96.5,1,4,7.23,7.09,0,0,,0,,0,0
17,2007,2007-12-02,12,24.170,CLE,@,ARI,L 21-27,*,21,41,51.22,304,2,2,71.6,1,9,7.41,6.20,2,10,5.00,0,,0,0
18,2007,2007-12-09,13,24.177,CLE,@,NYJ,W 24-18,*,16,29,55.17,185,2,1,83.3,0,0,6.38,6.21,3,3,1.00,0,,0,0
19,2007,2007-12-16,14,24.184,CLE,,BUF,W 8-0,*,9,24,37.50,137,0,0,57.1,1,7,5.71,5.71,1,0,0.00,0,,0,0
20,2007,2007-12-23,15,24.191,CLE,@,CIN,L 14-19,*,29,48,60.42,251,2,4,53.4,1,7,5.23,2.31,1,6,6.00,0,,0,0
21,2007,2007-12-30,16,24.198,CLE,,SFO,W 20-7,*,11,20,55.00,152,1,1,75.4,1,2,7.60,6.35,1,0,0.00,0,,0,0
22,2008,2008-09-07,1,25.084,CLE,,DAL,L 10-28,*,11,24,45.83,114,1,0,74.0,1,0,4.75,5.58,4,24,6.00,0,,0,0
23,2008,2008-09-14,2,25.091,CLE,,PIT,L 6-10,*,18,32,56.25,166,0,2,44.5,2,11,5.19,2.38,3,6,2.00,0,,0,0
24,2008,2008-09-21,3,25.098,CLE,@,BAL,L 10-28,*,14,37,37.84,125,1,3,22.9,4,26,3.38,0.27,2,-1,-0.50,0,,0,0
25,2008,2008-09-28,4,25.105,CLE,@,CIN,W 20-12,*,15,24,62.50,138,1,1,74.7,1,11,5.75,4.71,4,11,2.75,0,,0,0
26,2008,2008-10-13,5,25.120,CLE,,NYG,W 35-14,*,18,29,62.07,310,2,0,121.3,0,0,10.69,12.07,4,-2,-0.50,0,,0,0
27,2008,2008-10-19,6,25.126,CLE,@,WAS,L 11-14,*,14,37,37.84,136,1,0,57.9,1,2,3.68,4.22,3,4,1.33,0,,0,0
28,2008,2008-10-26,7,25.133,CLE,@,JAX,W 23-17,*,14,27,51.85,246,1,0,95.6,1,10,9.11,9.85,0,0,,0,,0,0
29,2008,2008-11-02,8,25.140,CLE,,BAL,L 27-37,*,17,33,51.52,219,2,1,80.2,1,9,6.64,6.48,2,8,4.00,0,,0,0
30,2008,2008-11-23,11,25.161,CLE,,HOU,L 6-16,,5,14,35.71,51,0,1,17.3,0,0,3.64,0.43,1,0,0.00,0,,0,0
31,2008,2008-11-30,12,25.168,CLE,,IND,L 6-10,*,16,26,61.54,110,0,0,71.0,3,18,4.23,4.23,2,5,2.50,0,,0,0
32,2009,2009-09-27,3,26.104,CLE,@,BAL,L 3-34,,11,19,57.89,92,0,3,30.9,1,6,4.84,-2.26,0,0,,0,,0,0
33,2009,2009-10-04,4,26.111,CLE,,CIN,L 20-23,*,26,48,54.17,269,1,1,68.8,2,20,5.60,5.08,2,2,1.00,1,,1,6
34,2009,2009-10-11,5,26.118,CLE,@,BUF,W 6-3,*,2,17,11.76,23,0,1,15.1,1,1,1.35,-1.29,1,2,2.00,0,,0,0
