ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,xpm,xpa,xp_perc,fgm,fga,fg_perc,all_td,scoring
1,2015,2015-09-13,1,22.245,MIA,@,WAS,W 17-10,,2,2,100.0,1,1,100.0,0,5
2,2015,2015-09-20,2,22.252,MIA,@,JAX,L 20-23,,2,2,100.0,2,3,66.7,0,8
3,2015,2015-09-27,3,22.259,MIA,,BUF,L 14-41,,,1,0.0,,,,0,0
4,2015,2015-10-04,4,22.266,MIA,,NYJ,L 14-27,,2,2,100.0,,,,0,2
5,2015,2015-10-18,5,22.280,MIA,@,TEN,W 38-10,,5,5,100.0,1,1,100.0,0,8
6,2015,2015-10-25,6,22.287,MIA,,HOU,W 44-26,,5,6,83.3,1,1,100.0,0,8
7,2015,2015-10-29,7,22.291,MIA,@,NWE,L 7-36,,1,1,100.0,,1,0.0,0,1
8,2015,2015-11-08,8,22.301,MIA,@,BUF,L 17-33,,2,2,100.0,1,1,100.0,0,5
9,2015,2015-11-15,9,22.308,MIA,@,PHI,W 20-19,,2,2,100.0,2,2,100.0,0,8
10,2015,2015-11-22,10,22.315,MIA,,DAL,L 14-24,,2,2,100.0,,,,0,2
11,2015,2015-11-29,11,22.322,MIA,@,NYJ,L 20-38,,2,3,66.7,,,,0,2
12,2015,2015-12-06,12,22.329,MIA,,BAL,W 15-13,,1,1,100.0,,,,0,1
13,2015,2015-12-14,13,22.337,MIA,,NYG,L 24-31,,3,3,100.0,1,1,100.0,0,6
14,2015,2015-12-20,14,22.343,MIA,@,SDG,L 14-30,,2,2,100.0,,,,0,2
15,2015,2015-12-27,15,22.350,MIA,,IND,L 12-18,,,,,2,2,100.0,0,6
16,2015,2016-01-03,16,22.357,MIA,,NWE,W 20-10,,2,2,100.0,2,3,66.7,0,8
17,2016,2016-09-11,1,23.244,MIA,@,SEA,L 10-12,,1,1,100.0,1,2,50.0,0,4
18,2016,2016-09-18,2,23.251,MIA,@,NWE,L 24-31,,3,3,100.0,1,1,100.0,0,6
19,2016,2016-09-25,3,23.258,MIA,,CLE,W 30-24,,3,3,100.0,1,1,100.0,0,6
20,2016,2016-09-29,4,23.262,MIA,@,CIN,L 7-22,,1,1,100.0,,,,0,1
21,2016,2016-10-09,5,23.272,MIA,,TEN,L 17-30,,2,2,100.0,1,1,100.0,0,5
22,2016,2016-10-16,6,23.279,MIA,,PIT,W 30-15,,3,3,100.0,3,5,60.0,0,12
23,2016,2016-10-23,7,23.286,MIA,,BUF,W 28-25,,2,2,100.0,2,2,100.0,0,8
24,2016,2016-11-06,8,23.300,MIA,,NYJ,W 27-23,,3,3,100.0,2,2,100.0,0,9
25,2016,2016-11-13,9,23.307,MIA,@,SDG,W 31-24,,4,4,100.0,1,1,100.0,0,7
26,2016,2016-11-20,10,23.314,MIA,@,LAR,W 14-10,,2,2,100.0,,,,0,2
27,2016,2016-11-27,11,23.321,MIA,,SFO,W 31-24,,4,4,100.0,1,1,100.0,0,7
28,2016,2016-12-04,12,23.328,MIA,@,BAL,L 6-38,,,,,,1,0.0,0,0
29,2016,2016-12-11,13,23.335,MIA,,ARI,W 26-23,,3,3,100.0,1,1,100.0,0,6
30,2016,2016-12-17,14,23.341,MIA,@,NYJ,W 34-13,,4,5,80.0,,,,0,4
31,2016,2016-12-24,15,23.348,MIA,@,BUF,W 34-31,,4,4,100.0,2,3,66.7,0,10
32,2016,2017-01-01,16,23.356,MIA,,NWE,L 14-35,,2,2,100.0,,,,0,2
