ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rec,rec_yds,rec_yds_per_rec,rec_td,xpm,xpa,xp_perc,fgm,fga,fg_perc,all_td,scoring
1,1975,1975-10-05,3,22.033,GNB,,MIA,L 7-31,0,0,,0,1,1,100.0,,1,0.0,0,1
2,1975,1975-10-12,4,22.040,GNB,@,NOR,L 19-20,0,0,,0,2,2,100.0,1,1,100.0,0,5
3,1975,1975-10-19,5,22.047,GNB,@,DAL,W 19-17,0,0,,0,1,2,50.0,2,2,100.0,0,7
4,1975,1975-10-26,6,22.054,GNB,,PIT,L 13-16,0,0,,0,1,2,50.0,,,,0,1
5,1975,1975-11-02,7,22.061,GNB,,MIN,L 17-28,0,0,,0,2,2,100.0,1,1,100.0,0,5
6,1975,1975-11-09,8,22.068,GNB,@,CHI,L 14-27,0,0,,0,2,2,100.0,,,,0,2
7,1975,1975-11-16,9,22.075,GNB,@,DET,L 10-13,0,0,,0,1,1,100.0,1,2,50.0,0,4
8,1975,1975-11-23,10,22.082,GNB,,NYG,W 40-14,0,0,,0,5,5,100.0,1,2,50.0,0,8
9,1975,1975-11-30,11,22.089,GNB,,CHI,W 28-7,0,0,,0,4,4,100.0,,,,0,4
10,1975,1975-12-07,12,22.096,GNB,@,MIN,L 3-24,0,0,,0,,,,1,1,100.0,0,3
11,1975,1975-12-14,13,22.103,GNB,@,RAM,L 5-22,0,0,,0,,,,1,2,50.0,0,3
12,1975,1975-12-21,14,22.110,GNB,,ATL,W 22-13,0,0,,0,1,2,50.0,3,4,75.0,0,10
13,1976,1976-09-12,1,23.010,NYG,@,WAS,L 17-19,0,0,,0,2,2,100.0,1,2,50.0,0,5
14,1976,1976-09-19,2,23.017,NYG,@,PHI,L 7-20,0,0,,0,1,1,100.0,,,,0,1
15,1976,1976-09-26,3,23.024,NYG,@,RAM,L 10-24,0,0,,0,1,1,100.0,1,1,100.0,0,4
16,1976,1976-10-03,4,23.031,NYG,@,STL,L 21-27,0,0,,0,3,3,100.0,,,,0,3
17,1976,1976-10-10,5,23.038,NYG,,DAL,L 14-24,0,0,,0,2,2,100.0,,1,0.0,0,2
18,1976,1976-10-17,6,23.045,NYG,@,MIN,L 7-24,0,0,,0,1,1,100.0,,2,0.0,0,1
19,1976,1976-10-24,7,23.052,NYG,,PIT,L 0-27,0,0,,0,,,,,1,0.0,0,0
20,1976,1976-10-31,8,23.059,NYG,,PHI,L 0-10,0,0,,0,,,,,1,0.0,0,0
21,1976,1976-11-07,9,23.066,NYG,@,DAL,L 3-9,0,0,,0,,,,1,1,100.0,0,3
22,1976,1976-11-14,10,23.073,NYG,,WAS,W 12-9,0,0,,0,,,,4,5,80.0,0,12
23,1976,1976-11-21,11,23.080,NYG,@,DEN,L 13-14,0,0,,0,1,2,50.0,,1,0.0,0,1
24,1976,1976-11-28,12,23.087,NYG,,SEA,W 28-16,0,0,,0,4,4,100.0,,,,0,4
25,1976,1976-12-05,13,23.094,NYG,,DET,W 24-10,0,0,,0,3,3,100.0,1,4,25.0,0,6
26,1976,1976-12-12,14,23.101,NYG,,STL,L 14-17,0,0,,0,2,2,100.0,,2,0.0,0,2
27,1977,1977-09-18,1,24.016,NYG,,WAS,W 20-17,0,0,,0,2,2,100.0,2,2,100.0,0,8
28,1977,1977-09-25,2,24.023,NYG,@,DAL,L 21-41,0,0,,0,3,3,100.0,,,,0,3
29,1977,1977-10-02,3,24.030,NYG,@,ATL,L 3-17,0,0,,0,,,,1,1,100.0,0,3
30,1977,1977-10-09,4,24.037,NYG,,PHI,L 10-28,0,0,,0,1,1,100.0,1,2,50.0,0,4
31,1977,1977-10-16,5,24.044,NYG,,SFO,W 20-17,0,0,,0,2,2,100.0,2,2,100.0,0,8
32,1977,1977-10-23,6,24.051,NYG,@,WAS,W 17-6,0,0,,0,2,2,100.0,1,3,33.3,0,5
33,1977,1977-10-31,7,24.059,NYG,@,STL,L 0-28,0,0,,0,,,,,1,0.0,0,0
34,1977,1977-11-06,8,24.065,NYG,,DAL,L 10-24,0,0,,0,1,1,100.0,1,2,50.0,0,4
35,1977,1977-11-13,9,24.072,NYG,@,TAM,W 10-0,0,0,,0,1,1,100.0,1,2,50.0,0,4
36,1977,1977-11-20,10,24.079,NYG,,CLE,L 7-21,0,0,,0,1,1,100.0,,1,0.0,0,1
37,1977,1977-11-27,11,24.086,NYG,@,CIN,L 13-30,0,0,,0,1,2,50.0,,,,0,1
38,1977,1977-12-04,12,24.093,NYG,,STL,W 27-7,0,0,,0,3,3,100.0,2,2,100.0,0,9
39,1977,1977-12-11,13,24.100,NYG,@,PHI,L 14-17,0,0,,0,2,2,100.0,,1,0.0,0,2
40,1977,1977-12-18,14,24.107,NYG,,CHI,L 9-12,0,0,,0,,,,3,4,75.0,0,9
41,1978,1978-09-02,1,25.000,NYG,@,TAM,W 19-13,0,0,,0,1,2,50.0,2,2,100.0,0,7
42,1978,1978-09-10,2,25.008,NYG,,DAL,L 24-34,0,0,,0,3,3,100.0,1,1,100.0,0,6
43,1978,1978-09-17,3,25.015,NYG,,KAN,W 26-10,0,0,,0,2,3,66.7,2,2,100.0,0,8
44,1978,1978-09-24,4,25.022,NYG,,SFO,W 27-10,0,0,,0,3,3,100.0,2,4,50.0,0,9
45,1978,1978-10-01,5,25.029,NYG,@,ATL,L 20-23,0,0,,0,2,2,100.0,2,4,50.0,0,8
46,1978,1978-10-08,6,25.036,NYG,@,DAL,L 3-24,0,0,,0,,,,1,1,100.0,0,3
47,1978,1978-10-15,7,25.043,NYG,,TAM,W 17-14,0,0,,0,2,2,100.0,1,2,50.0,0,5
48,1978,1978-10-22,8,25.050,NYG,,WAS,W 17-6,0,0,,0,2,2,100.0,1,1,100.0,0,5
49,1978,1978-10-29,9,25.057,NYG,@,NOR,L 17-28,0,0,,0,2,2,100.0,1,2,50.0,0,5
50,1978,1978-11-05,10,25.064,NYG,@,STL,L 10-20,0,0,,0,1,1,100.0,1,2,50.0,0,4
51,1978,1978-11-12,11,25.071,NYG,@,WAS,L 13-16,0,0,,0,1,1,100.0,2,3,66.7,0,7
52,1978,1978-11-19,12,25.078,NYG,,PHI,L 17-19,0,0,,0,2,2,100.0,1,1,100.0,0,5
53,1978,1978-11-26,13,25.085,NYG,@,BUF,L 17-41,0,0,,0,2,2,100.0,1,1,100.0,0,5
54,1978,1978-12-03,14,25.092,NYG,,RAM,L 17-20,0,0,,0,2,2,100.0,1,1,100.0,0,5
55,1978,1978-12-10,15,25.099,NYG,,STL,W 17-0,0,0,,0,2,2,100.0,1,1,100.0,0,5
56,1978,1978-12-17,16,25.106,NYG,@,PHI,L 3-20,0,0,,0,,,,1,1,100.0,0,3
57,1979,1979-09-02,1,26.000,NYG,@,PHI,L 17-23,0,0,,0,2,2,100.0,1,2,50.0,0,5
58,1979,1979-09-09,2,26.007,NYG,,STL,L 14-27,0,0,,0,2,2,100.0,,,,0,2
59,1979,1979-09-17,3,26.015,NYG,@,WAS,L 0-27,0,0,,0,,,,,1,0.0,0,0
60,1979,1979-09-23,4,26.021,NYG,,PHI,L 13-17,0,0,,0,1,1,100.0,2,3,66.7,0,7
61,1979,1979-09-30,5,26.028,NYG,@,NOR,L 14-24,0,0,,0,2,2,100.0,,2,0.0,0,2
62,1979,1979-10-07,6,26.035,NYG,,TAM,W 17-14,0,0,,0,2,2,100.0,1,2,50.0,0,5
63,1979,1979-10-14,7,26.042,NYG,,SFO,W 32-16,1,1,1.00,0,3,3,100.0,1,1,100.0,0,6
64,1979,1979-10-21,8,26.049,NYG,@,KAN,W 21-17,0,0,,0,3,3,100.0,,1,0.0,0,3
65,1979,1979-10-28,9,26.056,NYG,@,RAM,W 20-14,0,0,,0,2,2,100.0,2,3,66.7,0,8
66,1979,1979-11-04,10,26.063,NYG,,DAL,L 14-16,0,0,,0,2,2,100.0,,1,0.0,0,2
67,1979,1979-11-11,11,26.070,NYG,,ATL,W 24-3,0,0,,0,3,3,100.0,1,1,100.0,0,6
68,1979,1979-11-18,12,26.077,NYG,@,TAM,L 3-31,0,0,,0,,,,1,1,100.0,0,3
69,1979,1979-11-25,13,26.084,NYG,,WAS,W 14-6,0,0,,0,2,2,100.0,,1,0.0,0,2
70,1979,1979-12-02,14,26.091,NYG,@,DAL,L 7-28,0,0,,0,1,1,100.0,,,,0,1
71,1979,1979-12-09,15,26.098,NYG,@,STL,L 20-29,0,0,,0,2,3,66.7,,,,0,2
72,1979,1979-12-16,16,26.105,NYG,,BAL,L 7-31,0,0,,0,1,1,100.0,,1,0.0,0,1
73,1980,1980-09-07,1,27.005,NYG,@,STL,W 41-35,0,0,,0,5,5,100.0,2,3,66.7,0,11
74,1980,1980-09-14,2,27.012,NYG,,WAS,L 21-23,0,0,,0,3,3,100.0,,,,0,3
75,1980,1980-09-22,3,27.020,NYG,@,PHI,L 3-35,0,0,,0,,,,1,4,25.0,0,3
76,1980,1980-09-28,4,27.026,NYG,,RAM,L 7-28,0,0,,0,1,1,100.0,,,,0,1
77,1980,1980-10-05,5,27.033,NYG,@,DAL,L 3-24,0,0,,0,,,,1,3,33.3,0,3
78,1980,1980-10-12,6,27.040,NYG,,PHI,L 16-31,0,0,,0,1,2,50.0,1,1,100.0,0,4
79,1980,1980-10-19,7,27.047,NYG,@,SDG,L 7-44,0,0,,0,1,1,100.0,,1,0.0,0,1
80,1980,1980-10-26,8,27.054,NYG,,DEN,L 9-14,0,0,,0,,,,3,3,100.0,0,9
81,1980,1980-11-02,9,27.061,NYG,@,TAM,L 13-30,0,0,,0,1,1,100.0,,,,0,1
82,1980,1980-11-09,10,27.068,NYG,,DAL,W 38-35,0,0,,0,5,5,100.0,1,1,100.0,0,8
83,1980,1980-11-16,11,27.075,NYG,,GNB,W 27-21,0,0,,0,3,3,100.0,2,2,100.0,0,9
84,1980,1980-11-23,12,27.082,NYG,@,SFO,L 0-12,0,0,,0,,,,,1,0.0,0,0
85,1980,1980-11-30,13,27.089,NYG,,STL,L 7-23,0,0,,0,1,1,100.0,,,,0,1
86,1980,1980-12-07,14,27.096,NYG,@,SEA,W 27-21,0,0,,0,3,3,100.0,2,2,100.0,0,9
87,1980,1980-12-13,15,27.102,NYG,@,WAS,L 13-16,0,0,,0,1,1,100.0,2,2,100.0,0,7
88,1980,1980-12-21,16,27.110,NYG,,OAK,L 17-33,0,0,,0,2,2,100.0,1,1,100.0,0,5
89,1981,1981-09-06,1,28.004,NYG,,PHI,L 10-24,0,0,,0,1,1,100.0,1,3,33.3,0,4
90,1981,1981-09-13,2,28.011,NYG,@,WAS,W 17-7,0,0,,0,2,2,100.0,1,1,100.0,0,5
91,1981,1981-09-20,3,28.018,NYG,,NOR,W 20-7,0,0,,0,2,2,100.0,2,5,40.0,0,8
92,1981,1981-09-27,4,28.025,NYG,@,DAL,L 10-18,0,0,,0,1,1,100.0,1,3,33.3,0,4
93,1981,1981-10-04,5,28.032,NYG,,GNB,L 14-27,0,0,,0,2,2,100.0,,,,0,2
94,1981,1981-10-11,6,28.039,NYG,,STL,W 34-14,0,0,,0,4,4,100.0,2,2,100.0,0,10
95,1981,1981-10-18,7,28.046,NYG,@,SEA,W 32-0,0,0,,0,2,2,100.0,6,6,100.0,0,20
96,1981,1981-10-25,8,28.053,NYG,@,ATL,W 27-24,0,0,,0,3,3,100.0,2,2,100.0,0,9
97,1981,1981-11-01,9,28.060,NYG,,NYJ,L 7-26,0,0,,0,1,1,100.0,,,,0,1
98,1981,1981-11-08,10,28.067,NYG,@,GNB,L 24-26,0,0,,0,3,3,100.0,1,1,100.0,0,6
99,1981,1981-11-15,11,28.074,NYG,,WAS,L 27-30,0,0,,0,3,3,100.0,,,,0,3
100,1981,1981-11-22,12,28.081,NYG,@,PHI,W 20-10,0,0,,0,2,2,100.0,2,3,66.7,0,8
101,1981,1981-11-29,13,28.088,NYG,@,SFO,L 10-17,0,0,,0,1,1,100.0,1,1,100.0,0,4
102,1981,1981-12-06,14,28.095,NYG,,RAM,W 10-7,0,0,,0,1,1,100.0,1,3,33.3,0,4
103,1981,1981-12-13,15,28.102,NYG,@,STL,W 20-10,0,0,,0,2,2,100.0,2,3,66.7,0,8
104,1981,1981-12-19,16,28.108,NYG,,DAL,W 13-10,0,0,,0,1,1,100.0,2,5,40.0,0,7
105,1982,1982-09-12,1,29.010,NYG,,ATL,L 14-16,0,0,,0,2,2,100.0,,2,0.0,0,2
106,1982,1982-09-20,2,29.018,NYG,,GNB,L 19-27,0,0,,0,2,2,100.0,1,1,100.0,0,5
107,1982,1982-11-21,3,29.080,NYG,,WAS,L 17-27,0,0,,0,2,2,100.0,1,2,50.0,0,5
108,1982,1982-11-25,4,29.084,NYG,@,DET,W 13-6,0,0,,0,1,1,100.0,2,4,50.0,0,7
109,1982,1982-12-05,5,29.094,NYG,,HOU,W 17-14,0,0,,0,2,2,100.0,1,3,33.3,0,5
110,1982,1982-12-11,6,29.100,NYG,,PHI,W 23-7,0,0,,0,2,2,100.0,3,3,100.0,0,11
111,1982,1982-12-19,7,29.108,NYG,@,WAS,L 14-15,0,0,,0,2,2,100.0,,,,0,2
112,1982,1982-12-26,8,29.115,NYG,@,STL,L 21-24,0,0,,0,3,3,100.0,,1,0.0,0,3
113,1982,1983-01-02,9,29.122,NYG,@,PHI,W 26-24,0,0,,0,2,2,100.0,4,5,80.0,0,14
114,1983,1983-09-18,3,30.016,BUF,,BAL,W 28-23,0,0,,0,4,4,100.0,,1,0.0,0,4
115,1983,1983-09-25,4,30.023,BUF,,HOU,W 30-13,0,0,,0,3,4,75.0,1,1,100.0,0,6
116,1983,1983-10-03,5,30.031,BUF,,NYJ,L 10-34,0,0,,0,1,1,100.0,1,1,100.0,0,4
117,1983,1983-10-09,6,30.037,BUF,@,MIA,W 38-35,0,0,,0,5,5,100.0,1,2,50.0,0,8
118,1983,1983-10-16,7,30.044,BUF,@,BAL,W 30-7,0,0,,0,3,3,100.0,3,4,75.0,0,12
119,1983,1983-10-23,8,30.051,BUF,,NWE,L 0-31,0,0,,0,,,,,2,0.0,0,0
120,1983,1983-10-30,9,30.058,BUF,,NOR,W 27-21,0,0,,0,3,4,75.0,,,,0,3
121,1983,1983-11-06,10,30.065,BUF,@,NWE,L 7-21,0,0,,0,1,1,100.0,,1,0.0,0,1
122,1983,1983-11-13,11,30.072,BUF,@,NYJ,W 24-17,0,0,,0,3,3,100.0,1,1,100.0,0,6
123,1983,1983-11-20,12,30.079,BUF,,RAI,L 24-27,0,0,,0,3,3,100.0,1,1,100.0,0,6
124,1983,1983-11-27,13,30.086,BUF,@,RAM,L 17-41,0,0,,0,2,2,100.0,1,2,50.0,0,5
125,1983,1983-12-04,14,30.093,BUF,@,KAN,W 14-9,0,0,,0,2,2,100.0,,,,0,2
126,1983,1983-12-11,15,30.100,BUF,,SFO,L 10-23,0,0,,0,1,1,100.0,1,3,33.3,0,4
127,1983,1983-12-18,16,30.107,BUF,@,ATL,L 14-31,0,0,,0,2,2,100.0,,1,0.0,0,2
128,1984,1984-09-02,1,31.000,BUF,,NWE,L 17-21,0,0,,0,2,2,100.0,1,2,50.0,0,5
129,1984,1984-09-09,2,31.007,BUF,@,STL,L 7-37,0,0,,0,1,1,100.0,,1,0.0,0,1
130,1984,1984-09-17,3,31.015,BUF,,MIA,L 17-21,0,0,,0,2,2,100.0,1,2,50.0,0,5
131,1984,1984-09-23,4,31.021,BUF,,NYJ,L 26-28,0,0,,0,2,2,100.0,4,5,80.0,0,14
132,1984,1984-09-30,5,31.028,BUF,@,IND,L 17-31,0,0,,0,2,2,100.0,1,1,100.0,0,5
133,1984,1984-10-07,6,31.035,BUF,,PHI,L 17-27,0,0,,0,2,2,100.0,1,3,33.3,0,5
134,1984,1984-10-14,7,31.042,BUF,@,SEA,L 28-31,0,0,,0,4,4,100.0,,1,0.0,0,4
135,1984,1984-10-21,8,31.049,BUF,,DEN,L 7-37,0,0,,0,1,1,100.0,,,,0,1
