ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,rush_att,rush_yds,rush_yds_per_att,rush_td
1,2017,2017-09-10,1,24.025,SEA,@,GNB,L 9-17,*,0,0,0,,0,0.0%,,0,0,,0
2,2017,2017-09-17,2,24.032,SEA,,SFO,W 12-9,*,0,0,0,,0,0.0%,,0,0,,0
3,2017,2017-09-24,3,24.039,SEA,@,TEN,L 27-33,,0,0,0,,0,0.0%,,0,0,,0
4,2017,2017-10-01,4,24.046,SEA,,IND,W 46-18,,0,0,0,,0,0.0%,,0,0,,0
5,2017,2017-10-08,5,24.053,SEA,@,LAR,W 16-10,,0,0,0,,0,0.0%,,0,0,,0
6,2017,2017-10-22,6,24.067,SEA,@,NYG,W 24-7,,1,1,-1,-1.00,0,100.0%,-1.00,0,0,,0
7,2017,2017-10-29,7,24.074,SEA,,HOU,W 41-38,*,1,1,66,66.00,0,100.0%,66.00,0,0,,0
8,2017,2017-11-05,8,24.081,SEA,,WAS,L 14-17,,0,0,0,,0,0.0%,,0,0,,0
9,2018,2018-09-09,1,25.024,SEA,@,DEN,L 24-27,,1,1,7,7.00,0,100.0%,7.00,0,0,,0
10,2018,2018-09-17,2,25.032,SEA,@,CHI,L 17-24,,0,0,0,,0,0.0%,,0,0,,0
11,2018,2018-09-23,3,25.038,SEA,,DAL,W 24-13,,0,0,0,,0,0.0%,,1,2,2.00,0
