ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,rush_att,rush_yds,rush_yds_per_att,rush_td,two_pt_md,all_td,scoring
1,2017,2017-09-10,1,21.361,HOU,,JAX,L 7-29,,12,23,52.17,102,1,1,60.4,4,21,4.43,3.35,2,16,8.00,0,,0,0
2,2017,2017-09-14,2,22.000,HOU,@,CIN,W 13-9,*,15,24,62.50,125,0,0,75.9,3,27,5.21,5.21,5,67,13.40,1,,1,6
3,2017,2017-09-24,3,22.010,HOU,@,NWE,L 33-36,*,22,33,66.67,301,2,2,90.6,2,9,9.12,7.61,8,41,5.13,0,,0,0
4,2017,2017-10-01,4,22.017,HOU,,TEN,W 57-14,*,25,34,73.53,283,4,1,125.0,1,3,8.32,9.35,4,24,6.00,1,,1,6
5,2017,2017-10-08,5,22.024,HOU,,KAN,L 34-42,*,16,31,51.61,261,5,0,119.8,3,13,8.42,11.65,3,31,10.33,0,1,0,2
6,2017,2017-10-15,6,22.031,HOU,,CLE,W 33-17,*,17,29,58.62,225,3,1,103.4,1,8,7.76,8.28,6,23,3.83,0,,0,0
7,2017,2017-10-29,7,22.045,HOU,@,SEA,L 38-41,*,19,30,63.33,402,4,3,106.9,5,35,13.40,11.57,8,67,8.38,0,,0,0
8,2018,2018-09-09,1,22.360,HOU,@,NWE,L 20-27,*,17,34,50.00,176,1,1,62.9,3,18,5.18,4.44,8,40,5.00,0,,0,0
9,2018,2018-09-16,2,23.002,HOU,@,TEN,L 17-20,*,22,32,68.75,310,2,1,107.6,4,21,9.69,9.53,5,44,8.80,0,,0,0
10,2018,2018-09-23,3,23.009,HOU,,NYG,L 22-27,*,24,40,60.00,385,2,1,98.4,3,17,9.63,9.50,5,36,7.20,0,,0,0
