ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rush_att,rush_yds,rush_yds_per_att,rush_td,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,def_int,def_int_yds,def_int_td
1,1960,1960-10-09,2,23.076,DET,,SFO,L 10-14,0,0,,0,1,11,11.00,0,0,0,,0,0,0,0
2,1960,1960-11-06,6,23.104,DET,@,SFO,W 24-0,0,0,,0,0,0,,0,0,0,,0,1,19,0
3,1960,1960-11-13,7,23.111,DET,,RAM,W 12-10,0,0,,0,2,31,15.50,0,0,0,,0,0,0,0
4,1960,1960-11-20,8,23.118,DET,@,CHI,L 7-28,0,0,,0,2,41,20.50,0,0,0,,0,0,0,0
5,1960,1960-11-24,9,23.122,DET,,GNB,W 23-10,0,0,,0,2,33,16.50,0,0,0,,0,0,0,0
6,1960,1960-12-04,10,23.132,DET,@,BAL,W 20-15,0,0,,0,1,34,34.00,0,0,0,,0,0,0,0
7,1960,1960-12-11,11,23.139,DET,,DAL,W 23-14,0,0,,0,2,64,32.00,0,0,0,,0,0,0,0
8,1960,1960-12-18,12,23.146,DET,,CHI,W 36-0,0,0,,0,0,0,,0,1,10,10.00,0,0,0,0
9,1961,1961-10-01,3,24.068,DET,,SFO,L 0-49,0,0,,0,1,19,19.00,0,0,0,,0,0,0,0
10,1961,1961-12-17,14,24.145,DET,,PHI,L 24-27,0,0,,0,0,0,,0,0,0,,0,1,8,0
11,1962,1962-09-23,2,25.060,DET,,SFO,W 45-24,0,0,,0,2,47,23.50,0,0,0,,0,0,0,0
12,1962,1962-09-30,3,25.067,DET,@,BAL,W 29-20,0,0,,0,3,54,18.00,0,2,3,1.50,0,0,0,0
13,1962,1962-10-07,4,25.074,DET,@,GNB,L 7-9,0,0,,0,1,10,10.00,0,0,0,,0,0,0,0
14,1962,1962-11-18,10,25.116,DET,@,MIN,W 17-6,3,8,2.67,0,1,30,30.00,0,0,0,,0,0,0,0
15,1963,1963-11-10,9,26.108,DET,@,BAL,L 21-24,0,0,,0,0,0,,0,0,0,,0,1,0,0
16,1963,1963-11-24,11,26.122,DET,@,MIN,L 31-34,0,0,,0,0,0,,0,1,3,3.00,0,0,0,0
17,1964,1964-10-18,6,27.085,DET,@,CHI,W 10-0,0,0,,0,0,,,0,0,9,,0,1,28,0
18,1964,1964-11-01,8,27.099,DET,,RAM,W 37-17,0,0,,0,0,0,,0,0,0,,0,1,0,0
19,1965,1965-11-07,8,28.105,DET,@,GNB,W 12-7,0,0,,0,0,0,,0,0,0,,0,1,0,0
20,1965,1965-11-14,9,28.112,DET,,SFO,L 21-27,0,0,,0,0,0,,0,0,0,,0,1,32,0
21,1965,1965-11-25,11,28.123,DET,,BAL,T 24-24,0,0,,0,0,0,,0,0,0,,0,1,35,0
22,1965,1965-12-19,14,28.147,DET,@,PHI,W 35-28,0,0,,0,0,0,,0,0,0,,0,1,9,0
23,1966,1966-10-09,5,29.076,DET,,RAM,L 7-14,0,0,,0,0,0,,0,0,0,,0,1,13,0
24,1966,1966-10-23,7,29.090,DET,@,SFO,L 24-27,0,0,,0,0,0,,0,0,0,,0,1,21,0
25,1966,1966-11-24,12,29.122,DET,,SFO,L 14-41,0,0,,0,0,0,,0,0,0,,0,2,0,0
26,1966,1966-12-11,14,29.139,DET,,MIN,L 16-28,0,0,,0,0,0,,0,0,0,,0,1,56,0
27,1967,1967-09-17,1,30.054,DET,@,GNB,T 17-17,0,0,,0,0,0,,0,0,0,,0,1,14,0
28,1967,1967-10-15,5,30.082,DET,@,CHI,L 3-14,0,0,,0,0,0,,0,0,0,,0,1,0,0
29,1968,1968-11-10,9,31.108,NYG,@,DAL,W 27-21,0,0,,0,0,0,,0,0,0,,0,1,89,0
30,1969,1969-10-12,4,32.079,NYG,,PIT,W 10-7,0,0,,0,0,0,,0,0,0,,0,1,23,0
31,1969,1969-10-19,5,32.086,NYG,@,WAS,L 14-20,0,0,,0,0,0,,0,0,0,,0,1,0,0
32,1969,1969-11-02,7,32.100,NYG,,PHI,L 20-23,0,0,,0,0,0,,0,0,0,,0,1,28,0
33,1969,1969-11-30,11,32.128,NYG,@,GNB,L 10-20,0,0,,0,0,0,,0,0,0,,0,1,13,0
34,1969,1969-12-07,12,32.135,NYG,,STL,W 49-6,0,0,,0,0,0,,0,0,0,,0,1,48,0
