ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rush_att,rush_yds,rush_yds_per_att,rush_td,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,all_td,scoring
1,1986,1986-09-07,1,21.288,SEA,,PIT,W 30-0,8,23,2.88,0,,2,14,7.00,0,,,0,0,,0,0,0,,,,,,0,0
2,1986,1986-09-14,2,21.295,SEA,,KAN,W 23-17,7,17,2.43,0,,3,22,7.33,0,,,0,0,,0,0,0,,,,,,0,0
3,1986,1986-09-21,3,21.302,SEA,@,NWE,W 38-31,9,46,5.11,0,,1,3,3.00,0,,,0,0,,0,0,0,,,,,,0,0
4,1986,1986-09-28,4,21.309,SEA,@,WAS,L 14-19,10,36,3.60,0,,4,24,6.00,0,,,0,0,,0,0,0,,,,,,0,0
5,1986,1986-10-06,5,21.317,SEA,,SDG,W 33-7,10,31,3.10,0,,4,39,9.75,0,,,0,0,,0,0,0,,,,,,0,0
6,1986,1986-10-12,6,21.323,SEA,@,RAI,L 10-14,4,14,3.50,0,,3,12,4.00,0,,,0,0,,0,0,0,,,,,,0,0
7,1986,1986-10-19,7,21.330,SEA,,NYG,W 17-12,5,17,3.40,0,,2,19,9.50,0,,,0,0,,0,0,0,,,,,,0,0
8,1986,1986-10-26,8,21.337,SEA,@,DEN,L 13-20,8,24,3.00,0,,3,0,0.00,0,,,0,0,,0,0,0,,,,,,0,0
9,1986,1986-11-02,9,21.344,SEA,,NYJ,L 7-38,5,8,1.60,0,,5,34,6.80,0,,,0,0,,0,0,0,,,,,,0,0
10,1986,1986-11-09,10,21.351,SEA,@,KAN,L 7-27,3,14,4.67,0,,1,7,7.00,0,,,0,0,,0,0,0,,,,,,0,0
11,1986,1986-11-16,11,21.358,SEA,@,CIN,L 7-34,12,70,5.83,0,,3,21,7.00,0,,,0,0,,0,0,0,,,,,,0,0
12,1986,1986-11-23,12,22.000,SEA,,PHI,W 24-20,9,30,3.33,0,,0,0,,0,,,0,0,,0,0,0,,,,,,0,0
13,1986,1986-11-27,13,22.004,SEA,@,DAL,W 31-14,11,63,5.73,0,,1,1,1.00,0,,,0,0,,0,0,0,,,,,,0,0
14,1986,1986-12-08,14,22.015,SEA,,RAI,W 37-0,9,30,3.33,0,,0,0,,0,,,0,0,,0,0,0,,,,,,0,0
15,1986,1986-12-14,15,22.021,SEA,@,SDG,W 34-24,10,43,4.30,0,,0,0,,0,,,0,0,,0,0,0,,,,,,0,0
16,1986,1986-12-20,16,22.027,SEA,,DEN,W 41-16,9,72,8.00,0,,1,23,23.00,0,,,0,0,,0,0,0,,,,,,0,0
17,1987,1987-09-13,1,22.294,SEA,@,DEN,L 17-40,5,18,3.60,0,,1,5,5.00,0,,,0,0,,0,0,0,,0,0,,,0,0
18,1987,1987-09-20,2,22.301,SEA,,KAN,W 43-14,15,112,7.47,1,,3,38,12.67,0,,,0,0,,0,0,0,,0,0,,,1,6
19,1987,1987-10-25,6,22.336,SEA,@,RAI,W 35-13,7,12,1.71,0,,1,15,15.00,0,,,0,0,,0,0,0,,0,0,,,0,0
20,1987,1987-11-01,7,22.343,SEA,,MIN,W 28-17,10,30,3.00,0,,3,34,11.33,0,,,0,0,,0,0,0,,0,0,,,0,0
21,1987,1987-11-09,8,22.351,SEA,@,NYJ,L 14-30,8,40,5.00,0,,3,45,15.00,0,,,0,0,,0,0,0,,0,0,,,0,0
22,1987,1987-11-15,9,22.357,SEA,,GNB,W 24-13,13,57,4.38,0,,0,0,,0,,,0,0,,0,0,0,,0,0,,,0,0
23,1987,1987-11-22,10,22.364,SEA,,SDG,W 34-3,14,61,4.36,0,,3,31,10.33,1,,,0,0,,0,0,0,,0,0,,,1,6
24,1987,1987-11-30,11,23.007,SEA,,RAI,L 14-37,3,6,2.00,0,,3,30,10.00,0,,,0,0,,0,0,0,,0,0,,,0,0
25,1987,1987-12-06,12,23.013,SEA,@,PIT,L 9-13,13,61,4.69,0,,3,28,9.33,0,,,0,0,,0,0,0,,0,0,,,0,0
26,1987,1987-12-13,13,23.020,SEA,,DEN,W 28-21,10,37,3.70,0,,7,47,6.71,1,,,0,0,,0,0,0,,0,0,,,1,6
27,1987,1987-12-20,14,23.027,SEA,@,CHI,W 34-21,5,26,5.20,0,,8,117,14.63,1,,,0,0,,0,0,0,,0,0,,,1,6
28,1987,1987-12-27,15,23.034,SEA,@,KAN,L 20-41,10,40,4.00,0,,3,30,10.00,0,,,0,0,,0,0,0,,0,0,,,0,0
