ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,xpm,xpa,xp_perc,fgm,fga,fg_perc,all_td,scoring,sacks,tackles_solo,tackles_assists
1,2013,2013-09-09,1,23.267,HOU,@,SDG,W 31-28,,4,4,100.0,1,2,50.0,0,7,0.0,0,0
2,2013,2013-09-15,2,23.273,HOU,,TEN,W 30-24,,2,2,100.0,,3,0.0,0,2,0.0,0,0
3,2013,2013-09-22,3,23.280,HOU,@,BAL,L 9-30,,,,,3,3,100.0,0,9,0.0,0,0
4,2013,2013-09-29,4,23.287,HOU,,SEA,L 20-23,,2,2,100.0,2,2,100.0,0,8,0.0,0,0
5,2013,2013-10-06,5,23.294,HOU,@,SFO,L 3-34,,,,,1,2,50.0,0,3,0.0,0,0
6,2013,2013-10-13,6,23.301,HOU,,STL,L 13-38,,1,1,100.0,2,2,100.0,0,7,0.0,0,0
7,2013,2013-10-20,7,23.308,HOU,@,KAN,L 16-17,,1,1,100.0,3,3,100.0,0,10,0.0,0,0
8,2013,2013-11-03,8,23.322,HOU,,IND,L 24-27,,3,3,100.0,1,4,25.0,0,6,0.0,0,0
9,2013,2013-11-10,9,23.329,HOU,@,ARI,L 24-27,,3,3,100.0,1,2,50.0,0,6,0.0,1,0
10,2013,2013-11-17,10,23.336,HOU,,OAK,L 23-28,,2,2,100.0,3,3,100.0,0,11,0.0,0,0
11,2013,2013-11-24,11,23.343,HOU,,JAX,L 6-13,,,,,2,2,100.0,0,6,0.0,0,0
12,2013,2013-12-01,12,23.350,HOU,,NWE,L 31-34,,4,4,100.0,1,1,100.0,0,7,0.0,0,0
13,2013,2013-12-05,13,23.354,HOU,@,JAX,L 20-27,,2,2,100.0,2,2,100.0,0,8,0.0,0,0
14,2013,2013-12-15,14,23.364,HOU,@,IND,L 3-25,,,,,1,1,100.0,0,3,0.0,0,0
15,2013,2013-12-22,15,24.006,HOU,,DEN,L 13-37,,1,1,100.0,2,2,100.0,0,7,0.0,0,0
16,2013,2013-12-29,16,24.013,HOU,@,TEN,L 10-16,,1,1,100.0,1,1,100.0,0,4,0.0,0,0
17,2014,2014-09-07,1,24.265,HOU,,WAS,W 17-6,,2,2,100.0,1,1,100.0,0,5,0.0,0,0
18,2014,2014-09-14,2,24.272,HOU,@,OAK,W 30-14,,3,3,100.0,3,4,75.0,0,12,0.0,0,0
19,2014,2014-09-21,3,24.279,HOU,@,NYG,L 17-30,,2,2,100.0,1,1,100.0,0,5,0.0,1,0
20,2014,2014-09-28,4,24.286,HOU,,BUF,W 23-17,,2,2,100.0,3,3,100.0,0,11,0.0,0,0
21,2014,2014-10-05,5,24.293,HOU,@,DAL,L 17-20,,2,2,100.0,1,1,100.0,0,5,0.0,0,0
22,2014,2014-10-09,6,24.297,HOU,,IND,L 28-33,,4,4,100.0,,1,0.0,0,4,0.0,0,0
23,2014,2014-10-20,7,24.308,HOU,@,PIT,L 23-30,,2,2,100.0,3,3,100.0,0,11,0.0,0,0
24,2014,2014-10-26,8,24.314,HOU,@,TEN,W 30-16,,3,3,100.0,3,3,100.0,0,12,0.0,0,0
25,2014,2014-11-02,9,24.321,HOU,,PHI,L 21-31,,3,3,100.0,,1,0.0,0,3,0.0,0,0
26,2014,2014-11-16,10,24.335,HOU,@,CLE,W 23-7,,2,2,100.0,3,4,75.0,0,11,0.0,0,0
27,2014,2014-11-23,11,24.342,HOU,,CIN,L 13-22,,1,1,100.0,2,2,100.0,0,7,0.0,0,0
28,2014,2014-11-30,12,24.349,HOU,,TEN,W 45-21,,6,6,100.0,1,2,50.0,0,9,0.0,0,0
29,2014,2014-12-07,13,24.356,HOU,@,JAX,W 27-13,,3,3,100.0,2,2,100.0,0,9,0.0,0,0
30,2014,2014-12-14,14,24.363,HOU,@,IND,L 10-17,,1,1,100.0,1,1,100.0,0,4,0.0,0,0
31,2014,2014-12-21,15,25.005,HOU,,BAL,W 25-13,,1,1,100.0,6,6,100.0,0,19,0.0,0,0
32,2014,2014-12-28,16,25.012,HOU,,JAX,W 23-17,,3,3,100.0,,,,0,3,0.0,0,0
33,2015,2015-09-13,1,25.271,HOU,,KAN,L 20-27,,,1,0.0,2,2,100.0,0,6,0.0,0,0
34,2015,2015-09-20,2,25.278,HOU,@,CAR,L 17-24,,2,2,100.0,1,1,100.0,0,5,0.0,0,0
35,2015,2015-09-27,3,25.285,HOU,,TAM,W 19-9,,1,2,50.0,2,3,66.7,0,7,0.0,0,0
36,2015,2015-11-12,9,25.331,NYJ,,BUF,L 17-22,,2,2,100.0,1,1,100.0,0,5,0.0,0,0
37,2015,2015-11-22,10,25.341,NYJ,@,HOU,L 17-24,,2,2,100.0,1,1,100.0,0,5,0.0,0,0
38,2015,2015-11-29,11,25.348,NYJ,,MIA,W 38-20,,5,5,100.0,1,1,100.0,0,8,0.0,0,0
39,2015,2015-12-06,12,25.355,NYJ,@,NYG,W 23-20,,2,2,100.0,3,3,100.0,0,11,0.0,0,0
40,2015,2015-12-13,13,25.362,NYJ,,TEN,W 30-8,,3,3,100.0,3,4,75.0,0,12,0.0,0,0
41,2015,2015-12-19,14,26.003,NYJ,@,DAL,W 19-16,,1,2,50.0,2,3,66.7,0,7,0.0,0,0
42,2015,2015-12-27,15,26.011,NYJ,,NWE,W 26-20,,2,2,100.0,2,2,100.0,0,8,0.0,0,0
43,2015,2016-01-03,16,26.018,NYJ,@,BUF,L 17-22,,2,2,100.0,1,2,50.0,0,5,0.0,0,0
44,2016,2016-09-11,1,26.270,NYG,@,DAL,W 20-19,,2,3,66.7,,,,0,2,0.0,0,0
45,2016,2016-12-04,12,26.354,PIT,,NYG,W 24-14,,1,1,100.0,3,3,100.0,0,10,0.0,0,0
46,2016,2016-12-18,14,27.002,CIN,,PIT,L 20-24,,2,2,100.0,2,2,100.0,0,8,0.0,0,0
47,2016,2016-12-24,15,27.008,CIN,@,HOU,L 10-12,,1,1,100.0,1,2,50.0,0,4,0.0,0,0
48,2016,2017-01-01,16,27.016,CIN,,BAL,W 27-10,,3,3,100.0,2,2,100.0,0,9,0.0,0,0
49,2017,2017-09-10,1,27.268,CIN,,BAL,L 0-20,,,,,,,,0,0,0.0,0,0
50,2017,2017-09-14,2,27.272,CIN,,HOU,L 9-13,,,,,3,3,100.0,0,9,0.0,0,0
