ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,rush_att,rush_yds,rush_yds_per_att,rush_td,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,two_pt_md,all_td,scoring,sacks,tackles_solo,tackles_assists
1,2010,2010-09-26,3,23.295,TAM,,PIT,L 13-38,,6,27,4.50,1,0,0,0,,0,0.0%,,0,0,,0,,1,6,0.0,0,0
2,2010,2010-10-10,4,23.309,TAM,@,CIN,W 24-21,,4,3,0.75,0,0,0,0,,0,0.0%,,0,0,,0,,0,0,0.0,0,0
3,2010,2010-10-24,6,23.323,TAM,,STL,W 18-17,,11,72,6.55,0,0,0,0,,0,0.0%,,0,0,,0,,0,0,0.0,0,0
4,2010,2010-10-31,7,23.330,TAM,@,ARI,W 38-35,,22,120,5.45,2,2,2,9,4.50,0,100.0%,4.50,0,0,,0,,2,12,0.0,0,0
5,2010,2010-11-07,8,23.337,TAM,@,ATL,L 21-27,,13,46,3.54,0,0,0,0,,0,0.0%,,0,0,,0,,0,0,0.0,0,0
6,2010,2010-11-14,9,23.344,TAM,,CAR,W 31-16,,19,91,4.79,1,1,0,0,,0,0.0%,0.00,0,0,,0,,1,6,0.0,1,0
7,2010,2010-11-21,10,23.351,TAM,@,SFO,W 21-0,*,26,82,3.15,0,0,0,0,,0,0.0%,,0,0,,0,,0,0,0.0,0,0
8,2010,2010-11-28,11,23.358,TAM,@,BAL,L 10-17,*,13,55,4.23,0,0,0,0,,0,0.0%,,0,0,,0,,0,0,0.0,0,0
9,2010,2010-12-05,12,24.000,TAM,,ATL,L 24-28,*,20,103,5.15,1,0,0,0,,0,0.0%,,0,0,,0,,1,6,0.0,0,0
10,2010,2010-12-12,13,24.007,TAM,@,WAS,W 17-16,*,15,68,4.53,0,1,0,0,,0,0.0%,0.00,0,0,,0,,0,0,0.0,0,0
11,2010,2010-12-19,14,24.014,TAM,,DET,L 20-23,*,15,110,7.33,1,0,0,0,,0,0.0%,,0,0,,0,,1,6,0.0,0,0
12,2010,2010-12-26,15,24.021,TAM,,SEA,W 38-15,*,18,164,9.11,0,1,1,3,3.00,0,100.0%,3.00,0,0,,0,,0,0,0.0,0,0
13,2010,2011-01-02,16,24.028,TAM,@,NOR,W 23-13,*,19,66,3.47,0,2,2,2,1.00,0,100.0%,1.00,0,0,,0,,0,0,0.0,0,0
14,2011,2011-09-11,1,24.280,TAM,,DET,L 20-27,*,5,15,3.00,0,0,0,0,,0,0.0%,,0,0,,0,,0,0,0.0,0,0
15,2011,2011-09-18,2,24.287,TAM,@,MIN,W 24-20,*,13,71,5.46,2,0,0,0,,0,0.0%,,0,0,,0,,2,12,0.0,0,0
16,2011,2011-09-25,3,24.294,TAM,,ATL,W 16-13,*,24,81,3.38,0,3,1,13,13.00,0,33.3%,4.33,0,0,,0,,0,0,0.0,1,0
17,2011,2011-10-03,4,24.302,TAM,,IND,W 24-17,*,25,127,5.08,1,2,1,14,14.00,0,50.0%,7.00,0,0,,0,,1,6,0.0,0,0
18,2011,2011-10-09,5,24.308,TAM,@,SFO,L 3-48,*,10,34,3.40,0,3,2,31,15.50,0,66.7%,10.33,0,0,,0,,0,0,0.0,0,0
19,2011,2011-11-06,8,24.336,TAM,@,NOR,L 16-27,*,13,72,5.54,0,3,2,8,4.00,0,66.7%,2.67,0,0,,0,,0,0,0.0,0,0
20,2011,2011-11-13,9,24.343,TAM,,HOU,L 9-37,*,10,34,3.40,0,2,1,0,0.00,0,50.0%,0.00,0,0,,0,,0,0,0.0,0,0
21,2011,2011-11-20,10,24.350,TAM,@,GNB,L 26-35,*,18,107,5.94,1,1,1,6,6.00,0,100.0%,6.00,0,0,,0,,1,6,0.0,0,0
22,2011,2011-11-27,11,24.357,TAM,@,TEN,L 17-23,*,20,103,5.15,0,3,3,56,18.67,0,100.0%,18.67,0,0,,0,,0,0,0.0,1,0
23,2011,2011-12-04,12,24.364,TAM,,CAR,L 19-38,*,11,19,1.73,0,2,0,0,,0,0.0%,0.00,0,0,,0,,0,0,0.0,0,0
24,2011,2011-12-11,13,25.006,TAM,@,JAX,L 14-41,*,18,74,4.11,1,2,1,6,6.00,0,50.0%,3.00,0,0,,0,,1,6,0.0,0,0
25,2011,2011-12-17,14,25.012,TAM,,DAL,L 15-31,*,9,21,2.33,0,0,0,0,,0,0.0%,,0,0,,0,,0,0,0.0,0,0
26,2011,2011-12-24,15,25.019,TAM,@,CAR,L 16-48,*,2,11,5.50,0,0,0,0,,0,0.0%,,0,0,,0,,0,0,0.0,0,0
27,2011,2012-01-01,16,25.027,TAM,@,ATL,L 24-45,*,6,12,2.00,0,4,3,14,4.67,0,75.0%,3.50,0,0,,0,,0,0,0.0,0,0
28,2012,2012-09-09,1,25.279,TAM,,CAR,W 16-10,,3,8,2.67,0,1,1,2,2.00,0,100.0%,2.00,0,0,,0,,0,0,0.0,0,0
29,2012,2012-09-16,2,25.286,TAM,@,NYG,L 34-41,,,,,,,,,,,0.0%,,,,,,,,,,,
30,2012,2012-09-23,3,25.293,TAM,@,DAL,L 10-16,,4,19,4.75,0,0,0,0,,0,0.0%,,0,0,,0,,0,0,0.0,0,0
31,2012,2012-09-30,4,25.300,TAM,,WAS,L 22-24,,6,17,2.83,1,0,0,0,,0,0.0%,,0,0,,0,,1,6,0.0,0,0
32,2012,2012-10-14,5,25.314,TAM,,KAN,W 38-10,,7,58,8.29,1,0,0,0,,0,0.0%,,0,0,,0,,1,6,0.0,0,0
33,2012,2012-10-21,6,25.321,TAM,,NOR,L 28-35,,5,-2,-0.40,0,1,0,0,,0,0.0%,0.00,0,0,,0,,0,0,0.0,0,0
34,2012,2012-10-25,7,25.325,TAM,@,MIN,W 36-17,,8,16,2.00,0,0,0,0,,0,0.0%,,0,0,,0,,0,0,0.0,0,0
35,2012,2012-11-04,8,25.335,TAM,@,OAK,W 42-32,,2,5,2.50,0,0,0,0,,0,0.0%,,0,0,,0,,0,0,0.0,0,0
36,2012,2012-11-11,9,25.342,TAM,,SDG,W 34-24,,1,3,3.00,0,0,0,0,,0,0.0%,,0,0,,0,,0,0,0.0,0,0
37,2012,2012-11-25,11,25.356,TAM,,ATL,L 23-24,,,,,,,,,,,0.0%,,,,,,,,,,,
38,2012,2012-12-09,13,26.004,TAM,,PHI,L 21-23,,1,2,2.00,0,0,0,0,,0,0.0%,,0,0,,0,,0,0,0.0,0,0
39,2012,2012-12-16,14,26.011,TAM,@,NOR,L 0-41,,4,25,6.25,0,0,0,0,,0,0.0%,,0,0,,0,,0,0,0.0,0,0
40,2012,2012-12-23,15,26.018,TAM,,STL,L 13-28,,,,,,,,,,,0.0%,,,,,,,,,,,
41,2013,2013-09-08,1,26.277,NWE,@,BUF,W 23-21,,7,15,2.14,0,0,0,0,,0,0.0%,,2,35,17.50,0,,0,0,0.0,1,0
42,2013,2013-09-12,2,26.281,NWE,,NYJ,W 13-10,,4,11,2.75,0,1,0,0,,0,0.0%,0.00,1,25,25.00,0,,0,0,0.0,0,0
43,2013,2013-09-22,3,26.291,NWE,,TAM,W 23-3,,14,65,4.64,0,0,0,0,,0,0.0%,,1,24,24.00,0,,0,0,0.0,0,0
44,2013,2013-09-29,4,26.298,NWE,@,ATL,W 30-23,,9,64,7.11,1,0,0,0,,0,0.0%,,0,0,,0,,1,6,0.0,0,0
45,2013,2013-10-06,5,26.305,NWE,@,CIN,L 6-13,*,12,51,4.25,0,0,0,0,,0,0.0%,,0,0,,0,,0,0,0.0,0,0
46,2013,2013-10-13,6,26.312,NWE,,NOR,W 30-27,*,7,9,1.29,0,1,0,0,,0,0.0%,0.00,2,51,25.50,0,,0,0,0.0,0,0
47,2013,2013-10-20,7,26.319,NWE,@,NYJ,L 27-30,,1,4,4.00,0,0,0,0,,0,0.0%,,4,96,24.00,0,,0,0,0.0,0,0
48,2013,2013-10-27,8,26.326,NWE,,MIA,W 27-17,*,11,46,4.18,0,0,0,0,,0,0.0%,,2,46,23.00,0,,0,0,0.0,0,0
49,2013,2013-11-03,9,26.333,NWE,,PIT,W 55-31,,5,47,9.40,1,0,0,0,,0,0.0%,,3,72,24.00,0,,1,6,0.0,0,0
50,2013,2013-11-18,10,26.348,NWE,@,CAR,L 20-24,,10,49,4.90,0,0,0,0,,0,0.0%,,0,0,,0,,0,0,0.0,0,0
51,2013,2013-11-24,11,26.354,NWE,,DEN,W 34-31,,2,13,6.50,0,0,0,0,,0,0.0%,,0,0,,0,,0,0,0.0,0,0
52,2013,2013-12-01,12,26.361,NWE,@,HOU,W 34-31,,12,44,3.67,1,0,0,0,,0,0.0%,,0,0,,0,,1,6,0.0,0,0
53,2013,2013-12-08,13,27.003,NWE,,CLE,W 27-26,*,8,42,5.25,0,2,1,32,32.00,0,50.0%,16.00,0,0,,0,,0,0,0.0,0,0
54,2013,2013-12-15,14,27.010,NWE,@,MIA,L 20-24,*,11,47,4.27,0,1,1,6,6.00,0,100.0%,6.00,0,0,,0,,0,0,0.0,0,0
55,2013,2013-12-22,15,27.017,NWE,@,BAL,W 41-7,*,16,76,4.75,2,0,0,0,,0,0.0%,,0,0,,0,,2,12,0.0,0,0
56,2013,2013-12-29,16,27.024,NWE,,BUF,W 34-20,*,24,189,7.88,2,0,0,0,,0,0.0%,,2,145,72.50,0,,2,12,0.0,0,0
57,2014,2014-09-07,1,27.276,PIT,,CLE,W 30-27,,4,6,1.50,1,1,0,0,,0,0.0%,0.00,0,0,,0,,1,6,0.0,0,0
58,2014,2014-09-11,2,27.280,PIT,@,BAL,L 6-26,,3,8,2.67,0,1,0,0,,0,0.0%,0.00,0,0,,0,,0,0,0.0,0,0
59,2014,2014-09-21,3,27.290,PIT,@,CAR,W 37-19,,10,118,11.80,1,0,0,0,,0,0.0%,,0,0,,0,,1,6,0.0,0,0
60,2014,2014-09-28,4,27.297,PIT,,TAM,L 24-27,,4,25,6.25,0,0,0,0,,0,0.0%,,1,25,25.00,0,,0,0,0.0,0,0
61,2014,2014-10-05,5,27.304,PIT,@,JAX,W 17-9,,8,29,3.63,0,3,3,17,5.67,0,100.0%,5.67,0,0,,0,,0,0,0.0,0,0
62,2014,2014-10-12,6,27.311,PIT,@,CLE,L 10-31,,8,27,3.38,0,0,0,0,,0,0.0%,,0,0,,0,,0,0,0.0,0,0
63,2014,2014-10-20,7,27.319,PIT,,HOU,W 30-23,,7,9,1.29,0,1,1,8,8.00,0,100.0%,8.00,1,13,13.00,0,,0,0,0.0,0,0
64,2014,2014-10-26,8,27.325,PIT,,IND,W 51-34,,6,21,3.50,0,2,2,11,5.50,0,100.0%,5.50,1,15,15.00,0,,0,0,0.0,0,0
65,2014,2014-11-02,9,27.332,PIT,,BAL,W 43-23,,10,23,2.30,0,0,0,0,,0,0.0%,,1,29,29.00,0,,0,0,0.0,0,0
66,2014,2014-11-09,10,27.339,PIT,@,NYJ,L 13-20,,5,0,0.00,0,0,0,0,,0,0.0%,,1,21,21.00,0,,0,0,0.0,0,0
67,2014,2014-11-17,11,27.347,PIT,@,TEN,W 27-24,,,,,,,,,,,0.0%,,,,,,,,,,,
68,2014,2014-11-23,11,27.353,NWE,,DET,W 34-9,,12,78,6.50,2,0,0,0,,0,0.0%,,0,0,,0,,2,12,0.0,0,0
69,2014,2014-11-30,12,27.360,NWE,@,GNB,L 21-26,,10,58,5.80,0,0,0,0,,0,0.0%,,0,0,,0,,0,0,0.0,0,0
70,2014,2014-12-07,13,28.002,NWE,@,SDG,W 23-14,*,20,66,3.30,0,2,2,11,5.50,0,100.0%,5.50,0,0,,0,,0,0,0.0,0,0
71,2014,2014-12-14,14,28.009,NWE,,MIA,W 41-13,,8,17,2.13,1,2,2,7,3.50,0,100.0%,3.50,0,0,,0,,1,6,0.0,0,0
72,2014,2014-12-28,16,28.023,NWE,,BUF,L 9-17,,10,62,6.20,0,0,0,0,,0,0.0%,,0,0,,0,,0,0,0.0,0,0
73,2015,2015-09-20,2,28.289,NWE,@,BUF,W 40-32,,2,4,2.00,0,0,0,0,,0,0.0%,,0,0,,0,,0,0,0.0,0,0
74,2015,2015-09-27,3,28.296,NWE,,JAX,W 51-17,,18,78,4.33,3,1,1,14,14.00,0,100.0%,14.00,0,0,,0,,3,18,0.0,0,0
75,2015,2015-10-11,4,28.310,NWE,@,DAL,W 30-6,,13,74,5.69,0,0,0,0,,0,0.0%,,0,0,,0,,0,0,0.0,0,0
76,2015,2015-10-18,5,28.317,NWE,@,IND,W 34-27,,16,93,5.81,1,1,1,11,11.00,1,100.0%,11.00,0,0,,0,,2,12,0.0,0,0
77,2015,2015-10-25,6,28.324,NWE,,NYJ,W 30-23,,3,-3,-1.00,0,0,0,0,,0,0.0%,,0,0,,0,,0,0,0.0,0,0
78,2015,2015-10-29,7,28.328,NWE,,MIA,W 36-7,*,17,72,4.24,0,1,1,2,2.00,0,100.0%,2.00,0,0,,0,,0,0,0.0,0,0
79,2015,2015-11-08,8,28.338,NWE,,WAS,W 27-10,,29,129,4.45,1,0,0,0,,0,0.0%,,0,0,,0,,1,6,0.0,0,0
80,2015,2015-11-15,9,28.345,NWE,@,NYG,W 27-26,*,19,66,3.47,1,2,2,11,5.50,0,100.0%,5.50,0,0,,0,,1,6,0.0,0,0
81,2015,2015-11-23,10,28.353,NWE,,BUF,W 20-13,*,16,56,3.50,0,2,1,5,5.00,0,50.0%,2.50,0,0,,0,,0,0,0.0,0,0
82,2015,2015-11-29,11,28.359,NWE,@,DEN,L 24-30,*,9,27,3.00,0,0,0,0,,0,0.0%,,0,0,,0,,0,0,0.0,0,0
83,2015,2015-12-06,12,29.001,NWE,,PHI,L 28-35,*,13,54,4.15,0,0,0,0,,0,0.0%,,0,0,,0,,0,0,0.0,0,0
84,2015,2015-12-13,13,29.008,NWE,@,HOU,W 27-6,*,10,53,5.30,0,0,0,0,,0,0.0%,,0,0,,0,,0,0,0.0,0,0
