ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,rush_att,rush_yds,rush_yds_per_att,rush_td,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,two_pt_md,all_td,scoring,sacks,tackles_solo,tackles_assists
1,2003,2003-09-07,1,22.064,SFO,,CHI,W 49-7,,,,,,,0.0%,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2003,2003-09-14,2,22.071,SFO,@,STL,L 24-27,,,,,,,0.0%,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2003,2003-09-21,3,22.078,SFO,,CLE,L 12-13,,1,,,,,0.0%,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2003,2003-09-28,4,22.085,SFO,@,MIN,L 7-35,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,,,,,,1,21,21.00,0,,0,0,0.0,,
5,2003,2003-10-05,5,22.092,SFO,,DET,W 24-17,,1,1,26,26.00,0,100.0%,26.00,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,,0,0,0.0,,
6,2003,2003-10-12,6,22.099,SFO,@,SEA,L 19-20,,,,,,,0.0%,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2003,2003-10-19,7,22.106,SFO,,TAM,W 24-7,,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,0,0,,,,,,1,11,11.00,0,,0,0,0.0,,
8,2003,2003-10-26,8,22.113,SFO,@,ARI,L 13-16,,,,,,,0.0%,,,,,,,,,,,,,,,,,,,,,,,,,,
9,2003,2003-11-02,9,22.120,SFO,,STL,W 30-10,,2,2,35,17.50,1,100.0%,17.50,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,,1,6,0.0,,
10,2003,2003-11-17,10,22.135,SFO,,PIT,W 30-14,,4,3,15,5.00,0,75.0%,3.75,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,,0,0,0.0,,
11,2003,2003-11-23,11,22.141,SFO,@,GNB,L 10-20,,1,,,,,0.0%,,,,,,,,,,,,,,,,,,,,,,,,,,
12,2003,2003-11-30,12,22.148,SFO,@,BAL,L 6-44,,3,1,32,32.00,0,33.3%,10.67,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,,0,0,0.0,,
13,2003,2003-12-07,13,22.155,SFO,,ARI,W 50-14,,2,1,6,6.00,0,50.0%,3.00,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,,0,0,0.0,,
14,2003,2003-12-14,14,22.162,SFO,@,CIN,L 38-41,,2,1,2,2.00,0,50.0%,1.00,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,,0,0,0.0,,
15,2003,2003-12-21,15,22.169,SFO,@,PHI,W 31-28,,4,2,33,16.50,1,50.0%,8.25,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,,1,6,0.0,,
16,2003,2003-12-27,16,22.175,SFO,,SEA,L 17-24,*,9,3,63,21.00,0,33.3%,7.00,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,,0,0,0.0,,
17,2004,2004-09-12,1,23.069,SFO,,ATL,L 19-21,*,11,4,29,7.25,0,36.4%,2.64,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,,0,0,0.0,,
18,2004,2004-09-19,2,23.076,SFO,@,NOR,L 27-30,*,3,1,7,7.00,0,33.3%,2.33,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,,0,0,0.0,,
19,2004,2004-10-10,5,23.097,SFO,,ARI,W 31-28,*,11,5,56,11.20,1,45.5%,5.09,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,,1,6,0.0,,
20,2004,2004-10-17,6,23.104,SFO,@,NYJ,L 14-22,*,10,6,93,15.50,1,60.0%,9.30,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,,1,6,0.0,,
21,2004,2004-10-31,7,23.118,SFO,@,CHI,L 13-23,*,11,5,63,12.60,0,45.5%,5.73,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,,0,0,0.0,,
22,2004,2004-11-07,8,23.125,SFO,,SEA,L 27-42,*,8,4,75,18.75,1,50.0%,9.38,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,,1,6,0.0,,
23,2004,2004-11-14,9,23.132,SFO,,CAR,L 27-37,*,8,5,62,12.40,1,62.5%,7.75,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,,1,6,0.0,,
24,2004,2004-11-21,10,23.139,SFO,@,TAM,L 3-35,*,3,1,7,7.00,0,33.3%,2.33,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,,0,0,0.0,,
25,2004,2004-11-28,11,23.146,SFO,,MIA,L 17-24,*,4,2,15,7.50,0,50.0%,3.75,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,,0,0,0.0,,
26,2004,2004-12-05,12,23.153,SFO,@,STL,L 6-16,*,2,2,64,32.00,0,100.0%,32.00,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,,0,0,0.0,,
27,2004,2004-12-12,13,23.160,SFO,@,ARI,W 31-28,*,6,2,18,9.00,1,33.3%,3.00,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,,1,6,0.0,,
28,2004,2004-12-18,14,23.166,SFO,,WAS,L 16-26,*,10,4,51,12.75,1,40.0%,5.10,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,,1,6,0.0,,
29,2004,2004-12-26,15,23.174,SFO,,BUF,L 7-41,*,2,2,25,12.50,0,100.0%,12.50,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,,0,0,0.0,,
30,2005,2005-09-11,1,24.068,SFO,,STL,W 28-25,*,5,3,65,21.67,1,60.0%,13.00,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,,1,6,0.0,,
31,2005,2005-09-18,2,24.075,SFO,@,PHI,L 3-42,,7,3,17,5.67,0,42.9%,2.43,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,,0,0,0.0,,
32,2005,2005-09-25,3,24.082,SFO,,DAL,L 31-34,*,6,4,142,35.50,2,66.7%,23.67,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,,2,12,0.0,,
33,2005,2005-10-02,4,24.089,SFO,@,ARI,L 14-31,*,10,7,102,14.57,0,70.0%,10.20,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,,0,0,0.0,,
34,2005,2005-10-09,5,24.096,SFO,,IND,L 3-28,*,3,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,,0,0,0.0,,
35,2005,2005-10-23,6,24.110,SFO,@,WAS,L 17-52,*,7,2,43,21.50,0,28.6%,6.14,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,,0,0,0.0,,
36,2005,2005-10-30,7,24.117,SFO,,TAM,W 15-10,*,6,2,18,9.00,0,33.3%,3.00,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,,0,0,0.0,,
37,2005,2005-11-06,8,24.124,SFO,,NYG,L 6-24,*,6,1,13,13.00,0,16.7%,2.17,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,,0,0,0.0,,
38,2005,2005-11-13,9,24.131,SFO,@,CHI,L 9-17,*,6,1,28,28.00,0,16.7%,4.67,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,,0,0,0.0,,
39,2005,2005-11-20,10,24.138,SFO,,SEA,L 25-27,*,12,7,119,17.00,1,58.3%,9.92,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,,1,6,0.0,,
