ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rush_att,rush_yds,rush_yds_per_att,rush_td,all_td,scoring,sacks,def_int,def_int_yds,def_int_td
1,1986,1986-09-07,1,22.307,MIN,,DET,L 10-13,,,,,,,,,,
2,1986,1986-09-14,2,22.314,MIN,@,TAM,W 23-10,,,,,,,,,,
3,1986,1986-09-21,3,22.321,MIN,,PIT,W 31-7,0,0,,0,0,0,0.0,1,18,0
4,1986,1986-09-28,4,22.328,MIN,,GNB,W 42-7,,,,,,,,,,
5,1986,1986-10-05,5,22.335,MIN,@,CHI,L 0-23,,,,,,,,,,
6,1986,1986-11-02,9,22.363,MIN,@,WAS,L 38-44,,,,,,,,,,
7,1986,1986-11-09,10,23.005,MIN,@,DET,W 24-10,,,,,,,,,,
8,1986,1986-11-16,11,23.012,MIN,,NYG,L 20-22,,,,,,,,,,
9,1986,1986-11-23,12,23.019,MIN,@,CIN,L 20-24,,,,,,,,,,
10,1986,1986-11-30,13,23.026,MIN,,TAM,W 45-13,,,,,,,,,,
11,1986,1986-12-07,14,23.033,MIN,@,GNB,W 32-6,,,,,,,,,,
12,1986,1986-12-14,15,23.040,MIN,@,HOU,L 10-23,,,,,,,,,,
13,1986,1986-12-21,16,23.047,MIN,,NOR,W 33-17,0,0,,0,0,0,0.0,1,16,0
14,1987,1987-09-13,1,23.313,MIN,,DET,W 34-19,,,,,,,,,,
15,1987,1987-09-20,2,23.320,MIN,@,RAM,W 21-16,0,0,,0,0,0,0.0,1,30,0
16,1987,1987-10-26,6,23.356,MIN,,DEN,W 34-27,0,0,,0,0,0,1.0,0,0,0
17,1987,1987-11-01,7,23.362,MIN,@,SEA,L 17-28,,,,,,,,,,
18,1987,1987-11-08,8,24.004,MIN,,RAI,W 31-20,,,,,,,,,,
19,1987,1987-11-15,9,24.011,MIN,,TAM,W 23-17,,,,,,,,,,
20,1987,1987-11-22,10,24.018,MIN,,ATL,W 24-13,,,,,,,,,,
21,1987,1987-11-26,11,24.022,MIN,@,DAL,W 44-38,,,,,,,,,,
22,1987,1987-12-06,12,24.032,MIN,,CHI,L 24-30,,,,,,,,,,
23,1987,1987-12-13,13,24.039,MIN,@,GNB,L 10-16,0,0,,0,0,0,1.0,0,0,0
24,1987,1987-12-20,14,24.046,MIN,@,DET,W 17-14,,,,,,,,,,
25,1987,1987-12-26,15,24.052,MIN,,WAS,L 24-27,,,,,,,,,,
26,1988,1988-09-04,1,24.305,MIN,@,BUF,L 10-13,,,,,,,,,,
27,1988,1988-09-11,2,24.312,MIN,,NWE,W 36-6,0,0,,0,0,0,0.0,1,2,0
28,1988,1988-09-18,3,24.319,MIN,@,CHI,W 31-7,0,0,,0,0,0,0.0,1,0,0
29,1988,1988-09-25,4,24.326,MIN,,PHI,W 23-21,0,0,,0,0,0,0.5,0,0,0
30,1988,1988-10-02,5,24.333,MIN,@,MIA,L 7-24,0,0,,0,0,0,0.0,1,4,0
31,1988,1988-10-09,6,24.340,MIN,,TAM,W 14-13,,,,,,,,,,
32,1988,1988-10-16,7,24.347,MIN,,GNB,L 14-34,,,,,,,,,,
