ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,rush_att,rush_yds,rush_yds_per_att,rush_td,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,all_td,scoring,sacks,tackles_solo,tackles_assists
1,1995,1995-09-03,1,23.260,KAN,@,SEA,W 34-10,,2,3,1.50,0,0,0,0,,0,0.0%,,0,0,,0,0,0,0.0,,
2,1995,1995-09-10,2,23.267,KAN,,NYG,W 20-17,,1,5,5.00,0,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,0.0,,
3,1995,1995-09-17,3,23.274,KAN,,OAK,W 23-17,,0,0,,0,0,,,,,0.0%,,,,,,,,,,
4,1995,1995-09-24,4,23.281,KAN,@,CLE,L 17-35,,0,0,,0,,,,,,0.0%,,,,,,,,,,
5,1995,1995-10-01,5,23.288,KAN,@,ARI,W 24-3,,0,0,,0,,,,,,0.0%,,,,,,,,,,
6,1995,1995-10-09,6,23.296,KAN,,SDG,W 29-23,,1,4,4.00,0,0,0,0,,0,0.0%,,0,0,,0,0,0,0.0,,
7,1995,1995-10-15,7,23.302,KAN,,NWE,W 31-26,,1,0,0.00,0,0,0,0,,0,0.0%,,0,0,,0,0,0,0.0,,
8,1995,1995-10-22,8,23.309,KAN,@,DEN,W 21-7,,0,0,,0,0,,,,,0.0%,,,,,,,,,,
9,1995,1995-11-05,9,23.323,KAN,,WAS,W 24-3,,1,2,2.00,0,0,0,0,,0,0.0%,,0,0,,0,0,0,0.0,,
10,1995,1995-11-12,10,23.330,KAN,@,SDG,W 22-7,,1,4,4.00,0,0,0,0,,0,0.0%,,0,0,,0,0,0,0.0,,
11,1995,1995-11-23,12,23.341,KAN,@,DAL,L 12-24,,0,0,,0,,,,,,0.0%,,,,,,,,,,
12,1995,1995-12-03,13,23.351,KAN,@,OAK,W 29-23,,1,0,0.00,0,0,0,0,,0,0.0%,,0,0,,0,0,0,0.0,,
