ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,rush_att,rush_yds,rush_yds_per_att,rush_td,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,def_int,def_int_yds,def_int_td
1,1998,1998-09-06,1,23.017,ATL,@,CAR,W 19-14,,,,,,,,,,,,
2,1998,1998-09-13,2,23.024,ATL,,PHI,W 17-12,,2,-2,-1.00,0,1,28,28.00,0,0,0,0
3,1998,1998-10-04,4,23.045,ATL,,CAR,W 51-23,,,,,,,,,,,,
4,1998,1998-10-11,5,23.052,ATL,@,NYG,W 34-20,,,,,,,,,,,,
5,1998,1998-10-18,6,23.059,ATL,,NOR,W 31-23,,,,,,,,,,,,
6,1998,1998-10-25,7,23.066,ATL,@,NYJ,L 3-28,,,,,,,,,,,,
7,1998,1998-11-01,8,23.073,ATL,,STL,W 37-15,,0,0,,0,1,20,20.00,0,0,0,0
8,1998,1998-11-08,9,23.080,ATL,@,NWE,W 41-10,,0,0,,0,2,22,11.00,0,0,0,0
9,1998,1998-11-15,10,23.087,ATL,,SFO,W 31-19,,,,,,,,,,,,
10,1998,1998-11-22,11,23.094,ATL,,CHI,W 20-13,,0,0,,0,3,62,20.67,0,0,0,0
11,1998,1998-11-29,12,23.101,ATL,@,STL,W 21-10,,,,,,,,,,,,
12,1998,1998-12-06,13,23.108,ATL,,IND,W 28-21,,,,,,,,,,,,
13,1998,1998-12-13,14,23.115,ATL,@,NOR,W 27-17,,,,,,,,,,,,
14,1998,1998-12-20,15,23.122,ATL,@,DET,W 24-17,,,,,,,,,,,,
15,1998,1998-12-27,16,23.129,ATL,,MIA,W 38-16,,,,,,,,,,,,
16,1999,1999-09-12,1,24.023,ATL,,MIN,L 14-17,*,,,,,,,,,,,
17,1999,1999-09-20,2,24.031,ATL,@,DAL,L 7-24,,,,,,,,,,,,
18,1999,1999-09-26,3,24.037,ATL,@,STL,L 7-35,,,,,,,,,,,,
19,1999,1999-10-03,4,24.044,ATL,,BAL,L 13-19,,,,,,,,,,,,
20,1999,1999-10-10,5,24.051,ATL,@,NOR,W 20-17,,,,,,,,,,,,
21,1999,1999-10-17,6,24.058,ATL,,STL,L 13-41,,,,,,,,,,,,
22,1999,1999-10-25,7,24.066,ATL,@,PIT,L 9-13,,,,,,,,,,,,
23,1999,1999-11-07,9,24.079,ATL,,JAX,L 7-30,,,,,,,,,,,,
24,1999,1999-11-21,10,24.093,ATL,@,TAM,L 10-19,,,,,,,,,,,,
25,1999,1999-11-28,11,24.100,ATL,@,CAR,L 28-34,,,,,,,,,,,,
26,1999,1999-12-05,12,24.107,ATL,,NOR,W 35-12,,,,,,,,,,,,
27,1999,1999-12-12,13,24.114,ATL,@,SFO,L 7-26,,0,0,,0,1,9,9.00,0,0,0,0
28,1999,1999-12-19,14,24.121,ATL,@,TEN,L 17-30,,0,0,,0,2,28,14.00,0,0,0,0
29,1999,1999-12-26,15,24.128,ATL,,ARI,W 37-14,,,,,,,,,,,,
30,1999,2000-01-03,16,24.136,ATL,,SFO,W 34-29,*,,,,,,,,,,,
31,2000,2000-09-03,1,25.014,ATL,,SFO,W 36-28,,,,,,,,,,,,
32,2000,2000-09-10,2,25.021,ATL,@,DEN,L 14-42,,,,,,,,,,,,
33,2000,2000-09-17,3,25.028,ATL,@,CAR,W 15-10,,,,,,,,,,,,
34,2000,2000-09-24,4,25.035,ATL,,STL,L 20-41,,,,,,,,,,,,
35,2000,2000-10-01,5,25.042,ATL,@,PHI,L 10-38,,,,,,,,,,,,
36,2000,2000-10-08,6,25.049,ATL,,NYG,L 6-13,,,,,,,,,,,,
37,2000,2000-10-15,7,25.056,ATL,@,STL,L 29-45,*,0,0,,0,1,19,19.00,0,0,0,0
38,2000,2000-10-22,8,25.063,ATL,,NOR,L 19-21,,,,,,,,,,,,
39,2000,2000-10-29,9,25.070,ATL,,CAR,W 13-12,,,,,,,,,,,,
40,2000,2000-11-05,10,25.077,ATL,,TAM,L 14-27,,,,,,,,,,,,
41,2000,2000-11-12,11,25.084,ATL,@,DET,L 10-13,,0,0,,0,0,0,,0,1,1,0
42,2000,2000-11-19,12,25.091,ATL,@,SFO,L 6-16,,,,,,,,,,,,
43,2000,2000-11-26,13,25.098,ATL,@,OAK,L 14-41,,0,0,,0,1,15,15.00,0,0,0,0
44,2000,2000-12-03,14,25.105,ATL,,SEA,L 10-30,,,,,,,,,,,,
45,2000,2000-12-17,15,25.119,ATL,@,NOR,L 7-23,*,,,,,,,,,,,
46,2001,2001-11-25,10,26.097,ATL,@,CAR,W 10-7,,,,,,,,,,,,
47,2001,2001-12-02,11,26.104,ATL,,STL,L 6-35,,,,,,,,,,,,
48,2001,2001-12-09,12,26.111,ATL,,NOR,L 10-28,,,,,,,,,,,,
49,2001,2001-12-30,15,26.132,ATL,@,MIA,L 14-21,,,,,,,,,,,,
50,2001,2002-01-06,16,26.139,ATL,@,STL,L 13-31,*,,,,,,,,,,,
