ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rush_att,rush_yds,rush_yds_per_att,rush_td,rec,rec_yds,rec_yds_per_rec,rec_td,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,xpm,xpa,xp_perc,fgm,fga,fg_perc,all_td,scoring
1,1960,1960-09-11,1,23.182,NYT,,BUF,W 27-3,3,11,3.67,0,0,0,,0,0,0,,0,1,3,3.00,0,3,3,100.0,2,4,50.0,0,9
2,1960,1960-09-17,2,23.188,NYT,,BOS,L 24-28,0,0,,0,0,0,,0,0,0,,0,1,9,9.00,0,3,3,100.0,1,1,100.0,0,6
3,1960,1960-09-23,3,23.194,NYT,,DEN,W 28-24,0,0,,0,0,0,,0,,,,,,,,,4,4,100.0,,,,0,4
4,1960,1960-10-02,4,23.203,NYT,@,DTX,W 37-35,5,43,8.60,0,1,5,5.00,1,0,0,,0,0,0,,0,4,5,80.0,1,2,50.0,1,13
5,1960,1960-10-09,5,23.210,NYT,@,HOU,L 21-27,0,0,,0,0,0,,0,1,19,19.00,0,0,0,,0,3,3,100.0,,1,0.0,0,3
6,1960,1960-10-16,6,23.217,NYT,@,BUF,W 17-13,7,35,5.00,0,1,8,8.00,0,0,0,,0,1,0,0.00,0,2,2,100.0,1,1,100.0,0,5
7,1960,1960-10-23,7,23.224,NYT,,HOU,L 28-42,2,-2,-1.00,0,2,8,4.00,0,3,96,32.00,0,0,0,,0,4,4,100.0,,,,0,4
8,1960,1960-10-28,8,23.229,NYT,,OAK,L 27-28,5,30,6.00,0,1,-2,-2.00,0,1,23,23.00,0,0,0,,0,3,3,100.0,2,3,66.7,0,9
9,1960,1960-11-04,9,23.236,NYT,,LAC,L 7-21,0,0,,0,0,0,,0,3,44,14.67,0,0,0,,0,1,1,100.0,,1,0.0,0,1
10,1960,1960-11-11,10,23.243,NYT,@,BOS,L 21-38,3,8,2.67,0,1,7,7.00,0,1,17,17.00,0,0,0,,0,3,3,100.0,,1,0.0,0,3
11,1960,1960-11-24,11,23.256,NYT,,DTX,W 41-35,1,-1,-1.00,0,0,0,,0,1,15,15.00,0,0,0,,0,5,6,83.3,,1,0.0,0,5
