ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rec,rec_yds,rec_yds_per_rec,rec_td,all_td,scoring,punt,punt_yds,punt_yds_per_punt,punt_blocked
1,1961,1961-10-01,4,21.292,OAK,,DEN,W 33-19,0,0,,0,0,0,1,17,17.00,0
2,1961,1961-10-15,5,21.306,OAK,@,DEN,L 24-27,3,44,14.67,0,0,0,0,0,,0
3,1961,1961-10-22,6,21.313,OAK,,SDG,L 10-41,1,7,7.00,0,0,0,2,72,36.00,0
4,1961,1961-11-11,9,21.333,OAK,@,NYT,L 12-23,1,19,19.00,0,0,0,0,0,,0
5,1961,1961-11-26,11,21.348,OAK,@,DTX,L 11-43,3,28,9.33,0,0,0,4,123,30.75,0
6,1961,1961-12-03,12,21.355,OAK,,BUF,L 21-26,4,32,8.00,0,0,0,4,103,25.75,0
7,1961,1961-12-09,13,21.361,OAK,,BOS,L 21-35,1,54,54.00,1,1,6,1,0,0.00,1
8,1961,1961-12-17,14,22.004,OAK,,HOU,L 16-47,5,51,10.20,0,0,0,0,0,,0
