ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,sacks,tackles_solo,tackles_assists
1,2007,2007-09-09,1,23.071,KAN,@,HOU,L 3-20,,,,,,,,
2,2007,2007-09-16,2,23.078,KAN,@,CHI,L 10-20,*,,,,,,,
3,2007,2007-09-23,3,23.085,KAN,,MIN,W 13-10,,,,,,,,
4,2007,2007-09-30,4,23.092,KAN,@,SDG,W 30-16,,,,,,,,
5,2007,2007-10-07,5,23.099,KAN,,JAX,L 7-17,,,,,,,,
6,2007,2007-10-14,6,23.106,KAN,,CIN,W 27-20,,,,,,,,
7,2007,2007-10-21,7,23.113,KAN,@,OAK,W 12-10,,,,,,,,
8,2007,2007-11-04,8,23.127,KAN,,GNB,L 22-33,,,,,,,,
9,2007,2007-11-11,9,23.134,KAN,,DEN,L 11-27,,,,,,,,
10,2007,2007-11-18,10,23.141,KAN,@,IND,L 10-13,,,,,,,,
11,2007,2007-11-25,11,23.148,KAN,,OAK,L 17-20,,,,,,,,
12,2007,2007-12-02,12,23.155,KAN,,SDG,L 10-24,,,,,,,,
13,2007,2007-12-09,13,23.162,KAN,@,DEN,L 7-41,,,,,,,,
14,2008,2008-11-02,8,24.125,KAN,,TAM,L 27-30,,0,0,,0,0.0,4,1
15,2009,2009-09-13,1,25.075,JAX,@,IND,L 12-14,,0,0,,0,0.0,3,1
16,2009,2009-09-20,2,25.082,JAX,,ARI,L 17-31,,0,0,,0,0.0,0,0
17,2009,2009-09-27,3,25.089,JAX,@,HOU,W 31-24,,,,,,,,
18,2009,2009-10-04,4,25.096,JAX,,TEN,W 37-17,,,,,,,,
19,2009,2009-10-11,5,25.103,JAX,@,SEA,L 0-41,,,,,,,,
20,2009,2009-10-18,6,25.110,JAX,,STL,W 23-20,,,,,,,,
21,2009,2009-11-01,7,25.124,JAX,@,TEN,L 13-30,,0,0,,0,0.0,0,0
22,2009,2009-11-08,8,25.131,JAX,,KAN,W 24-21,,0,0,,0,0.0,0,0
23,2009,2009-11-15,9,25.138,JAX,@,NYJ,W 24-22,,,,,,,,
24,2009,2009-11-22,10,25.145,JAX,,BUF,W 18-15,*,0,0,,0,0.0,2,1
25,2009,2009-11-29,11,25.152,JAX,@,SFO,L 3-20,*,0,0,,0,0.0,3,0
26,2009,2009-12-06,12,25.159,JAX,,HOU,W 23-18,*,0,0,,0,0.0,5,1
27,2009,2009-12-13,13,25.166,JAX,,MIA,L 10-14,*,0,0,,0,0.0,9,0
28,2009,2009-12-17,14,25.170,JAX,,IND,L 31-35,,,,,,,,
29,2009,2009-12-27,15,25.180,JAX,@,NWE,L 7-35,,0,0,,0,0.0,1,1
30,2009,2010-01-03,16,25.187,JAX,@,CLE,L 17-23,*,0,0,,0,0.0,2,0
31,2010,2010-09-12,1,26.074,JAX,,DEN,W 24-17,,,,,,,,
32,2010,2010-09-19,2,26.081,JAX,@,SDG,L 13-38,,0,0,,0,0.0,3,0
33,2010,2010-09-26,3,26.088,JAX,,PHI,L 3-28,,0,0,,0,0.0,0,0
34,2010,2010-10-03,4,26.095,JAX,,IND,W 31-28,,0,0,,0,0.0,0,0
35,2010,2010-10-10,5,26.102,JAX,@,BUF,W 36-26,,0,0,,0,0.0,0,0
36,2010,2010-10-18,6,26.110,JAX,,TEN,L 3-30,,,,,,,,
37,2010,2010-10-24,7,26.116,JAX,@,KAN,L 20-42,,0,0,,0,0.0,1,0
38,2010,2010-10-31,8,26.123,JAX,@,DAL,W 35-17,,0,0,,0,0.0,0,0
39,2010,2010-11-14,9,26.137,JAX,,HOU,W 31-24,,,,,,,,
40,2010,2010-11-21,10,26.144,JAX,,CLE,W 24-20,,,,,,,,
41,2010,2010-11-28,11,26.151,JAX,@,NYG,L 20-24,,,,,,,,
42,2010,2010-12-05,12,26.158,JAX,@,TEN,W 17-6,,,,,,,,
43,2010,2010-12-12,13,26.165,JAX,,OAK,W 38-31,,0,0,,0,0.0,0,0
44,2010,2010-12-19,14,26.172,JAX,@,IND,L 24-34,,0,0,,0,0.0,0,1
45,2010,2010-12-26,15,26.179,JAX,,WAS,L 17-20,,1,1,1.00,0,0.0,0,1
46,2010,2011-01-02,16,26.186,JAX,@,HOU,L 17-34,,0,0,,0,0.0,0,0
