ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td
1,1965,1965-10-10,5,23.035,KAN,@,DEN,W 31-23,2,71,35.50,0,0,0,,0
2,1965,1965-10-24,7,23.049,KAN,@,HOU,L 36-38,3,62,20.67,0,1,8,8.00,0
3,1965,1965-10-31,8,23.056,KAN,,OAK,W 14-7,1,24,24.00,0,2,2,1.00,0
4,1965,1965-11-07,9,23.063,KAN,,NYJ,L 10-13,3,69,23.00,0,1,0,0.00,0
5,1966,1966-10-16,6,24.041,KAN,,OAK,L 13-34,1,24,24.00,0,0,0,,0
6,1967,1967-10-22,6,25.047,NYJ,@,MIA,W 33-14,1,14,14.00,0,0,0,,0
7,1967,1967-10-29,7,25.054,NYJ,,BOS,W 30-23,2,36,18.00,0,0,0,,0
8,1967,1967-11-05,8,25.061,NYJ,@,KAN,L 18-42,3,48,16.00,0,0,0,,0
9,1967,1967-11-12,9,25.068,NYJ,,BUF,W 20-10,1,47,47.00,0,0,0,,0
10,1967,1967-12-03,11,25.089,NYJ,,DEN,L 24-33,2,59,29.50,0,0,0,,0
