ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,rush_att,rush_yds,rush_yds_per_att,rush_td,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,two_pt_md,all_td,scoring,sacks,tackles_solo,tackles_assists
1,2011,2011-09-11,1,22.355,SEA,@,SFO,L 17-33,,6,4,83,20.75,1,66.7%,13.83,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,1,6,0.0,0,0
2,2011,2011-09-18,2,22.362,SEA,@,PIT,L 0-24,,2,1,4,4.00,0,50.0%,2.00,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,0,0,0.0,0,0
3,2011,2011-09-25,3,23.004,SEA,,ARI,W 13-10,,4,2,23,11.50,0,50.0%,5.75,1,-2,-2.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,0,0,0.0,1,0
4,2011,2011-10-02,4,23.011,SEA,,ATL,L 28-30,,6,5,84,16.80,0,83.3%,14.00,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,0,0,0.0,0,0
5,2011,2011-10-09,5,23.018,SEA,@,NYG,W 36-25,,9,8,136,17.00,1,88.9%,15.11,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,1,6,0.0,0,0
6,2011,2011-10-23,6,23.032,SEA,@,CLE,L 3-6,,3,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,0,0,0.0,0,0
7,2011,2011-10-30,7,23.039,SEA,,CIN,L 12-34,,8,5,73,14.60,0,62.5%,9.13,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,0,0,0.0,0,0
8,2011,2011-11-06,8,23.046,SEA,@,DAL,L 13-23,,6,3,31,10.33,0,50.0%,5.17,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,0,0,0.0,1,0
9,2011,2011-11-13,9,23.053,SEA,,BAL,W 22-17,,3,1,50,50.00,0,33.3%,16.67,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,0,0,0.0,0,0
10,2011,2011-11-20,10,23.060,SEA,@,STL,W 24-7,,5,3,60,20.00,0,60.0%,12.00,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,0,0,0.0,0,0
