ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rec,rec_yds,rec_yds_per_rec,rec_td,rush_att,rush_yds,rush_yds_per_att,rush_td,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,all_td,scoring
1,1965,1965-12-12,13,23.275,PIT,,PHI,L 13-47,4,32,8.00,0,0,0,,0,0,0,,0,0,0
2,1966,1966-09-11,1,24.183,PIT,,NYG,T 34-34,3,61,20.33,1,0,0,,0,0,0,,0,1,6
3,1966,1966-09-18,2,24.190,PIT,,DET,W 17-3,7,91,13.00,1,0,0,,0,0,0,,0,1,6
4,1966,1966-09-25,3,24.197,PIT,,WAS,L 27-33,3,44,14.67,0,0,0,,0,0,0,,0,0,0
5,1966,1966-10-02,4,24.204,PIT,@,WAS,L 10-24,5,31,6.20,0,0,0,,0,0,0,,0,0,0
6,1966,1966-10-08,5,24.210,PIT,@,CLE,L 10-41,5,58,11.60,0,0,0,,0,0,0,,0,0,0
7,1966,1966-10-16,6,24.218,PIT,,PHI,L 14-31,4,33,8.25,0,0,0,,0,0,0,,0,0,0
8,1966,1966-10-30,7,24.232,PIT,@,DAL,L 21-52,2,16,8.00,1,0,0,,0,0,0,,0,1,6
9,1966,1966-11-06,8,24.239,PIT,,CLE,W 16-6,4,59,14.75,0,0,0,,0,0,0,,0,0,0
10,1966,1966-11-13,9,24.246,PIT,,STL,W 30-9,2,17,8.50,1,0,0,,0,0,0,,0,1,6
11,1966,1966-11-20,10,24.253,PIT,,DAL,L 7-20,5,75,15.00,0,0,0,,0,0,0,,0,0,0
12,1966,1966-11-27,11,24.260,PIT,@,STL,L 3-6,2,34,17.00,0,0,0,,0,0,0,,0,0,0
13,1966,1966-12-11,13,24.274,PIT,@,NYG,W 47-28,2,33,16.50,0,0,0,,0,1,0,0.00,0,0,0
14,1966,1966-12-18,14,24.281,PIT,@,ATL,W 57-33,3,62,20.67,0,0,0,,0,0,0,,0,0,0
15,1967,1967-09-17,1,25.189,PIT,,CHI,W 41-13,3,71,23.67,1,0,0,,0,0,0,,0,1,6
16,1967,1967-10-07,4,25.209,PIT,@,CLE,L 10-21,2,16,8.00,0,1,15,15.00,0,0,0,,0,0,0
17,1967,1967-10-15,5,25.217,PIT,,NYG,L 24-27,3,37,12.33,1,0,0,,0,0,0,,0,1,6
18,1967,1967-10-22,6,25.224,PIT,,DAL,L 21-24,2,36,18.00,1,0,0,,0,0,0,,0,1,6
19,1967,1967-10-29,7,25.231,PIT,@,NOR,W 14-10,1,10,10.00,0,0,0,,0,0,0,,0,0,0
20,1967,1967-11-05,8,25.238,PIT,,CLE,L 14-34,6,88,14.67,0,0,0,,0,0,0,,0,0,0
21,1967,1967-11-12,9,25.245,PIT,@,STL,T 14-14,3,37,12.33,0,0,0,,0,0,0,,0,0,0
22,1967,1967-11-19,10,25.252,PIT,@,NYG,L 20-28,2,15,7.50,1,0,0,,0,0,0,,0,1,6
23,1967,1967-12-03,12,25.266,PIT,@,DET,W 24-14,0,0,,0,0,0,,0,1,0,0.00,0,0,0
24,1967,1967-12-10,13,25.273,PIT,,WAS,L 10-15,3,28,9.33,1,0,0,,0,0,0,,0,1,6
25,1967,1967-12-17,14,25.280,PIT,@,GNB,W 24-17,1,5,5.00,0,0,0,,0,0,0,,0,0,0
26,1968,1968-09-15,1,26.187,PIT,,NYG,L 20-34,2,31,15.50,0,0,0,,0,0,0,,0,0,0
27,1968,1968-09-22,2,26.194,PIT,@,RAM,L 10-45,1,9,9.00,0,0,0,,0,0,0,,0,0,0
28,1968,1968-09-29,3,26.201,PIT,,BAL,L 7-41,4,58,14.50,0,0,0,,0,0,0,,0,0,0
29,1968,1968-10-13,5,26.215,PIT,@,WAS,L 13-16,4,51,12.75,0,0,0,,0,0,0,,0,0,0
30,1968,1968-10-20,6,26.222,PIT,,NOR,L 12-16,1,11,11.00,0,0,0,,0,0,0,,0,0,0
31,1968,1968-11-03,8,26.236,PIT,@,ATL,W 41-21,1,12,12.00,0,0,0,,0,0,0,,0,0,0
32,1968,1968-11-10,9,26.243,PIT,@,STL,T 28-28,2,19,9.50,0,0,0,,0,0,0,,0,0,0
33,1968,1968-12-08,13,26.271,PIT,@,DAL,L 7-28,3,55,18.33,1,0,0,,0,1,9,9.00,0,1,6
34,1968,1968-12-15,14,26.278,PIT,@,NOR,L 14-24,1,11,11.00,0,0,0,,0,0,0,,0,0,0
35,1969,1969-09-21,1,27.193,PIT,,DET,W 16-13,3,68,22.67,0,0,0,,0,0,0,,0,0,0
36,1969,1969-09-28,2,27.200,PIT,@,PHI,L 27-41,2,23,11.50,0,0,0,,0,0,0,,0,0,0
37,1969,1969-10-05,3,27.207,PIT,,STL,L 14-27,1,21,21.00,0,0,0,,0,0,0,,0,0,0
38,1969,1969-10-12,4,27.214,PIT,@,NYG,L 7-10,1,15,15.00,0,0,0,,0,0,0,,0,0,0
39,1969,1969-10-26,6,27.228,PIT,,WAS,L 7-14,2,52,26.00,0,0,0,,0,0,0,,0,0,0
40,1969,1969-11-09,8,27.242,PIT,@,CHI,L 7-38,2,38,19.00,0,0,0,,0,0,0,,0,0,0
41,1969,1969-11-23,10,27.256,PIT,@,MIN,L 14-52,1,14,14.00,0,0,0,,0,0,0,,0,0,0
42,1970,1970-09-20,1,28.192,GNB,,DET,L 0-40,,,,,,,,,,,,,,
43,1970,1970-09-27,2,28.199,GNB,,ATL,W 27-24,2,30,15.00,0,0,0,,0,0,0,,0,0,0
44,1970,1970-10-04,3,28.206,GNB,,MIN,W 13-10,4,29,7.25,0,0,0,,0,0,0,,0,0,0
45,1970,1970-10-12,4,28.214,GNB,@,SDG,W 22-20,2,4,2.00,1,0,0,,0,0,0,,0,1,6
46,1970,1970-10-18,5,28.220,GNB,,RAM,L 21-31,4,30,7.50,1,0,0,,0,0,0,,0,1,6
47,1970,1970-10-25,6,28.227,GNB,,PHI,W 30-17,1,10,10.00,0,0,0,,0,0,0,,0,0,0
48,1970,1970-11-01,7,28.234,GNB,@,SFO,L 10-26,1,21,21.00,0,0,0,,0,0,0,,0,0,0
49,1970,1970-11-09,8,28.242,GNB,,BAL,L 10-13,2,33,16.50,0,0,0,,0,0,0,,0,0,0
50,1970,1970-11-15,9,28.248,GNB,,CHI,W 20-19,2,46,23.00,0,0,0,,0,0,0,,0,0,0
51,1970,1970-11-22,10,28.255,GNB,@,MIN,L 3-10,1,19,19.00,0,0,0,,0,0,0,,0,0,0
52,1970,1970-11-26,11,28.259,GNB,@,DAL,L 3-16,,,,,,,,,,,,,,
53,1970,1970-12-06,12,28.269,GNB,@,PIT,W 20-12,5,99,19.80,1,0,0,,0,0,0,,0,1,6
54,1970,1970-12-13,13,28.276,GNB,@,CHI,L 17-35,1,29,29.00,1,0,0,,0,0,0,,0,1,6
55,1970,1970-12-20,14,28.283,GNB,@,DET,L 0-20,,,,,,,,,,,,,,
