ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,rush_att,rush_yds,rush_yds_per_att,rush_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,all_td,scoring
1,1990,1990-09-09,1,23.190,PHI,@,NYG,L 20-27,,2,22,11.00,0,,,0,0,,0,2,-1,-0.50,0,0,0
2,1990,1990-09-16,2,23.197,PHI,,PHO,L 21-23,,2,59,29.50,0,,,0,0,,0,0,0,,0,0,0
3,1990,1990-09-23,3,23.204,PHI,@,RAM,W 27-21,,1,14,14.00,1,,,0,0,,0,0,0,,0,1,6
4,1990,1990-09-30,4,23.211,PHI,,IND,L 23-24,,0,0,,0,,,0,0,,0,0,0,,0,0,
5,1990,1990-10-15,5,23.226,PHI,,MIN,W 32-24,,1,19,19.00,1,,,0,0,,0,0,0,,0,1,6
6,1990,1990-10-21,6,23.232,PHI,@,WAS,L 7-13,,4,87,21.75,0,,,0,0,,0,0,0,,0,0,0
7,1990,1990-10-28,7,23.239,PHI,@,DAL,W 21-20,,5,74,14.80,1,,,0,0,,0,0,0,,0,1,6
8,1990,1990-11-04,8,23.246,PHI,,NWE,W 48-20,,4,72,18.00,1,,,0,0,,0,0,0,,0,1,6
9,1990,1990-11-12,9,23.254,PHI,,WAS,W 28-14,,0,0,,0,,,0,0,,0,0,0,,0,0,
10,1990,1990-11-18,10,23.260,PHI,@,ATL,W 24-23,,2,38,19.00,1,,,1,18,18.00,0,0,0,,0,1,6
11,1990,1990-11-25,11,23.267,PHI,,NYG,W 31-13,,4,27,6.75,1,,,0,0,,0,0,0,,0,1,6
12,1990,1990-12-02,12,23.274,PHI,@,BUF,L 23-30,,1,13,13.00,0,,,0,0,,0,0,0,,0,0,0
13,1990,1990-12-09,13,23.281,PHI,@,MIA,L 20-23,,2,56,28.00,1,,,0,0,,0,0,0,,0,1,6
14,1990,1990-12-16,14,23.288,PHI,,GNB,W 31-0,,1,10,10.00,0,,,1,2,2.00,0,0,0,,0,0,0
15,1990,1990-12-23,15,23.295,PHI,,DAL,W 17-3,,6,76,12.67,1,,,0,0,,0,0,0,,0,1,6
16,1990,1990-12-29,16,23.301,PHI,@,PHO,W 23-21,,2,35,17.50,1,,,0,0,,0,0,0,,0,1,6
17,1991,1991-09-01,1,24.182,PHI,@,GNB,W 20-3,,1,5,5.00,0,,,0,0,,0,0,0,,0,0,0
18,1991,1991-09-08,2,24.189,PHI,,PHO,L 10-26,,2,24,12.00,0,,,0,0,,0,0,0,,0,0,0
