ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,rush_att,rush_yds,rush_yds_per_att,rush_td,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,two_pt_md,all_td,scoring,sacks,tackles_solo,tackles_assists
1,2005,2005-09-11,1,22.083,SDG,,DAL,L 24-28,,0,0,,0,0,0,0,,0,0.0%,,4,146,36.50,0,2,25,12.50,0,,0,0,0.0,,
2,2005,2005-09-18,2,22.090,SDG,@,DEN,L 17-20,,1,12,12.00,0,1,1,5,5.00,0,100.0%,5.00,3,71,23.67,0,1,0,0.00,0,,0,0,0.0,,
3,2005,2005-09-25,3,22.097,SDG,,NYG,W 45-23,,1,21,21.00,0,0,0,0,,0,0.0%,,4,134,33.50,0,2,10,5.00,0,,0,0,0.0,,
4,2005,2005-10-02,4,22.104,SDG,@,NWE,W 41-17,,2,8,4.00,0,2,1,-1,-1.00,0,50.0%,-0.50,4,80,20.00,0,3,24,8.00,0,,0,0,0.0,,
5,2005,2005-10-10,5,22.112,SDG,,PIT,L 22-24,,0,0,,0,0,0,0,,0,0.0%,,5,157,31.40,0,2,11,5.50,0,,0,0,0.0,,
6,2005,2005-10-23,7,22.125,SDG,@,PHI,L 17-20,,0,0,,0,0,0,0,,0,0.0%,,5,81,16.20,0,1,8,8.00,0,,0,0,0.0,,
7,2005,2005-10-30,8,22.132,SDG,,KAN,W 28-20,,1,3,3.00,0,0,0,0,,0,0.0%,,4,84,21.00,0,3,29,9.67,0,,0,0,0.0,,
8,2005,2005-11-06,9,22.139,SDG,@,NYJ,W 31-26,,1,4,4.00,0,0,0,0,,0,0.0%,,6,145,24.17,0,0,0,,0,,0,0,0.0,,
9,2005,2005-11-20,10,22.153,SDG,,BUF,W 48-10,,0,0,,0,1,1,6,6.00,0,100.0%,6.00,3,51,17.00,0,2,0,0.00,0,,0,0,0.0,,
10,2005,2005-11-27,11,22.160,SDG,@,WAS,W 23-17,,0,0,,0,0,0,0,,0,0.0%,,5,128,25.60,0,0,0,,0,,0,0,0.0,,
11,2005,2005-12-04,12,22.167,SDG,,OAK,W 34-10,,2,2,1.00,0,0,0,0,,0,0.0%,,2,63,31.50,0,0,0,,0,,0,0,0.0,,
12,2005,2005-12-11,13,22.174,SDG,,MIA,L 21-23,,0,0,,0,0,0,0,,0,0.0%,,6,145,24.17,0,2,1,0.50,0,,0,0,0.0,,
