ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,sacks,tackles_solo,tackles_assists
1,2011,2012-01-01,16,23.287,ATL,,TAM,W 45-24,,,,,,,0.0%,,,,
2,2012,2012-09-09,1,24.173,ATL,@,KAN,W 40-24,,,,,,,0.0%,,,,
3,2012,2012-09-17,2,24.181,ATL,,DEN,W 27-21,,0,0,0,,0,0.0%,,0.0,0,0
4,2012,2012-09-23,3,24.187,ATL,@,SDG,W 27-3,,,,,,,0.0%,,,,
5,2012,2012-09-30,4,24.194,ATL,,CAR,W 30-28,,0,,,,,0.0%,,,,
6,2012,2012-10-07,5,24.201,ATL,@,WAS,W 24-17,,,,,,,0.0%,,,,
7,2012,2012-10-14,6,24.208,ATL,,OAK,W 23-20,,,,,,,0.0%,,,,
8,2012,2012-10-28,7,24.222,ATL,@,PHI,W 30-17,,0,0,0,,0,0.0%,,0.0,0,0
9,2012,2012-11-25,11,24.250,ATL,@,TAM,W 24-23,,,,,,,0.0%,,,,
10,2012,2012-11-29,12,24.254,ATL,,NOR,W 23-13,,,,,,,0.0%,,,,
11,2012,2012-12-09,13,24.264,ATL,@,CAR,L 20-30,,1,0,0,,0,0.0%,0.00,0.0,0,0
12,2012,2012-12-16,14,24.271,ATL,,NYG,W 34-0,,,,,,,0.0%,,,,
13,2012,2012-12-22,15,24.277,ATL,@,DET,W 31-18,,,,,,,0.0%,,,,
14,2013,2013-09-08,1,25.172,ATL,@,NOR,L 17-23,,,,,,,0.0%,,,,
15,2013,2013-09-15,2,25.179,ATL,,STL,W 31-24,,0,0,0,,0,0.0%,,0.0,1,0
16,2013,2013-09-22,3,25.186,ATL,@,MIA,L 23-27,,0,0,0,,0,0.0%,,0.0,1,0
17,2013,2013-09-29,4,25.193,ATL,,NWE,L 23-30,,,,,,,0.0%,,,,
18,2013,2013-10-07,5,25.201,ATL,,NYJ,L 28-30,,1,1,12,12.00,0,100.0%,12.00,0.0,0,1
19,2013,2013-10-20,6,25.214,ATL,,TAM,W 31-23,,,,,,,0.0%,,,,
20,2013,2013-10-27,7,25.221,ATL,@,ARI,L 13-27,,0,0,0,,0,0.0%,,0.0,1,0
21,2013,2013-11-03,8,25.228,ATL,@,CAR,L 10-34,,,,,,,0.0%,,,,
22,2013,2013-11-10,9,25.235,ATL,,SEA,L 10-33,,0,0,0,,0,0.0%,,0.0,1,0
23,2013,2013-11-17,10,25.242,ATL,@,TAM,L 28-41,,0,0,0,,0,0.0%,,0.0,1,0
24,2013,2013-11-21,11,25.246,ATL,,NOR,L 13-17,,,,,,,0.0%,,,,
25,2013,2013-12-01,12,25.256,ATL,@,BUF,W 34-31,,,,,,,0.0%,,,,
26,2013,2013-12-08,13,25.263,ATL,@,GNB,L 21-22,,,,,,,0.0%,,,,
27,2013,2013-12-15,14,25.270,ATL,,WAS,W 27-26,,,,,,,0.0%,,,,
28,2013,2013-12-23,15,25.278,ATL,@,SFO,L 24-34,,0,0,0,,0,0.0%,,0.0,1,0
29,2013,2013-12-29,16,25.284,ATL,,CAR,L 20-21,,,,,,,0.0%,,,,
