ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,two_pt_md,all_td,scoring,sacks,tackles_solo,tackles_assists
1,2008,2008-09-07,1,22.351,CAR,@,SDG,W 26-24,,,,,,,0.0%,,,,,,,,,,,
2,2008,2008-09-21,3,22.365,CAR,@,MIN,L 10-20,,,,,,,0.0%,,,,,,,,,,,
3,2008,2008-09-28,4,23.006,CAR,,ATL,W 24-9,,,,,,,0.0%,,,,,,,,,,,
4,2008,2008-10-05,5,23.013,CAR,,KAN,W 34-0,,,,,,,0.0%,,,,,,,,,,,
5,2008,2008-10-12,6,23.020,CAR,@,TAM,L 3-27,,,,,,,0.0%,,,,,,,,,,,
6,2008,2008-10-19,7,23.027,CAR,,NOR,W 30-7,,,,,,,0.0%,,,,,,,,,,,
7,2008,2008-10-26,8,23.034,CAR,,ARI,W 27-23,,0,0,0,,0,0.0%,,0,0,,0,,0,0,0.0,0,0
8,2008,2008-11-09,9,23.048,CAR,@,OAK,W 17-6,,1,,,,,0.0%,,,,,,,,,,,
9,2008,2008-11-16,10,23.055,CAR,,DET,W 31-22,,0,0,0,,0,0.0%,,0,0,,0,,0,0,0.0,0,1
10,2008,2008-11-23,11,23.062,CAR,@,ATL,L 28-45,,,,,,,0.0%,,,,,,,,,,,
11,2008,2008-11-30,12,23.069,CAR,@,GNB,W 35-31,,,,,,,0.0%,,,,,,,,,,,
12,2008,2008-12-08,13,23.077,CAR,,TAM,W 38-23,,0,0,0,,0,0.0%,,0,0,,0,,0,0,0.0,0,0
13,2008,2008-12-14,14,23.083,CAR,,DEN,W 30-10,,,,,,,0.0%,,,,,,,,,,,
14,2008,2008-12-21,15,23.090,CAR,@,NYG,L 28-34,,,,,,,0.0%,,,,,,,,,,,
15,2008,2008-12-28,16,23.097,CAR,@,NOR,W 33-31,,,,,,,0.0%,,,,,,,,,,,
16,2009,2009-09-13,1,23.356,CAR,,PHI,L 10-38,*,0,0,0,,0,0.0%,,0,0,,0,,0,0,0.0,0,0
17,2009,2009-09-20,2,23.363,CAR,@,ATL,L 20-28,,,,,,,0.0%,,,,,,,,,,,
18,2009,2009-09-28,3,24.006,CAR,@,DAL,L 7-21,,0,0,0,,0,0.0%,,0,0,,0,,0,0,0.0,0,0
19,2009,2009-10-11,4,24.019,CAR,,WAS,W 20-17,,,,,,,0.0%,,,,,,,,,,,
20,2009,2009-10-18,5,24.026,CAR,@,TAM,W 28-21,,,,,,,0.0%,,,,,,,,,,,
21,2009,2009-10-25,6,24.033,CAR,,BUF,L 9-20,,6,3,77,25.67,0,50.0%,12.83,0,0,,0,,0,0,0.0,1,0
22,2009,2009-11-01,7,24.040,CAR,@,ARI,W 34-21,*,4,1,7,7.00,0,25.0%,1.75,0,0,,0,,0,0,0.0,0,0
23,2009,2009-11-08,8,24.047,CAR,@,NOR,L 20-30,,4,3,46,15.33,0,75.0%,11.50,1,16,16.00,0,,0,0,0.0,0,0
24,2009,2009-11-15,9,24.054,CAR,,ATL,W 28-19,*,1,,,,,0.0%,,,,,,,,,,,
25,2009,2009-11-19,10,24.058,CAR,,MIA,L 17-24,,2,2,46,23.00,0,100.0%,23.00,0,0,,0,,0,0,0.0,0,0
26,2009,2009-11-29,11,24.068,CAR,@,NYJ,L 6-17,,1,1,4,4.00,0,100.0%,4.00,0,0,,0,,0,0,0.0,0,1
27,2009,2009-12-06,12,24.075,CAR,,TAM,W 16-6,,,0,0,,0,0.0%,,0,0,,0,,0,0,0.0,0,0
28,2009,2009-12-13,13,24.082,CAR,@,NWE,L 10-20,,1,1,7,7.00,0,100.0%,7.00,0,0,,0,,0,0,0.0,0,0
29,2009,2009-12-20,14,24.089,CAR,,MIN,W 26-7,,2,1,55,55.00,0,50.0%,27.50,0,0,,0,,0,0,0.0,0,1
30,2009,2009-12-27,15,24.096,CAR,@,NYG,W 41-9,,0,0,0,,0,0.0%,,0,0,,0,,0,0,0.0,0,0
31,2009,2010-01-03,16,24.103,CAR,,NOR,W 23-10,,0,0,0,,0,0.0%,,0,0,,0,,0,0,0.0,0,1
32,2010,2010-09-12,1,24.355,CAR,@,NYG,L 18-31,,2,0,0,,0,0.0%,0.00,0,0,,0,,0,0,0.0,0,0
