ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rush_att,rush_yds,rush_yds_per_att,rush_td,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,def_int,def_int_yds,def_int_td
1,1955,1955-10-23,5,21.317,RAM,,DET,W 24-13,10,34,3.40,0,,,,,,,,,,,
2,1955,1955-10-30,6,21.324,RAM,,CHI,L 20-31,6,27,4.50,1,,,,,,,,,,,
3,1955,1955-11-06,7,21.331,RAM,,SFO,W 27-14,15,82,5.47,0,,,,,,,,,,,
4,1955,1955-11-13,8,21.338,RAM,@,CHI,L 3-24,6,-2,-0.33,0,,,,,,,,,,,
5,1955,1955-11-20,9,21.345,RAM,@,BAL,T 17-17,3,7,2.33,0,,,,,,,,,,,
6,1960,1960-11-20,8,26.346,CHI,,DET,W 28-7,0,0,,0,0,0,,0,0,0,,0,1,5,0
7,1961,1961-10-29,7,27.323,CHI,@,BAL,W 21-20,0,0,,0,0,,,0,0,2,,0,1,25,0
8,1962,1962-10-07,4,28.301,CHI,@,MIN,W 13-0,0,0,,0,0,0,,0,0,0,,0,2,9,0
9,1966,1966-10-02,4,32.296,ATL,,DAL,L 14-47,0,0,,0,1,19,19.00,0,0,0,,0,0,0,0
10,1966,1966-10-09,5,32.303,ATL,@,WAS,L 20-33,0,0,,0,1,20,20.00,0,0,0,,0,0,0,0
11,1966,1966-10-16,6,32.310,ATL,,SFO,L 7-44,0,0,,0,1,3,3.00,0,0,0,,0,0,0,0
12,1966,1966-12-18,14,33.008,ATL,,PIT,L 33-57,0,0,,0,2,8,4.00,0,0,0,,0,0,0,0
