ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,rush_att,rush_yds,rush_yds_per_att,rush_td
1,2014,2014-11-30,12,24.218,HOU,,TEN,W 45-21,,0,0,,0,0,0,,0,0,,,2,-2,-1.00,0
2,2014,2014-12-14,14,24.232,HOU,@,IND,L 10-17,,10,19,52.63,127,0,1,51.9,1,5,6.68,4.32,4,-4,-1.00,0
3,2016,2016-12-18,14,26.236,HOU,,JAX,W 21-20,,23,36,63.89,260,0,0,85.4,0,0,7.22,7.22,3,0,0.00,0
4,2016,2016-12-24,15,26.242,HOU,,CIN,W 12-10,*,18,29,62.07,176,0,0,79.1,4,21,6.07,6.07,1,11,11.00,0
5,2016,2017-01-01,16,26.250,HOU,@,TEN,L 17-24,*,5,8,62.50,25,0,0,67.2,1,15,3.13,3.13,2,1,0.50,0
6,2017,2017-09-10,1,27.137,HOU,,JAX,L 7-29,*,7,13,53.85,62,0,0,66.8,6,33,4.77,4.77,0,0,,0
7,2017,2017-10-01,4,27.158,HOU,,TEN,W 57-14,,0,0,,0,0,0,,1,8,,,0,0,,0
8,2017,2017-11-05,8,27.193,HOU,,IND,L 14-20,*,19,44,43.18,219,1,0,66.4,2,25,4.98,5.43,0,0,,0
9,2017,2017-11-12,9,27.200,HOU,@,LAR,L 7-33,*,18,36,50.00,221,1,2,55.4,3,27,6.14,4.19,2,0,0.00,0
10,2017,2017-11-19,10,27.207,HOU,,ARI,W 31-21,*,22,32,68.75,230,2,1,97.1,1,7,7.19,7.03,1,3,3.00,0
11,2017,2017-11-27,11,27.215,HOU,@,BAL,L 16-23,*,22,37,59.46,252,0,2,57.5,2,15,6.81,4.38,0,0,,0
12,2017,2017-12-03,12,27.221,HOU,@,TEN,L 13-24,*,31,49,63.27,365,1,1,84.1,4,34,7.45,6.94,1,-1,-1.00,0
13,2017,2017-12-10,13,27.228,HOU,,SFO,L 16-26,*,6,12,50.00,63,0,0,65.6,2,10,5.25,5.25,0,0,,0
