ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rush_att,rush_yds,rush_yds_per_att,rush_td,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,all_td,scoring,def_int,def_int_yds,def_int_td,punt,punt_yds,punt_yds_per_punt,punt_blocked
1,1969,1969-09-21,1,22.240,PHI,,CLE,L 20-27,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,1,8,8.00,0,0,0,0,0,0,7,251,35.86,0
2,1969,1969-09-28,2,22.247,PHI,,PIT,W 41-27,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,2,5,2.50,0,0,0,0,0,0,2,88,44.00,0
3,1969,1969-10-05,3,22.254,PHI,,DAL,L 7-38,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0,0,0,0,6,249,41.50,0
4,1969,1969-10-13,4,22.262,PHI,@,BAL,L 20-24,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,1,-3,-3.00,0,0,0,0,0,0,5,170,34.00,0
5,1969,1969-10-19,5,22.268,PHI,@,DAL,L 14-49,0,0,,0,0,0,,0,0,0,,0,0,,,2,36,18.00,0,4,65,16.25,0,1,6,1,56,1,7,313,44.71,0
6,1969,1969-10-26,6,22.275,PHI,,NOR,W 13-10,0,0,,0,0,0,,0,0,0,,0,0,,,1,0,0.00,0,2,-5,-2.50,0,0,0,0,0,0,3,96,32.00,0
7,1969,1969-11-02,7,22.282,PHI,@,NYG,W 23-20,0,0,,0,0,0,,0,0,0,,0,0,,,2,47,23.50,0,2,4,2.00,0,0,0,0,0,0,3,111,37.00,0
8,1969,1969-11-09,8,22.289,PHI,@,WAS,T 28-28,0,0,,0,0,0,,0,0,0,,0,0,,,3,62,20.67,0,4,76,19.00,0,0,0,0,0,0,3,96,32.00,0
9,1969,1969-11-16,9,22.296,PHI,,RAM,L 17-23,0,0,,0,0,0,,0,0,0,,0,0,,,3,61,20.33,0,3,11,3.67,0,0,0,0,0,0,8,306,38.25,0
10,1969,1969-11-23,10,22.303,PHI,@,STL,W 34-30,0,0,,0,0,0,,0,0,0,,0,0,,,2,70,35.00,0,1,-1,-1.00,0,0,0,0,0,0,6,257,42.83,0
11,1969,1969-11-30,11,22.310,PHI,@,NOR,L 17-26,0,0,,0,0,1,0.00,0,0,0,39.6,0,0,0.00,0.00,1,29,29.00,0,2,12,6.00,0,0,0,0,0,0,5,210,42.00,0
12,1969,1969-12-07,12,22.317,PHI,,WAS,L 29-34,0,0,,0,0,0,,0,0,0,,0,0,,,4,112,28.00,0,1,-1,-1.00,0,0,0,0,0,0,6,252,42.00,0
13,1969,1969-12-14,13,22.324,PHI,,ATL,L 3-27,1,5,5.00,0,0,0,,0,0,0,,0,0,,,3,50,16.67,0,2,2,1.00,0,0,0,0,0,0,5,226,45.20,0
14,1969,1969-12-21,14,22.331,PHI,@,SFO,L 13-14,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,3,8,2.67,0,0,0,0,0,0,8,318,39.75,0
15,1970,1970-10-04,3,23.253,PHI,,WAS,L 21-33,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0,0,0,0,6,256,42.67,0
16,1970,1970-10-11,4,23.260,PHI,@,NYG,L 23-30,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0,0,0,0,7,254,36.29,0
17,1970,1970-10-18,5,23.267,PHI,,STL,L 20-35,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0,0,0,0,7,277,39.57,0
18,1970,1970-10-25,6,23.274,PHI,@,GNB,L 17-30,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0,0,0,0,4,149,37.25,0
19,1970,1970-11-01,7,23.281,PHI,@,DAL,L 17-21,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0,0,0,0,6,212,35.33,0
20,1970,1970-11-08,8,23.288,PHI,,MIA,W 24-17,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0,0,0,0,8,290,36.25,0
21,1970,1970-11-15,9,23.295,PHI,,ATL,T 13-13,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0,0,0,0,4,156,39.00,0
22,1970,1970-11-23,10,23.303,PHI,,NYG,W 23-20,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0,0,0,0,3,99,33.00,0
23,1970,1970-11-29,11,23.309,PHI,@,STL,L 14-23,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0,0,0,0,5,182,36.40,0
24,1970,1970-12-06,12,23.316,PHI,@,BAL,L 10-29,1,14,14.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0,0,0,0,6,219,36.50,0
25,1970,1970-12-13,13,23.323,PHI,@,WAS,L 6-24,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0,0,0,0,3,88,29.33,0
26,1970,1970-12-20,14,23.330,PHI,,PIT,W 30-20,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0,0,0,0,2,64,32.00,0
27,1971,1971-09-19,1,24.238,PHI,@,CIN,L 14-37,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,3,18,6.00,0,0,0,0,0,0,0,0,,0
28,1971,1971-09-26,2,24.245,PHI,,DAL,L 7-42,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,1,12,12.00,0,0,0,2,50,0,0,0,,0
29,1971,1971-10-03,3,24.252,PHI,,SFO,L 3-31,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,1,2,2.00,0,0,0,0,0,0,1,45,45.00,0
30,1971,1971-10-10,4,24.259,PHI,,MIN,L 0-13,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,5,21,4.20,0,0,0,0,0,0,0,0,,0
31,1971,1971-10-17,5,24.266,PHI,@,OAK,L 10-34,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,1,7,7.00,0,0,0,1,27,0,0,0,,0
32,1971,1971-10-24,6,24.273,PHI,,NYG,W 23-7,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,2,45,22.50,0,0,0,0,0,0,0,0,,0
33,1971,1971-10-31,7,24.280,PHI,,DEN,W 17-16,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,2,10,5.00,0,0,0,2,0,0,0,0,,0
34,1971,1971-11-07,8,24.287,PHI,@,WAS,T 7-7,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,2,-1,-0.50,0,0,0,2,42,0,0,0,,0
35,1971,1971-11-14,9,24.294,PHI,@,DAL,L 7-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,1971,1971-11-21,10,24.301,PHI,@,STL,W 37-20,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0,2,50,0,0,0,,0
37,1971,1971-11-28,11,24.308,PHI,,WAS,L 13-20,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0,0,0,0,1,31,31.00,0
38,1971,1971-12-05,12,24.315,PHI,@,DET,W 23-20,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0,1,51,0,0,0,,0
