ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,rush_att,rush_yds,rush_yds_per_att,rush_td,punt,punt_yds,punt_yds_per_punt,punt_blocked
1,2004,2004-09-12,1,23.292,CLE,,BAL,W 20-3,,0,0,,0,7,316,45.14,0
2,2004,2004-09-19,2,23.299,CLE,@,DAL,L 12-19,,0,0,,0,4,179,44.75,0
3,2004,2004-09-26,3,23.306,CLE,@,NYG,L 10-27,,0,0,,0,5,225,45.00,0
4,2004,2004-10-03,4,23.313,CLE,,WAS,W 17-13,,1,1,1.00,0,7,289,41.29,0
5,2004,2004-10-10,5,23.320,CLE,@,PIT,L 23-34,,0,0,,0,5,203,40.60,0
6,2004,2004-10-17,6,23.327,CLE,,CIN,W 34-17,,0,0,,0,4,143,35.75,0
7,2004,2004-10-24,7,23.334,CLE,,PHI,L 31-34,,0,0,,0,5,199,39.80,0
8,2004,2004-11-07,8,23.348,CLE,@,BAL,L 13-27,,0,0,,0,6,216,36.00,0
9,2004,2004-11-14,9,23.355,CLE,,PIT,L 10-24,,0,0,,0,5,190,38.00,0
10,2004,2004-11-21,10,23.362,CLE,,NYJ,L 7-10,,0,0,,0,9,366,40.67,0
11,2004,2004-11-28,11,24.003,CLE,@,CIN,L 48-58,,0,0,,0,4,177,44.25,0
12,2004,2004-12-05,12,24.010,CLE,,NWE,L 15-42,,0,0,,0,4,147,36.75,0
13,2004,2004-12-12,13,24.017,CLE,@,BUF,L 7-37,,0,0,,0,6,225,37.50,0
14,2004,2004-12-19,14,24.024,CLE,,SDG,L 0-21,,0,0,,0,5,177,35.40,0
15,2004,2004-12-26,15,24.031,CLE,@,MIA,L 7-10,,0,0,,0,6,254,42.33,0
16,2004,2005-01-02,16,24.038,CLE,@,HOU,W 22-14,,0,0,,0,3,98,32.67,0
17,2005,2005-10-02,3,24.311,WAS,,SEA,W 20-17,,0,0,,0,2,82,41.00,0
18,2005,2005-10-09,4,24.318,WAS,@,DEN,L 19-21,,0,0,,0,5,184,36.80,0
19,2005,2005-10-16,5,24.325,WAS,@,KAN,L 21-28,,0,0,,0,4,187,46.75,0
20,2005,2005-10-23,6,24.332,WAS,,SFO,W 52-17,,0,0,,0,4,158,39.50,0
21,2005,2005-10-30,7,24.339,WAS,@,NYG,L 0-36,,0,0,,0,8,344,43.00,0
22,2005,2005-11-06,8,24.346,WAS,,PHI,W 17-10,,0,0,,0,6,260,43.33,0
23,2005,2005-11-13,9,24.353,WAS,@,TAM,L 35-36,,0,0,,0,2,83,41.50,0
24,2005,2005-11-20,10,24.360,WAS,,OAK,L 13-16,,0,0,,0,6,217,36.17,0
25,2005,2005-11-27,11,25.002,WAS,,SDG,L 17-23,,0,0,,0,9,341,37.89,0
26,2005,2005-12-04,12,25.009,WAS,@,STL,W 24-9,,0,0,,0,4,171,42.75,0
27,2005,2005-12-11,13,25.016,WAS,@,ARI,W 17-13,,0,0,,0,5,215,43.00,0
28,2005,2005-12-18,14,25.023,WAS,,DAL,W 35-7,,0,0,,0,6,201,33.50,0
29,2005,2005-12-24,15,25.029,WAS,,NYG,W 35-20,,0,0,,0,5,221,44.20,0
30,2005,2006-01-01,16,25.037,WAS,@,PHI,W 31-20,,0,0,,0,10,410,41.00,0
31,2006,2006-09-11,1,25.290,WAS,,MIN,L 16-19,,0,0,,0,5,215,43.00,0
32,2006,2006-09-17,2,25.296,WAS,@,DAL,L 10-27,,0,0,,0,8,413,51.63,0
33,2006,2006-09-24,3,25.303,WAS,@,HOU,W 31-15,,0,0,,0,2,112,56.00,0
34,2006,2006-10-01,4,25.310,WAS,,JAX,W 36-30,,0,0,,0,5,154,30.80,0
35,2006,2006-10-08,5,25.317,WAS,@,NYG,L 3-19,,0,0,,0,5,208,41.60,0
36,2006,2006-10-15,6,25.324,WAS,,TEN,L 22-25,,0,0,,0,6,240,40.00,1
37,2006,2006-10-22,7,25.331,WAS,@,IND,L 22-36,,0,0,,0,4,154,38.50,0
38,2006,2006-11-05,8,25.345,WAS,,DAL,W 22-19,,0,0,,0,4,171,42.75,0
39,2006,2006-11-12,9,25.352,WAS,@,PHI,L 3-27,,0,0,,0,6,238,39.67,0
40,2006,2006-11-19,10,25.359,WAS,@,TAM,L 17-20,,0,0,,0,5,220,44.00,0
41,2006,2006-11-26,11,26.001,WAS,,CAR,W 17-13,,0,0,,0,8,320,40.00,0
42,2006,2006-12-03,12,26.008,WAS,,ATL,L 14-24,,0,0,,0,5,204,40.80,0
43,2006,2006-12-10,13,26.015,WAS,,PHI,L 19-21,,0,0,,0,3,144,48.00,0
44,2006,2006-12-17,14,26.022,WAS,@,NOR,W 16-10,,0,0,,0,5,239,47.80,0
45,2006,2006-12-24,15,26.029,WAS,@,STL,L 31-37,,0,0,,0,7,308,44.00,0
46,2006,2006-12-30,16,26.035,WAS,,NYG,L 28-34,,0,0,,0,3,131,43.67,0
