ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td
1,1977,1977-09-18,1,21.315,SEA,,BAL,L 14-29,3,84,28.00,0,1,8,8.00,0
2,1977,1977-09-25,2,21.322,SEA,@,CIN,L 20-42,0,0,,0,2,11,5.50,0
3,1977,1977-10-02,3,21.329,SEA,,DEN,L 13-24,1,27,27.00,0,1,13,13.00,0
4,1977,1977-10-09,4,21.336,SEA,@,NWE,L 0-31,0,0,,0,2,2,1.00,0
5,1977,1977-10-16,5,21.343,SEA,,TAM,W 30-23,3,59,19.67,0,1,5,5.00,0
6,1977,1977-10-23,6,21.350,SEA,@,MIA,L 13-31,,,,,,,,
7,1977,1977-10-30,7,21.357,SEA,,BUF,W 56-17,0,0,,0,3,43,14.33,0
8,1977,1977-11-06,8,21.364,SEA,@,OAK,L 7-44,5,83,16.60,0,2,12,6.00,0
9,1977,1977-11-13,9,22.006,SEA,@,NYJ,W 17-0,0,0,,0,7,37,5.29,0
10,1977,1977-11-20,10,22.013,SEA,,HOU,L 10-22,1,27,27.00,0,1,0,0.00,0
11,1977,1977-12-18,14,22.041,TAM,,STL,W 17-7,,,,,,,,
