ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,all_td,scoring,sacks,tackles_solo,tackles_assists
1,2006,2006-09-10,1,24.006,PHI,@,HOU,W 24-10,,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,,,,0,0,,0,0,0,0.0,,
2,2006,2006-09-17,2,24.013,PHI,,NYG,L 24-30,,1,1,25,25.00,0,100.0%,25.00,0,0,,0,0,0,,0,,,,0,0,,0,0,0,0.0,,
3,2006,2006-09-24,3,24.020,PHI,@,SFO,W 38-24,*,2,1,8,8.00,0,50.0%,4.00,0,0,,0,0,0,,0,,,,0,0,,0,0,0,0.0,,
4,2006,2006-10-02,4,24.028,PHI,,GNB,W 31-9,,3,2,27,13.50,0,66.7%,9.00,0,0,,0,0,0,,0,,,,0,0,,0,0,0,0.0,,
5,2006,2006-10-08,5,24.034,PHI,,DAL,W 38-24,*,6,3,112,37.33,1,50.0%,18.67,0,0,,0,0,0,,0,,,,0,0,,0,1,6,0.0,,
6,2006,2006-10-15,6,24.041,PHI,@,NOR,L 24-27,*,6,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,,,,0,0,,0,0,0,0.0,,
7,2006,2006-10-22,7,24.048,PHI,@,TAM,L 21-23,,3,2,30,15.00,0,66.7%,10.00,0,0,,0,0,0,,0,,,,0,0,,0,0,0,0.0,,
8,2006,2006-10-29,8,24.055,PHI,,JAX,L 6-13,*,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,,,,0,0,,0,0,0,0.0,,
9,2006,2006-11-12,9,24.069,PHI,,WAS,W 27-3,,,0,0,,0,0.0%,,0,0,,0,0,0,,0,,,,0,0,,0,0,0,0.0,,
10,2006,2006-11-19,10,24.076,PHI,,TEN,L 13-31,,2,1,17,17.00,0,50.0%,8.50,0,0,,0,0,0,,0,,,,0,0,,0,0,0,0.0,,
11,2006,2006-11-26,11,24.083,PHI,@,IND,L 21-45,,3,2,20,10.00,0,66.7%,6.67,0,1,0.00,0,0,1,0.0,0,0,0.00,-45.00,0,0,,0,0,0,0.0,,
12,2006,2006-12-04,12,24.091,PHI,,CAR,W 27-24,*,3,1,22,22.00,0,33.3%,7.33,0,0,,0,0,0,,0,,,,0,0,,0,0,0,0.0,,
13,2006,2006-12-10,13,24.097,PHI,@,WAS,W 21-19,,,0,0,,0,0.0%,,0,0,,0,0,0,,0,,,,0,0,,0,0,0,0.0,,
14,2006,2006-12-17,14,24.104,PHI,@,NYG,W 36-22,,2,2,26,13.00,0,100.0%,13.00,0,0,,0,0,0,,0,,,,0,0,,0,0,0,0.0,,
15,2006,2006-12-25,15,24.112,PHI,@,DAL,W 23-7,,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,,,,0,0,,0,0,0,0.0,,
16,2006,2006-12-31,16,24.118,PHI,,ATL,W 24-17,,8,7,177,25.29,1,87.5%,22.13,0,0,,0,0,0,,0,,,,0,0,,0,1,6,0.0,,
17,2007,2007-09-09,1,25.005,PHI,@,GNB,L 13-16,,0,0,0,,0,0.0%,,0,0,,0,0,0,,,,,,0,0,,0,0,0,0.0,,
18,2007,2007-09-17,2,25.013,PHI,,WAS,L 12-20,,3,2,16,8.00,0,66.7%,5.33,0,0,,0,0,0,,,,,,0,0,,0,0,0,0.0,,
19,2007,2007-09-23,3,25.019,PHI,,DET,W 56-21,,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,,,,,,0,0,,0,0,0,0.0,,
20,2007,2007-09-30,4,25.026,PHI,@,NYG,L 3-16,,0,0,0,,0,0.0%,,0,0,,0,0,0,,,,,,0,0,,0,0,0,0.0,,
21,2007,2007-10-14,5,25.040,PHI,@,NYJ,W 16-9,,1,1,6,6.00,0,100.0%,6.00,0,0,,0,0,0,,,,,,0,0,,0,0,0,0.0,,
22,2007,2007-10-21,6,25.047,PHI,,CHI,L 16-19,,3,2,33,16.50,0,66.7%,11.00,0,0,,0,0,0,,,,,,0,0,,0,0,0,0.0,,
23,2007,2007-10-28,7,25.054,PHI,@,MIN,W 23-16,,,0,0,,0,0.0%,,0,0,,0,0,0,,,,,,0,0,,0,0,0,0.0,,
24,2007,2007-11-04,8,25.061,PHI,,DAL,L 17-38,,4,3,28,9.33,1,75.0%,7.00,0,0,,0,0,0,,,,,,0,0,,0,1,6,0.0,,
25,2007,2007-11-11,9,25.068,PHI,@,WAS,W 33-25,,3,3,17,5.67,0,100.0%,5.67,0,0,,0,0,0,,,,,,0,4,,0,0,0,0.0,,
26,2007,2007-11-18,10,25.075,PHI,,MIA,W 17-7,,,0,0,,0,0.0%,,0,0,,0,0,0,,,,,,0,0,,0,0,0,0.0,,
27,2007,2007-11-25,11,25.082,PHI,@,NWE,L 28-31,,1,1,16,16.00,0,100.0%,16.00,0,0,,0,0,0,,,,,,0,0,,0,0,0,0.0,,
28,2007,2007-12-02,12,25.089,PHI,,SEA,L 24-28,,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,,,,,,0,0,,0,0,0,0.0,,
29,2007,2007-12-09,13,25.096,PHI,,NYG,L 13-16,,,0,0,,0,0.0%,,0,0,,0,0,0,,,,,,0,0,,0,0,0,0.0,,
30,2007,2007-12-16,14,25.103,PHI,@,DAL,W 10-6,,2,1,11,11.00,0,50.0%,5.50,0,0,,0,0,0,,,,,,0,0,,0,0,0,0.0,,
31,2007,2007-12-23,15,25.110,PHI,@,NOR,W 38-23,,1,1,8,8.00,0,100.0%,8.00,0,0,,0,0,0,,,,,,0,0,,0,0,0,0.0,,
32,2007,2007-12-30,16,25.117,PHI,,BUF,W 17-9,,2,2,7,3.50,0,100.0%,3.50,0,0,,0,0,0,,,,,,0,0,,0,0,0,0.0,,
33,2008,2008-09-07,1,26.003,PHI,,STL,W 38-3,*,3,2,102,51.00,1,66.7%,34.00,0,0,,0,0,0,,,,,,0,0,,0,1,6,0.0,0,0
34,2008,2008-09-15,2,26.011,PHI,@,DAL,L 37-41,*,4,2,10,5.00,0,50.0%,2.50,0,0,,0,0,0,,,,,,0,0,,0,0,0,0.0,0,0
35,2008,2008-09-21,3,26.017,PHI,,PIT,W 15-6,*,9,8,85,10.63,0,88.9%,9.44,0,0,,0,0,0,,,,,,0,0,,0,0,0,0.0,0,0
36,2008,2008-09-28,4,26.024,PHI,@,CHI,L 20-24,*,2,1,10,10.00,0,50.0%,5.00,0,0,,0,0,0,,,,,,0,0,,0,0,0,0.0,0,0
37,2008,2008-10-05,5,26.031,PHI,,WAS,L 17-23,,,,,,,0.0%,,,,,,,,,,,,,,,,,,,,,
38,2008,2008-10-12,6,26.038,PHI,@,SFO,W 40-26,*,7,4,38,9.50,1,57.1%,5.43,0,0,,0,0,0,,,,,,0,0,,0,1,6,0.0,0,0
39,2008,2008-10-26,7,26.052,PHI,,ATL,W 27-14,,2,1,8,8.00,0,50.0%,4.00,0,0,,0,0,0,,,,,,0,0,,0,0,0,0.0,0,0
40,2008,2008-11-02,8,26.059,PHI,@,SEA,W 26-7,,1,1,25,25.00,0,100.0%,25.00,0,0,,0,0,0,,,,,,0,0,,0,0,0,0.0,0,0
41,2008,2008-11-09,9,26.066,PHI,,NYG,L 31-36,,1,1,7,7.00,1,100.0%,7.00,0,0,,0,0,0,,,,,,0,0,,0,1,6,0.0,0,0
42,2008,2008-11-16,10,26.073,PHI,@,CIN,T 13-13,,4,2,74,37.00,0,50.0%,18.50,0,0,,0,0,0,,,,,,0,0,,0,0,0,0.0,0,0
43,2008,2008-11-23,11,26.080,PHI,@,BAL,L 7-36,,6,1,8,8.00,0,16.7%,1.33,0,0,,0,0,0,,,,,,0,0,,0,0,0,0.0,0,0
44,2008,2008-11-27,12,26.084,PHI,,ARI,W 48-20,,5,5,42,8.40,0,100.0%,8.40,0,0,,0,0,0,,,,,,0,0,,0,0,0,0.0,0,0
45,2008,2008-12-07,13,26.094,PHI,@,NYG,W 20-14,,2,2,16,8.00,0,100.0%,8.00,0,0,,0,0,0,,,,,,0,0,,0,0,0,0.0,0,0
46,2008,2008-12-15,14,26.102,PHI,,CLE,W 30-10,*,6,3,15,5.00,0,50.0%,2.50,0,0,,0,0,0,,,,,,0,0,,0,0,0,0.0,1,0
47,2008,2008-12-28,16,26.115,PHI,,DAL,W 44-6,,,,,,,0.0%,,,,,,,,,,,,,,,,,,,,,
48,2009,2009-09-13,1,27.009,PHI,@,CAR,W 38-10,,2,1,6,6.00,0,50.0%,3.00,0,0,,0,0,0,,,,,,0,0,,0,0,0,0.0,0,0
49,2009,2009-09-21,2,27.017,IND,@,MIA,W 27-23,,,0,0,,0,0.0%,,0,0,,0,0,0,,,,,,0,0,,0,0,0,0.0,0,1
50,2009,2009-09-27,3,27.023,IND,@,ARI,W 31-10,,,,,,,0.0%,,,,,,,,,,,,,,,,,,,,,
51,2009,2009-10-04,4,27.030,IND,,SEA,W 34-17,,,,,,,0.0%,,,,,,,,,,,,,,,,,,,,,
52,2009,2009-10-11,5,27.037,IND,@,TEN,W 31-9,,,,,,,0.0%,,,,,,,,,,,,,,,,,,,,,
