ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td
1,2004,2004-12-24,15,24.060,GNB,@,MIN,W 34-31,,2,2,12,6.00,0,100.0%,6.00,0,0,,0,0,0,,0
2,2004,2005-01-02,16,24.069,GNB,@,CHI,W 31-14,,0,0,0,,0,0.0%,,3,59,19.67,0,0,0,,0
3,2005,2005-09-11,1,24.321,TEN,@,PIT,L 7-34,,0,0,0,,0,0.0%,,0,0,,0,1,10,10.00,0
4,2005,2005-09-18,2,24.328,TEN,,BAL,W 25-10,,0,0,0,,0,0.0%,,0,0,,0,5,21,4.20,0
5,2005,2005-09-25,3,24.335,TEN,@,STL,L 27-31,,0,0,0,,0,0.0%,,0,0,,0,1,0,0.00,0
6,2005,2005-10-02,4,24.342,TEN,,IND,L 10-31,,0,0,0,,0,0.0%,,2,42,21.00,0,1,1,1.00,0
7,2005,2005-10-09,5,24.349,TEN,@,HOU,W 34-20,,0,0,0,,0,0.0%,,0,0,,0,1,-1,-1.00,0
8,2005,2005-10-30,7,25.005,GNB,@,CIN,L 14-21,,,0,0,,0,0.0%,,0,0,,0,0,0,,0
9,2005,2005-11-06,8,25.012,GNB,,PIT,L 10-20,*,1,0,0,,0,0.0%,0.00,1,18,18.00,0,0,0,,0
10,2005,2005-11-13,9,25.019,GNB,@,ATL,W 33-25,,4,1,16,16.00,0,25.0%,4.00,0,0,,0,0,0,,0
11,2005,2005-11-21,10,25.027,GNB,,MIN,L 17-20,,4,2,15,7.50,0,50.0%,3.75,2,34,17.00,0,0,0,,0
12,2005,2005-11-27,11,25.033,GNB,@,PHI,L 14-19,,0,0,0,,0,0.0%,,4,61,15.25,0,0,0,,0
13,2005,2005-12-04,12,25.040,GNB,@,CHI,L 7-19,,0,0,0,,0,0.0%,,1,23,23.00,0,0,0,,0
14,2005,2005-12-11,13,25.047,GNB,,DET,W 16-13,,1,1,9,9.00,0,100.0%,9.00,0,0,,0,0,0,,0
15,2005,2005-12-19,14,25.055,GNB,@,BAL,L 3-48,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0
16,2005,2005-12-25,15,25.061,GNB,,CHI,L 17-24,,4,3,52,17.33,0,75.0%,13.00,0,0,,0,0,0,,0
17,2005,2006-01-01,16,25.068,GNB,,SEA,W 23-17,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0
