ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rec,rec_yds,rec_yds_per_rec,rec_td,rush_att,rush_yds,rush_yds_per_att,rush_td,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,all_td,scoring,def_int,def_int_yds,def_int_td
1,1974,1974-09-15,1,23.301,SFO,@,NOR,W 17-13,0,0,,0,0,0,,0,3,88,29.33,0,1,14,14.00,0,0,0,0,0,0
2,1974,1974-09-22,2,23.308,SFO,@,ATL,W 16-10,0,0,,0,0,0,,0,2,68,34.00,0,0,0,,0,0,0,0,0,0
3,1974,1974-09-29,3,23.315,SFO,,CIN,L 3-21,0,0,,0,0,0,,0,3,63,21.00,0,1,12,12.00,0,0,0,1,8,0
4,1974,1974-10-06,4,23.322,SFO,,STL,L 9-34,0,0,,0,0,0,,0,4,60,15.00,0,0,0,,0,0,0,0,0,0
5,1974,1974-10-14,5,23.330,SFO,@,DET,L 13-17,,,,,,,,,,,,,,,,,,,,,
6,1974,1974-10-27,7,23.343,SFO,,OAK,L 24-35,0,0,,0,0,0,,0,1,57,57.00,0,1,-16,-16.00,0,0,0,0,0,0
7,1974,1974-11-04,8,23.351,SFO,,RAM,L 13-15,0,0,,0,0,0,,0,2,58,29.00,0,0,0,,0,0,0,0,0,0
8,1974,1974-11-10,9,23.357,SFO,@,DAL,L 14-20,0,0,,0,0,0,,0,4,88,22.00,0,0,0,,0,0,0,0,0,0
9,1974,1974-11-17,10,23.364,SFO,@,CHI,W 34-0,0,0,,0,0,0,,0,1,12,12.00,0,0,0,,0,0,0,0,0,0
10,1974,1974-11-24,11,24.006,SFO,,ATL,W 27-0,0,0,,0,0,0,,0,1,20,20.00,0,1,23,23.00,0,0,0,1,4,0
11,1974,1974-12-01,12,24.013,SFO,@,CLE,L 0-7,0,0,,0,0,0,,0,0,0,,0,5,12,2.40,0,0,0,1,14,0
12,1974,1974-12-08,13,24.020,SFO,,GNB,W 7-6,0,0,,0,0,0,,0,2,58,29.00,0,0,0,,0,0,0,0,0,0
13,1974,1974-12-15,14,24.027,SFO,,NOR,W 35-21,0,0,,0,0,0,,0,2,40,20.00,0,0,0,,0,0,0,0,0,0
14,1975,1975-09-21,1,24.307,SFO,@,MIN,L 17-27,0,0,,0,0,0,,0,1,44,44.00,0,0,0,,0,0,0,0,0,0
15,1975,1975-09-28,2,24.314,SFO,,RAM,L 14-23,,,,,,,,,,,,,,,,,,,,,
16,1975,1975-10-05,3,24.321,SFO,@,KAN,W 20-3,1,17,17.00,0,0,0,,0,1,15,15.00,0,0,0,,0,0,0,0,0,0
17,1975,1975-10-12,4,24.328,SFO,,ATL,L 3-17,2,37,18.50,0,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,0
18,1975,1975-10-19,5,24.335,SFO,,NOR,W 35-21,1,5,5.00,0,1,-4,-4.00,0,0,0,,0,0,0,,0,0,0,0,0,0
19,1975,1975-10-26,6,24.342,SFO,@,NWE,L 16-24,3,57,19.00,1,0,0,,0,0,0,,0,0,0,,0,1,6,0,0,0
20,1975,1975-11-02,7,24.349,SFO,,DET,L 17-28,2,20,10.00,0,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,0
21,1975,1975-11-09,8,24.356,SFO,@,RAM,W 24-23,,,,,,,,,,,,,,,,,,,,,
22,1975,1975-11-16,9,24.363,SFO,,CHI,W 31-3,,,,,,,,,,,,,,,,,,,,,
23,1975,1975-11-23,10,25.005,SFO,@,NOR,W 16-6,,,,,,,,,,,,,,,,,,,,,
24,1975,1975-11-30,11,25.012,SFO,@,PHI,L 17-27,1,6,6.00,0,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,0
25,1975,1975-12-07,12,25.019,SFO,,HOU,L 13-27,1,14,14.00,0,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,0
26,1975,1975-12-14,13,25.026,SFO,@,ATL,L 9-31,5,64,12.80,0,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,0
27,1975,1975-12-21,14,25.033,SFO,,NYG,L 23-26,,,,,,,,,,,,,,,,,,,,,
28,1976,1976-09-13,1,25.300,BUF,,MIA,L 21-30,0,0,,0,0,0,,0,4,90,22.50,0,0,0,,0,0,0,0,0,0
29,1976,1976-09-26,3,25.313,MIA,,NYJ,W 16-0,,,,,,,,,,,,,,,,,,,,,
30,1976,1976-10-03,4,25.320,MIA,,RAM,L 28-31,,,,,,,,,,,,,,,,,,,,,
31,1976,1976-10-10,5,25.327,MIA,@,BAL,L 14-28,1,11,11.00,0,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,0
