ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rec,rec_yds,rec_yds_per_rec,rec_td,rush_att,rush_yds,rush_yds_per_att,rush_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td
1,1986,1986-09-07,1,23.313,ATL,@,NOR,W 31-10,0,0,,0,0,0,,0,0,0,,0
2,1986,1986-09-14,2,23.320,ATL,,STL,W 33-13,0,0,,0,1,7,7.00,0,0,0,,0
3,1986,1986-09-21,3,23.327,ATL,@,DAL,W 37-35,0,0,,0,0,0,,0,0,0,,0
4,1986,1986-10-05,5,23.341,ATL,,PHI,L 0-16,1,25,25.00,0,0,0,,0,0,0,,0
5,1986,1986-10-12,6,23.348,ATL,,RAM,W 26-14,0,0,,0,0,0,,0,0,0,,0
6,1986,1986-10-19,7,23.355,ATL,,SFO,T 10-10,0,0,,0,0,0,,0,0,0,,0
7,1986,1986-10-26,8,23.362,ATL,@,RAM,L 7-14,0,0,,0,0,0,,0,0,0,,0
8,1986,1986-11-02,9,24.004,ATL,@,NWE,L 17-25,1,20,20.00,0,0,0,,0,0,0,,0
9,1986,1986-11-09,10,24.011,ATL,,NYJ,L 14-28,0,0,,0,0,0,,0,2,3,1.50,0
10,1986,1986-11-16,11,24.018,ATL,,CHI,L 10-13,1,10,10.00,0,0,0,,0,2,13,6.50,0
11,1986,1986-11-23,12,24.025,ATL,@,SFO,L 0-20,4,86,21.50,0,0,0,,0,3,20,6.67,0
