ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rush_att,rush_yds,rush_yds_per_att,rush_td,rec,rec_yds,rec_yds_per_rec,rec_td,all_td,scoring,sacks,def_int,def_int_yds,def_int_td
1,1979,1979-09-09,2,22.176,BAL,,TAM,L 26-29,,,,,,,,,,,,,,
2,1979,1979-09-16,3,22.183,BAL,@,CLE,L 10-13,,,,,,,,,,,,,,
3,1979,1979-09-23,4,22.190,BAL,@,PIT,L 13-17,,,,,,,,,,,,,,
4,1979,1979-09-30,5,22.197,BAL,,BUF,L 13-31,,,,,,,,,,,,,,
5,1979,1979-10-07,6,22.204,BAL,,NYJ,W 10-8,,,,,,,,,,,,,,
6,1979,1979-10-14,7,22.211,BAL,,HOU,L 16-28,,,,,,,,,,,,,,
7,1979,1979-10-21,8,22.218,BAL,@,BUF,W 14-13,,,,,,,,,,,,,,
8,1979,1979-10-28,9,22.225,BAL,,NWE,W 31-26,,,,,,,,,,,,,,
9,1979,1979-11-04,10,22.232,BAL,,CIN,W 38-28,,,,,,,,,,,,,,
10,1979,1979-11-11,11,22.239,BAL,@,MIA,L 0-19,,,,,,,,,,,,,,
11,1979,1979-11-18,12,22.246,BAL,@,NWE,L 21-50,,,,,,,,,,,,,,
12,1979,1979-11-25,13,22.253,BAL,,MIA,L 24-28,,,,,,,,,,,,,,
13,1979,1979-12-02,14,22.260,BAL,@,NYJ,L 17-30,,,,,,,,,,,,,,
14,1979,1979-12-09,15,22.267,BAL,,KAN,L 7-10,,,,,,,,,,,,,,
15,1979,1979-12-16,16,22.274,BAL,@,NYG,W 31-7,,,,,,,,,,,,,,
16,1980,1980-09-07,1,23.174,BAL,@,NYJ,W 17-14,,,,,,,,,,,,,,
17,1980,1980-09-14,2,23.181,BAL,,PIT,L 17-20,,,,,,,,,,,,,,
18,1980,1980-09-21,3,23.188,BAL,@,HOU,L 16-21,,,,,,,,,,,,,,
19,1980,1980-09-28,4,23.195,BAL,,NYJ,W 35-21,,,,,,,,,,,,,,
20,1980,1980-10-05,5,23.202,BAL,@,MIA,W 30-17,,,,,,,,,,,,,,
21,1980,1980-10-12,6,23.209,BAL,@,BUF,W 17-12,,,,,,,,,,,,,,
22,1980,1980-10-19,7,23.216,BAL,,NWE,L 21-37,,,,,,,,,,,,,,
23,1980,1980-10-26,8,23.223,BAL,,STL,L 10-17,,,,,,,,,,,,,,
24,1980,1980-11-02,9,23.230,BAL,@,KAN,W 31-24,,,,,,,,,,,,,,
25,1980,1980-11-09,10,23.237,BAL,,CLE,L 27-28,,,,,,,,,,,,,,
26,1980,1980-11-16,11,23.244,BAL,@,DET,W 10-9,,,,,,,,,,,,,,
27,1980,1980-11-23,12,23.251,BAL,@,NWE,L 21-47,,,,,,,,,,,,,,
28,1980,1980-11-30,13,23.258,BAL,,BUF,W 28-24,,,,,,,,,,,,,,
29,1980,1980-12-07,14,23.265,BAL,@,CIN,L 33-34,,,,,,,,,,,,,,
30,1980,1980-12-14,15,23.272,BAL,,MIA,L 14-24,,,,,,,,,,,,,,
31,1980,1980-12-21,16,23.279,BAL,,KAN,L 28-38,,,,,,,,,,,,,,
32,1981,1981-09-06,1,24.173,BAL,@,NWE,W 29-28,0,0,,0,0,0,,0,0,0,0.0,1,10,0
33,1981,1981-09-13,2,24.180,BAL,,BUF,L 3-35,,,,,,,,,,,,,,
34,1981,1981-09-20,3,24.187,BAL,@,DEN,L 10-28,,,,,,,,,,,,,,
35,1981,1981-09-27,4,24.194,BAL,,MIA,L 28-31,,,,,,,,,,,,,,
36,1981,1981-10-04,5,24.201,BAL,@,BUF,L 17-23,,,,,,,,,,,,,,
37,1981,1981-10-11,6,24.208,BAL,,CIN,L 19-41,,,,,,,,,,,,,,
38,1981,1981-10-18,7,24.215,BAL,,SDG,L 14-43,,,,,,,,,,,,,,
39,1981,1981-10-25,8,24.222,BAL,@,CLE,L 28-42,,,,,,,,,,,,,,
40,1981,1981-11-01,9,24.229,BAL,@,MIA,L 10-27,,,,,,,,,,,,,,
41,1981,1981-11-08,10,24.236,BAL,,NYJ,L 14-41,,,,,,,,,,,,,,
42,1981,1981-11-15,11,24.243,BAL,@,PHI,L 13-38,,,,,,,,,,,,,,
43,1981,1981-11-22,12,24.250,BAL,,STL,L 24-35,,,,,,,,,,,,,,
44,1981,1981-11-29,13,24.257,BAL,@,NYJ,L 0-25,,,,,,,,,,,,,,
45,1981,1981-12-06,14,24.264,BAL,,DAL,L 13-37,,,,,,,,,,,,,,
46,1981,1981-12-13,15,24.271,BAL,@,WAS,L 14-38,,,,,,,,,,,,,,
47,1981,1981-12-20,16,24.278,BAL,,NWE,W 23-21,,,,,,,,,,,,,,
48,1982,1982-09-12,1,25.179,BAL,,NWE,L 13-24,,,,,0,0,,0,,,,,,
49,1982,1982-09-19,2,25.186,BAL,@,MIA,L 20-24,0,0,,0,1,5,5.00,1,1,6,1.0,0,0,0
50,1982,1982-11-21,3,25.249,BAL,@,NYJ,L 0-37,,,,,0,0,,0,,,,,,
51,1982,1982-11-28,4,25.256,BAL,@,BUF,L 0-20,,,,,0,0,,0,,,,,,
52,1982,1982-12-05,5,25.263,BAL,,CIN,L 17-20,,,,,0,0,,0,,,,,,
53,1982,1982-12-12,6,25.270,BAL,@,MIN,L 10-13,,,,,0,0,,0,,,,,,
54,1982,1982-12-19,7,25.277,BAL,,GNB,T 20-20,0,0,,0,0,0,,0,0,0,1.0,0,0,0
