ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,rush_att,rush_yds,rush_yds_per_att,rush_td
1,2003,2003-09-07,1,23.148,DAL,,ATL,L 13-27,,,,,,,0.0%,,,,,
2,2003,2003-09-15,2,23.156,DAL,@,NYG,W 35-32,,,,,,,0.0%,,,,,
3,2003,2003-09-28,3,23.169,DAL,@,NYJ,W 17-6,,,,,,,0.0%,,,,,
4,2003,2003-10-05,4,23.176,DAL,,ARI,W 24-7,,0,0,0,,0,0.0%,,1,3,3.00,0
5,2003,2003-10-12,5,23.183,DAL,,PHI,W 23-21,,,,,,,0.0%,,,,,
6,2003,2003-10-19,6,23.190,DAL,@,DET,W 38-7,,0,0,0,,0,0.0%,,1,0,0.00,0
7,2003,2003-10-26,7,23.197,DAL,@,TAM,L 0-16,,,,,,,0.0%,,,,,
8,2003,2003-11-02,8,23.204,DAL,,WAS,W 21-14,,1,1,6,6.00,0,100.0%,6.00,1,3,3.00,0
9,2003,2003-11-09,9,23.211,DAL,,BUF,W 10-6,,,,,,,0.0%,,,,,
10,2003,2003-11-16,10,23.218,DAL,@,NWE,L 0-12,,,,,,,0.0%,,,,,
11,2003,2003-12-07,13,23.239,DAL,@,PHI,L 10-36,*,,,,,,0.0%,,,,,
12,2003,2003-12-14,14,23.246,DAL,@,WAS,W 27-0,,2,,,,,0.0%,,,,,
13,2003,2003-12-21,15,23.253,DAL,,NYG,W 19-3,,,,,,,0.0%,,,,,
14,2003,2003-12-28,16,23.260,DAL,@,NOR,L 7-13,,1,1,3,3.00,0,100.0%,3.00,1,1,1.00,0
15,2004,2004-10-03,4,24.174,MIA,,NYJ,L 9-17,,,,,,,0.0%,,,,,
16,2004,2004-11-07,9,24.209,MIA,,ARI,L 23-24,,,,,,,0.0%,,,,,
17,2004,2004-11-21,10,24.223,MIA,@,SEA,L 17-24,,1,,,,,0.0%,,,,,
18,2004,2004-11-28,11,24.230,MIA,@,SFO,W 24-17,,1,1,2,2.00,0,100.0%,2.00,0,0,,0
19,2004,2004-12-05,12,24.237,MIA,,BUF,L 32-42,,2,2,8,4.00,0,100.0%,4.00,0,0,,0
20,2004,2004-12-12,13,24.244,MIA,@,DEN,L 17-20,,1,,,,,0.0%,,,,,
21,2004,2004-12-20,14,24.252,MIA,,NWE,W 29-28,*,,,,,,0.0%,,,,,
22,2004,2004-12-26,15,24.258,MIA,,CLE,W 10-7,,2,1,5,5.00,0,50.0%,2.50,0,0,,0
23,2004,2005-01-02,16,24.265,MIA,@,BAL,L 23-30,,1,,,,,0.0%,,,,,
24,2006,2006-09-10,1,26.151,NYJ,@,TEN,W 23-16,,,0,0,,0,0.0%,,0,0,,0
25,2006,2006-09-17,2,26.158,NYJ,,NWE,L 17-24,,0,0,0,,0,0.0%,,0,0,,0
