ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td
1,1976,1976-09-12,1,22.169,DET,@,CHI,L 3-10,1,0,0.00,0
2,1976,1976-09-19,2,22.176,DET,,ATL,W 24-10,,,,
3,1976,1976-09-26,3,22.183,DET,,MIN,L 9-10,,,,
4,1976,1976-10-03,4,22.190,DET,@,GNB,L 14-24,,,,
5,1976,1976-10-10,5,22.197,DET,,NWE,W 30-10,,,,
6,1976,1976-10-17,6,22.204,DET,@,WAS,L 7-20,,,,
7,1976,1976-10-24,7,22.211,DET,@,SEA,W 41-14,,,,
8,1976,1976-10-31,8,22.218,DET,,GNB,W 27-6,,,,
9,1976,1976-11-07,9,22.225,DET,@,MIN,L 23-31,,,,
10,1976,1976-11-14,10,22.232,DET,@,NOR,L 16-17,,,,
11,1976,1976-11-21,11,22.239,DET,,CHI,W 14-10,,,,
12,1976,1976-11-25,12,22.243,DET,,BUF,W 27-14,,,,
13,1976,1976-12-05,13,22.253,DET,@,NYG,L 10-24,,,,
14,1976,1976-12-11,14,22.259,DET,,RAM,L 17-20,,,,
15,1977,1977-09-18,1,23.175,DET,@,CHI,L 20-30,,,,
16,1977,1977-09-25,2,23.182,DET,,NOR,W 23-19,,,,
17,1977,1977-10-02,3,23.189,DET,,PHI,W 17-13,,,,
18,1977,1977-10-09,4,23.196,DET,@,MIN,L 7-14,,,,
19,1977,1977-10-16,5,23.203,DET,,GNB,W 10-6,,,,
20,1977,1977-10-23,6,23.210,DET,@,SFO,L 7-28,,,,
21,1977,1977-10-30,7,23.217,DET,@,DAL,L 0-37,,,,
22,1977,1977-11-06,8,23.224,DET,,SDG,W 20-0,,,,
23,1977,1977-11-13,9,23.231,DET,@,ATL,L 6-17,,,,
24,1977,1977-11-20,10,23.238,DET,,TAM,W 16-7,,,,
25,1977,1977-11-24,11,23.242,DET,,CHI,L 14-31,,,,
26,1977,1977-12-04,12,23.252,DET,@,GNB,L 9-10,,,,
27,1977,1977-12-11,13,23.259,DET,@,BAL,W 13-10,,,,
28,1977,1977-12-17,14,23.265,DET,,MIN,L 21-30,,,,
29,1978,1978-09-03,1,24.160,ATL,,HOU,W 20-14,,,,
