ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,def_int,def_int_yds,def_int_td
1,1984,1984-09-03,1,24.246,CLE,@,SEA,L 0-33,,,,,,,
2,1984,1984-09-09,2,24.252,CLE,@,RAM,L 17-20,,,,,,,
3,1984,1984-09-16,3,24.259,CLE,,DEN,L 14-24,,,,,,,
4,1984,1984-09-23,4,24.266,CLE,,PIT,W 20-10,,,,,,,
5,1984,1984-09-30,5,24.273,CLE,@,KAN,L 6-10,0,0,,0,1,26,0
6,1984,1984-10-07,6,24.280,CLE,,NWE,L 16-17,,,,,,,
7,1984,1984-10-14,7,24.287,CLE,,NYJ,L 20-24,,,,,,,
8,1984,1984-10-21,8,24.294,CLE,@,CIN,L 9-12,,,,,,,
9,1984,1984-10-28,9,24.301,CLE,,NOR,L 14-16,,,,,,,
10,1984,1984-11-11,11,24.315,CLE,,SFO,L 7-41,,,,,,,
11,1984,1984-11-18,12,24.322,CLE,@,ATL,W 23-7,,,,,,,
12,1984,1984-11-25,13,24.329,CLE,,HOU,W 27-10,,,,,,,
13,1984,1984-12-02,14,24.336,CLE,,CIN,L 17-20,,,,,,,
14,1984,1984-12-09,15,24.343,CLE,@,PIT,L 20-23,,,,,,,
15,1984,1984-12-16,16,24.350,CLE,@,HOU,W 27-20,,,,,,,
16,1985,1985-09-08,1,25.250,CLE,,STL,L 24-27,,,,,,,
17,1985,1985-09-16,2,25.258,CLE,,PIT,W 17-7,,,,,,,
18,1985,1985-09-22,3,25.264,CLE,@,DAL,L 7-20,,,,,,,
19,1985,1985-09-29,4,25.271,CLE,@,SDG,W 21-7,,,,,,,
20,1985,1985-10-06,5,25.278,CLE,,NWE,W 24-20,,,,,,,
21,1985,1985-10-13,6,25.285,CLE,@,HOU,W 21-6,,,,,,,
22,1985,1985-10-20,7,25.292,CLE,,RAI,L 20-21,,,,,,,
23,1985,1985-10-27,8,25.299,CLE,,WAS,L 7-14,,,,,,,
24,1985,1985-11-03,9,25.306,CLE,@,PIT,L 9-10,,,,,,,
25,1985,1985-11-10,10,25.313,CLE,@,CIN,L 10-27,,,,,,,
26,1985,1985-11-17,11,25.320,CLE,,BUF,W 17-7,0,0,,0,1,3,0
27,1985,1985-11-24,12,25.327,CLE,,CIN,W 24-6,,,,,,,
28,1985,1985-12-01,13,25.334,CLE,@,NYG,W 35-33,,,,,,,
29,1985,1985-12-08,14,25.341,CLE,@,SEA,L 13-31,,,,,,,
30,1985,1985-12-15,15,25.348,CLE,,HOU,W 28-21,,,,,,,
31,1985,1985-12-22,16,25.355,CLE,@,NYJ,L 10-37,,,,,,,
32,1986,1986-09-07,1,26.249,CLE,@,CHI,L 31-41,,,,,,,
33,1986,1986-09-14,2,26.256,CLE,@,HOU,W 23-20,,,,,,,
34,1986,1986-09-18,3,26.260,CLE,,CIN,L 13-30,,,,,,,
