ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,all_td,scoring,def_int,def_int_yds,def_int_td
1,1960,1960-10-02,2,27.181,NYG,@,STL,W 35-14,0,0,,0,0,0,1,3,0
2,1960,1960-10-09,3,27.188,NYG,@,PIT,W 19-17,1,1,1.00,0,0,0,0,0,0
3,1960,1960-10-16,4,27.195,NYG,,WAS,T 24-24,1,0,0.00,0,0,0,0,0,0
4,1960,1960-11-27,9,27.237,NYG,@,PHI,L 23-31,0,0,,0,0,0,1,0,0
5,1960,1960-12-18,12,27.258,NYG,,CLE,L 34-48,0,0,,0,0,0,1,0,0
6,1961,1961-09-17,1,28.166,RAM,@,BAL,L 24-27,0,0,,0,0,0,1,13,0
7,1961,1961-10-01,3,28.180,RAM,,PIT,W 24-14,0,0,,0,0,0,1,18,0
8,1961,1961-10-15,5,28.194,RAM,@,DET,L 13-14,0,0,,0,0,0,2,42,0
9,1961,1961-10-22,6,28.201,RAM,@,NYG,L 14-24,0,0,,0,0,0,1,13,0
10,1961,1961-11-19,10,28.229,RAM,@,GNB,L 17-35,0,0,,0,0,0,1,31,0
11,1962,1962-09-16,1,29.165,RAM,@,BAL,L 27-30,0,0,,0,0,0,1,14,0
12,1962,1962-10-28,7,29.207,RAM,@,SFO,W 28-14,0,0,,0,1,6,1,65,1
13,1962,1962-11-11,9,29.221,RAM,,BAL,L 2-14,0,0,,0,0,0,1,0,0
14,1962,1962-12-02,12,29.242,RAM,@,GNB,L 10-41,0,0,,0,0,0,1,0,0
15,1962,1962-12-09,13,29.249,RAM,@,CHI,L 14-30,0,0,,0,0,0,1,21,0
16,1964,1964-09-13,1,31.162,RAM,@,PIT,W 26-14,0,0,,0,0,0,1,23,0
