ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td
1,1972,1972-09-17,1,22.199,KAN,,MIA,L 10-20,2,47,23.50,0,2,14,7.00,0
2,1972,1972-09-25,2,22.207,KAN,@,NOR,W 20-17,3,100,33.33,0,3,43,14.33,0
3,1972,1972-10-01,3,22.213,KAN,@,DEN,W 45-24,2,71,35.50,0,3,-1,-0.33,0
4,1972,1972-10-08,4,22.220,KAN,@,CLE,W 31-7,0,0,,0,2,8,4.00,0
5,1972,1972-10-15,5,22.227,KAN,,CIN,L 16-23,3,75,25.00,0,3,-5,-1.67,0
6,1972,1972-10-22,6,22.234,KAN,,PHI,L 20-21,2,81,40.50,0,1,17,17.00,0
7,1972,1972-10-29,7,22.241,KAN,@,SDG,W 26-14,2,47,23.50,0,0,0,,0
8,1972,1972-11-05,8,22.248,KAN,,OAK,W 27-14,2,47,23.50,0,2,16,8.00,0
9,1972,1972-11-12,9,22.255,KAN,@,PIT,L 7-16,1,24,24.00,0,0,0,,0
10,1972,1972-11-19,10,22.262,KAN,,SDG,L 17-27,3,88,29.33,0,1,-1,-1.00,0
11,1972,1972-11-26,11,22.269,KAN,@,OAK,L 3-26,3,71,23.67,0,1,12,12.00,0
12,1973,1973-09-16,1,23.198,KAN,,RAM,L 13-23,2,54,27.00,0,1,2,2.00,0
13,1973,1973-09-23,2,23.205,KAN,@,NWE,W 10-7,1,33,33.00,0,2,12,6.00,0
14,1973,1973-09-30,3,23.212,KAN,,OAK,W 16-3,2,49,24.50,0,4,31,7.75,0
15,1973,1973-11-04,8,23.247,KAN,@,SDG,W 19-0,1,25,25.00,0,5,12,2.40,0
16,1973,1973-11-12,9,23.255,KAN,,CHI,W 19-7,0,0,,0,3,12,4.00,0
17,1973,1973-11-18,10,23.261,KAN,,HOU,W 38-14,1,26,26.00,0,5,52,10.40,0
18,1973,1973-11-25,11,23.268,KAN,@,DEN,L 10-14,1,25,25.00,0,2,5,2.50,0
19,1973,1973-12-02,12,23.275,KAN,,CLE,T 20-20,1,38,38.00,0,4,37,9.25,0
20,1973,1973-12-08,13,23.281,KAN,@,OAK,L 7-37,3,99,33.00,0,3,17,5.67,0
21,1973,1973-12-16,14,23.289,KAN,,SDG,W 33-6,2,42,21.00,0,0,0,,0
22,1974,1974-09-22,2,24.204,MIN,@,DET,W 7-6,1,0,0.00,0,2,8,4.00,0
23,1974,1974-09-29,3,24.211,MIN,,CHI,W 11-7,0,0,,0,2,19,9.50,0
24,1974,1974-10-06,4,24.218,MIN,@,DAL,W 23-21,1,17,17.00,0,0,0,,0
25,1974,1974-10-13,5,24.225,MIN,,HOU,W 51-10,0,0,,0,1,19,19.00,0
26,1974,1974-10-20,6,24.232,MIN,,DET,L 16-20,2,39,19.50,0,0,0,,0
27,1974,1974-10-27,7,24.239,PHI,@,NOR,L 10-14,1,29,29.00,0,1,-3,-3.00,0
28,1974,1974-11-03,8,24.246,PHI,@,PIT,L 0-27,5,113,22.60,0,1,21,21.00,0
29,1974,1974-11-10,9,24.253,PHI,,WAS,L 20-27,1,19,19.00,0,1,18,18.00,0
30,1974,1974-11-17,10,24.260,PHI,,STL,L 3-13,2,49,24.50,0,1,0,0.00,0
31,1974,1974-11-24,11,24.267,PHI,@,WAS,L 7-26,1,28,28.00,0,0,0,,0
32,1974,1974-12-01,12,24.274,PHI,,GNB,W 36-14,2,31,15.50,0,0,0,,0
33,1974,1974-12-08,13,24.281,PHI,@,NYG,W 20-7,1,44,44.00,0,1,14,14.00,0
34,1974,1974-12-15,14,24.288,PHI,,DET,W 28-17,3,99,33.00,0,3,22,7.33,0
35,1975,1975-10-19,5,25.231,PHI,@,STL,L 20-31,3,88,29.33,0,2,29,14.50,0
36,1975,1975-10-26,6,25.238,PHI,,DAL,L 17-20,0,0,,0,2,26,13.00,0
37,1975,1975-11-03,7,25.246,PHI,,RAM,L 3-42,6,126,21.00,0,3,36,12.00,0
38,1975,1975-11-09,8,25.252,PHI,,STL,L 23-24,3,94,31.33,0,2,39,19.50,0
39,1975,1975-11-16,9,25.259,PHI,@,NYG,W 13-10,1,17,17.00,0,3,12,4.00,0
40,1975,1975-11-23,10,25.266,PHI,@,DAL,L 17-27,3,76,25.33,0,0,0,,0
41,1975,1975-11-30,11,25.273,PHI,,SFO,W 27-17,0,0,,0,2,19,9.50,0
42,1975,1975-12-07,12,25.280,PHI,,CIN,L 0-31,3,79,26.33,0,1,12,12.00,0
43,1975,1975-12-14,13,25.287,PHI,@,DEN,L 10-25,3,77,25.67,0,4,36,9.00,0
44,1975,1975-12-21,14,25.294,PHI,@,WAS,W 26-3,0,0,,0,4,26,6.50,0
45,1976,1976-09-12,1,26.194,PHI,@,DAL,L 7-27,4,88,22.00,0,2,23,11.50,0
46,1976,1976-09-19,2,26.201,PHI,,NYG,W 20-7,1,21,21.00,0,5,55,11.00,0
47,1976,1976-09-27,3,26.209,PHI,,WAS,L 17-20,4,47,11.75,0,5,69,13.80,0
48,1976,1976-10-03,4,26.215,PHI,@,ATL,W 14-13,3,82,27.33,0,0,0,,0
49,1976,1976-10-10,5,26.222,PHI,@,STL,L 14-33,2,71,35.50,0,0,0,,0
