ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,all_td,scoring,sacks,tackles_solo,tackles_assists
1,2002,2002-09-09,1,23.297,NWE,,PIT,W 30-14,*,1,,,,,0.0%,,,,,,
2,2002,2002-09-15,2,23.303,NWE,@,NYJ,W 44-7,,1,1,-6,-6.00,0,100.0%,-6.00,0,0,0.0,,
3,2002,2002-09-22,3,23.310,NWE,,KAN,W 41-38,*,2,1,18,18.00,1,50.0%,9.00,1,6,0.0,,
4,2002,2002-09-29,4,23.317,NWE,@,SDG,L 14-21,*,3,2,20,10.00,0,66.7%,6.67,0,0,0.0,,
5,2002,2002-11-03,8,23.352,NWE,@,BUF,W 38-7,,3,3,68,22.67,0,100.0%,22.67,0,0,0.0,,
6,2002,2002-11-10,9,23.359,NWE,@,CHI,W 33-30,*,3,2,1,0.50,0,66.7%,0.33,0,0,0.0,,
7,2002,2002-11-17,10,24.001,NWE,@,OAK,L 20-27,,,,,,,0.0%,,,,,,
8,2002,2002-11-24,11,24.008,NWE,,MIN,W 24-17,,3,1,17,17.00,0,33.3%,5.67,0,0,0.0,,
9,2002,2002-11-28,12,24.012,NWE,@,DET,W 20-12,,3,1,16,16.00,0,33.3%,5.33,0,0,0.0,,
10,2002,2002-12-08,13,24.022,NWE,,BUF,W 27-17,*,2,2,8,4.00,0,100.0%,4.00,0,0,0.0,,
11,2002,2002-12-16,14,24.030,NWE,@,TEN,L 7-24,*,2,2,8,4.00,0,100.0%,4.00,0,0,0.0,,
12,2002,2002-12-22,15,24.036,NWE,,NYJ,L 17-30,,,,,,,0.0%,,,,,,
13,2003,2003-09-07,1,24.295,NWE,@,BUF,L 0-31,,2,1,1,1.00,0,50.0%,0.50,0,0,0.0,,
14,2003,2003-09-14,2,24.302,NWE,@,PHI,W 31-10,,1,1,3,3.00,0,100.0%,3.00,0,0,0.0,,
15,2003,2003-09-21,3,24.309,NWE,,NYJ,W 23-16,*,4,2,37,18.50,0,50.0%,9.25,0,0,0.0,,
16,2003,2003-09-28,4,24.316,NWE,@,WAS,L 17-20,*,6,3,54,18.00,0,50.0%,9.00,0,0,0.0,,
17,2003,2003-10-19,7,24.337,NWE,@,MIA,W 19-13,*,2,2,9,4.50,0,100.0%,4.50,0,0,0.0,,
18,2003,2003-10-26,8,24.344,NWE,,CLE,W 9-3,,8,7,110,15.71,0,87.5%,13.75,0,0,0.0,,
19,2003,2003-11-03,9,24.352,NWE,@,DEN,W 30-26,*,6,4,39,9.75,1,66.7%,6.50,1,6,0.0,,
20,2003,2003-11-16,10,25.000,NWE,,DAL,W 12-0,*,6,1,5,5.00,0,16.7%,0.83,0,0,0.0,,
21,2003,2003-11-23,11,25.007,NWE,@,HOU,W 23-20,*,8,4,53,13.25,1,50.0%,6.63,1,6,0.0,,
22,2003,2003-11-30,12,25.014,NWE,@,IND,W 38-34,*,,,,,,0.0%,,,,,,
23,2003,2003-12-07,13,25.021,NWE,,MIA,W 12-0,*,8,6,24,4.00,0,75.0%,3.00,0,0,0.0,,
24,2003,2003-12-14,14,25.028,NWE,,JAX,W 27-13,,7,5,69,13.80,1,71.4%,9.86,1,6,0.0,,
25,2003,2003-12-20,15,25.034,NWE,@,NYJ,W 21-16,*,4,1,4,4.00,0,25.0%,1.00,0,0,0.0,,
26,2003,2003-12-27,16,25.041,NWE,,BUF,W 31-0,,1,1,1,1.00,1,100.0%,1.00,1,6,0.0,,
27,2004,2004-09-09,1,25.298,NWE,,IND,W 27-24,*,10,7,57,8.14,1,70.0%,5.70,1,6,0.0,,
28,2004,2004-09-19,2,25.308,NWE,@,ARI,W 23-12,*,3,2,21,10.50,2,66.7%,7.00,2,12,0.0,,
29,2004,2004-10-03,3,25.322,NWE,@,BUF,W 31-17,*,3,2,35,17.50,1,66.7%,11.67,1,6,0.0,,
30,2004,2004-10-10,4,25.329,NWE,,MIA,W 24-10,*,2,1,1,1.00,1,50.0%,0.50,1,6,0.0,,
31,2004,2004-10-17,5,25.336,NWE,,SEA,W 30-20,*,5,4,45,11.25,0,80.0%,9.00,0,0,0.0,,
32,2004,2004-10-24,6,25.343,NWE,,NYJ,W 13-7,*,3,2,21,10.50,0,66.7%,7.00,0,0,0.0,,
33,2004,2004-10-31,7,25.350,NWE,@,PIT,L 20-34,*,1,,,,,0.0%,,,,,,
34,2004,2004-11-07,8,25.357,NWE,@,STL,W 40-22,*,1,,,,,0.0%,,,,,,
35,2004,2004-11-14,9,25.364,NWE,,BUF,W 29-6,*,3,1,9,9.00,0,33.3%,3.00,0,0,0.0,,
36,2004,2004-11-22,10,26.006,NWE,@,KAN,W 27-19,*,3,3,83,27.67,0,100.0%,27.67,0,0,0.0,,
37,2004,2004-11-28,11,26.012,NWE,,BAL,W 24-3,*,4,2,24,12.00,0,50.0%,6.00,0,0,0.0,,
38,2004,2004-12-05,12,26.019,NWE,@,CLE,W 42-15,*,2,1,14,14.00,0,50.0%,7.00,0,0,0.0,,
39,2004,2004-12-20,14,26.034,NWE,@,MIA,L 28-29,*,6,3,24,8.00,1,50.0%,4.00,1,6,0.0,,
40,2004,2004-12-26,15,26.040,NWE,@,NYJ,W 23-7,*,2,2,30,15.00,1,100.0%,15.00,1,6,0.0,,
41,2005,2005-09-08,1,26.296,NWE,,OAK,W 30-20,*,3,1,17,17.00,0,33.3%,5.67,0,0,0.0,,
42,2005,2005-09-18,2,26.306,NWE,@,CAR,L 17-27,*,1,1,1,1.00,1,100.0%,1.00,1,6,0.0,,
43,2005,2005-09-25,3,26.313,NWE,@,PIT,W 23-20,*,2,0,0,,0,0.0%,0.00,0,0,0.0,,
44,2005,2005-10-02,4,26.320,NWE,,SDG,L 17-41,*,,0,0,,0,0.0%,,0,0,0.0,,
45,2005,2005-10-09,5,26.327,NWE,@,ATL,W 31-28,*,5,5,119,23.80,1,100.0%,23.80,1,6,0.0,,
46,2005,2005-10-16,6,26.334,NWE,@,DEN,L 20-28,*,1,1,5,5.00,0,100.0%,5.00,0,0,0.0,,
47,2005,2005-10-30,7,26.348,NWE,,BUF,W 21-16,*,2,1,15,15.00,0,50.0%,7.50,0,0,0.0,,
48,2005,2005-11-07,8,26.356,NWE,,IND,L 21-40,*,8,5,41,8.20,1,62.5%,5.13,1,6,0.0,,
49,2005,2005-11-20,10,27.004,NWE,,NOR,W 24-17,,,0,0,,0,0.0%,,0,0,0.0,,
50,2005,2005-11-27,11,27.011,NWE,@,KAN,L 16-26,*,3,2,37,18.50,0,66.7%,12.33,0,0,0.0,,
51,2005,2005-12-17,14,27.031,NWE,,TAM,W 28-0,,,0,0,,0,0.0%,,0,0,0.0,,
52,2006,2006-09-10,1,27.298,NWE,,BUF,W 19-17,*,3,1,23,23.00,0,33.3%,7.67,0,0,0.0,,
53,2006,2006-09-17,2,27.305,NWE,@,NYJ,W 24-17,*,1,1,29,29.00,0,100.0%,29.00,0,0,0.0,,
54,2006,2006-09-24,3,27.312,NWE,,DEN,L 7-17,*,6,2,19,9.50,0,33.3%,3.17,0,0,0.0,,
55,2006,2006-10-01,4,27.319,NWE,@,CIN,W 38-13,*,7,4,34,8.50,1,57.1%,4.86,1,6,0.0,,
56,2006,2006-11-12,9,27.361,NWE,,NYJ,L 14-17,*,3,1,6,6.00,0,33.3%,2.00,0,0,0.0,,
57,2006,2006-11-19,10,28.003,NWE,@,GNB,W 35-0,*,1,1,2,2.00,1,100.0%,2.00,1,6,0.0,,
58,2006,2006-11-26,11,28.010,NWE,,CHI,W 17-13,*,1,1,25,25.00,0,100.0%,25.00,0,0,0.0,,
59,2006,2006-12-03,12,28.017,NWE,,DET,W 28-21,*,2,2,24,12.00,0,100.0%,12.00,0,0,0.0,,
60,2006,2006-12-10,13,28.024,NWE,@,MIA,L 0-21,*,5,4,23,5.75,0,80.0%,4.60,0,0,0.0,,
61,2006,2006-12-17,14,28.031,NWE,,HOU,W 40-7,*,,0,0,,0,0.0%,,0,0,0.0,,
62,2006,2006-12-24,15,28.038,NWE,@,JAX,W 24-21,,4,3,44,14.67,0,75.0%,11.00,0,0,0.0,,
63,2006,2006-12-31,16,28.045,NWE,@,TEN,W 40-23,*,1,1,6,6.00,0,100.0%,6.00,0,0,0.0,,
64,2007,2007-09-09,1,28.297,DEN,@,BUF,W 15-14,*,4,3,24,8.00,0,75.0%,6.00,0,0,0.0,,
65,2007,2007-09-16,2,28.304,DEN,,OAK,W 23-20,*,1,1,9,9.00,0,100.0%,9.00,0,0,0.0,,
66,2007,2007-09-23,3,28.311,DEN,,JAX,L 14-23,*,1,0,0,,0,0.0%,0.00,0,0,0.0,,
67,2007,2007-09-30,4,28.318,DEN,@,IND,L 20-38,*,4,4,35,8.75,0,100.0%,8.75,0,0,0.0,,
68,2007,2007-10-07,5,28.325,DEN,,SDG,L 3-41,*,2,2,10,5.00,0,100.0%,5.00,0,0,0.0,,
69,2007,2007-10-21,6,28.339,DEN,,PIT,W 31-28,*,1,1,9,9.00,0,100.0%,9.00,0,0,0.0,,
70,2007,2007-10-29,7,28.347,DEN,,GNB,L 13-19,*,3,2,20,10.00,0,66.7%,6.67,0,0,0.0,,
71,2007,2007-11-04,8,28.353,DEN,@,DET,L 7-44,*,5,3,42,14.00,0,60.0%,8.40,0,0,0.0,,
72,2007,2007-11-11,9,28.360,DEN,@,KAN,W 27-11,*,2,2,20,10.00,1,100.0%,10.00,1,6,0.0,,
73,2007,2007-11-19,10,29.003,DEN,,TEN,W 34-20,*,2,2,20,10.00,0,100.0%,10.00,0,0,0.0,,
74,2007,2007-11-25,11,29.009,DEN,@,CHI,L 34-37,*,3,0,0,,0,0.0%,0.00,0,0,0.0,,
75,2007,2007-12-02,12,29.016,DEN,@,OAK,L 20-34,*,1,0,0,,0,0.0%,0.00,0,0,0.0,,
76,2007,2007-12-09,13,29.023,DEN,,KAN,W 41-7,*,3,3,55,18.33,1,100.0%,18.33,1,6,0.0,,
77,2007,2007-12-13,14,29.027,DEN,@,HOU,L 13-31,*,1,1,2,2.00,0,100.0%,2.00,0,0,0.0,,
78,2007,2007-12-24,15,29.038,DEN,@,SDG,L 3-23,*,0,0,0,,0,0.0%,,0,0,0.0,,
79,2008,2008-09-08,1,29.297,DEN,@,OAK,W 41-14,*,,,,,,0.0%,,,,,,
80,2008,2008-09-14,2,29.303,DEN,,SDG,W 39-38,*,4,2,22,11.00,0,50.0%,5.50,0,0,0.0,0,0
81,2008,2008-09-21,3,29.310,DEN,,NOR,W 34-32,*,2,1,21,21.00,0,50.0%,10.50,0,0,0.0,0,0
82,2008,2008-09-28,4,29.317,DEN,@,KAN,L 19-33,*,6,3,29,9.67,0,50.0%,4.83,0,0,0.0,1,0
83,2008,2008-10-05,5,29.324,DEN,,TAM,W 16-13,*,4,1,10,10.00,0,25.0%,2.50,0,0,0.0,0,0
84,2008,2008-10-12,6,29.331,DEN,,JAX,L 17-24,*,1,1,11,11.00,1,100.0%,11.00,1,6,0.0,0,0
85,2008,2008-10-20,7,29.339,DEN,@,NWE,L 7-41,*,2,2,27,13.50,1,100.0%,13.50,1,6,0.0,0,0
86,2008,2008-11-02,8,29.352,DEN,,MIA,L 17-26,*,2,1,23,23.00,0,50.0%,11.50,0,0,0.0,0,0
87,2008,2008-11-06,9,29.356,DEN,@,CLE,W 34-30,*,5,3,50,16.67,1,60.0%,10.00,1,6,0.0,0,0
88,2008,2008-11-16,10,30.000,DEN,@,ATL,W 24-20,*,2,1,9,9.00,1,50.0%,4.50,1,6,0.0,0,0
89,2008,2008-11-23,11,30.007,DEN,,OAK,L 10-31,*,1,,,,,0.0%,,,,,,
90,2008,2008-11-30,12,30.014,DEN,@,NYJ,W 34-17,*,7,6,59,9.83,0,85.7%,8.43,0,0,0.0,0,0
91,2008,2008-12-07,13,30.021,DEN,,KAN,W 24-17,*,5,3,32,10.67,0,60.0%,6.40,0,0,0.0,0,0
92,2008,2008-12-14,14,30.028,DEN,@,CAR,L 10-30,*,3,3,25,8.33,0,100.0%,8.33,0,0,0.0,0,0
