ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rec,rec_yds,rec_yds_per_rec,rec_td,rush_att,rush_yds,rush_yds_per_att,rush_td,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td
1,1956,1956-09-30,1,25.293,WAS,@,PIT,L 13-30,3,34,11.33,1,0,0,,0,,,,
2,1956,1956-10-06,2,25.299,WAS,@,PHI,L 9-13,3,32,10.67,0,0,0,,0,,,,
3,1956,1956-10-14,3,25.307,WAS,,CRD,L 3-31,2,23,11.50,0,0,0,,0,,,,
4,1956,1956-10-21,4,25.314,WAS,,CLE,W 20-9,2,12,6.00,0,0,0,,0,,,,
5,1956,1956-10-28,5,25.321,WAS,@,CRD,W 17-14,3,57,19.00,1,0,0,,0,,,,
6,1956,1956-11-18,7,25.342,WAS,,NYG,W 33-7,1,51,51.00,1,0,0,,0,,,,
7,1956,1956-11-25,8,25.349,WAS,@,CLE,W 20-17,3,42,14.00,0,0,0,,0,,,,
8,1956,1956-12-02,9,25.356,WAS,@,NYG,L 14-28,3,33,11.00,1,0,0,,0,,,,
9,1956,1956-12-09,10,25.363,WAS,,PHI,W 19-17,2,63,31.50,0,0,0,,0,,,,
10,1956,1956-12-16,11,26.004,WAS,,PIT,L 0-23,1,13,13.00,0,0,0,,0,,,,
11,1956,1956-12-23,12,26.011,WAS,@,BAL,L 17-19,1,35,35.00,1,0,0,,0,,,,
12,1957,1957-09-29,1,26.291,WAS,@,PIT,L 7-28,3,51,17.00,0,0,0,,0,,,,
13,1957,1957-10-20,4,26.312,WAS,,CRD,L 14-44,2,18,9.00,1,0,0,,0,,,,
14,1957,1957-11-10,7,26.333,WAS,,BAL,L 17-21,3,37,12.33,0,0,0,,0,,,,
15,1957,1957-11-17,8,26.340,WAS,,CLE,T 30-30,2,46,23.00,1,0,0,,0,,,,
16,1957,1957-12-08,11,26.361,WAS,,PHI,W 42-7,1,13,13.00,0,0,0,,0,,,,
17,1957,1957-12-15,12,27.003,WAS,,PIT,W 10-3,2,18,9.00,0,0,0,,0,,,,
18,1958,1958-09-28,1,27.290,GNB,,CHI,L 20-34,1,10,10.00,0,0,0,,0,,,,
19,1958,1958-10-05,2,27.297,GNB,,DET,T 13-13,3,39,13.00,0,0,0,,0,,,,
20,1958,1958-10-12,3,27.304,GNB,,BAL,L 17-24,4,50,12.50,0,0,0,,0,,,,
21,1958,1958-10-19,4,27.311,GNB,@,WAS,L 21-37,1,15,15.00,0,0,0,,0,,,,
22,1958,1958-11-09,7,27.332,GNB,@,CHI,L 10-24,1,5,5.00,0,0,0,,0,,,,
23,1958,1958-11-27,10,27.350,GNB,@,DET,L 14-24,1,10,10.00,0,0,0,,0,,,,
24,1958,1958-12-07,11,27.360,GNB,@,SFO,L 21-48,2,10,5.00,1,0,0,,0,,,,
25,1960,1960-10-09,3,29.302,GNB,,BAL,W 35-21,0,0,,0,0,0,,0,1,0,0.00,0
26,1960,1960-10-23,4,29.316,GNB,,SFO,W 41-14,1,23,23.00,0,0,0,,0,0,0,,0
27,1960,1960-10-30,5,29.323,GNB,@,PIT,W 19-13,1,20,20.00,0,0,0,,0,0,0,,0
28,1961,1961-09-24,2,30.286,PIT,,NYG,L 14-17,1,15,15.00,0,0,0,,0,0,0,,0
29,1961,1961-10-01,3,30.293,PIT,@,RAM,L 14-24,3,38,12.67,0,0,0,,0,0,0,,0
30,1961,1961-10-08,4,30.300,PIT,@,PHI,L 16-21,4,50,12.50,0,1,6,6.00,0,0,0,,0
