ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,all_td,scoring,sacks,def_int,def_int_yds,def_int_td
1,1984,1984-09-02,1,23.317,NYG,,PHI,W 28-27,,,,,,,,,,,,,
2,1984,1984-09-09,2,23.324,NYG,,DAL,W 28-7,,,,,,,,,,,,,
3,1984,1984-09-16,3,23.331,NYG,@,WAS,L 14-30,,,,,,,,,,,,,
4,1984,1984-09-23,4,23.338,NYG,,TAM,W 17-14,,,,,,,,,,,,,
5,1984,1984-09-30,5,23.345,NYG,@,RAM,L 12-33,,,,,,,,,,,,,
6,1984,1984-10-08,6,23.353,NYG,,SFO,L 10-31,,,,,,,,,,,,,
7,1984,1984-10-14,7,23.359,NYG,@,ATL,W 19-7,,,,,,,,,,,,,
8,1984,1984-10-21,8,24.000,NYG,@,PHI,L 10-24,,,,,,,,,,,,,
9,1984,1984-10-28,9,24.007,NYG,,WAS,W 37-13,,,,,,,,,,,,,
10,1984,1984-11-04,10,24.014,NYG,@,DAL,W 19-7,,,,,,,,,,,,,
11,1984,1984-11-11,11,24.021,NYG,@,TAM,L 17-20,,,,,,,,,,,,,
12,1984,1984-11-18,12,24.028,NYG,,STL,W 16-10,,,,,,,,,,,,,
13,1984,1984-11-25,13,24.035,NYG,,KAN,W 28-27,,,,,,,,,,,,,
14,1984,1984-12-02,14,24.042,NYG,@,NYJ,W 20-10,,,,,,,,,,,,,
15,1984,1984-12-09,15,24.049,NYG,@,STL,L 21-31,,,,,,,,,,,,,
16,1985,1985-09-08,1,24.322,NYG,,PHI,W 21-0,,,,,,,,,,,,,
17,1985,1985-09-15,2,24.329,NYG,@,GNB,L 20-23,,,,,,,,,,,,,
18,1985,1985-09-22,3,24.336,NYG,,STL,W 27-17,,,,,,,,,,,,,
19,1985,1985-09-29,4,24.343,NYG,@,PHI,W 16-10,,0,0,,0,,,1,6,0.0,1,29,1
20,1985,1985-10-06,5,24.350,NYG,,DAL,L 29-30,,0,0,,0,,,0,0,0.0,2,6,0
21,1985,1985-10-13,6,24.357,NYG,@,CIN,L 30-35,,,,,,,,,,,,,
22,1985,1985-10-20,7,24.364,NYG,,WAS,W 17-3,,,,,,,,,,,,,
23,1985,1985-10-27,8,25.006,NYG,@,NOR,W 21-13,,0,0,,0,,,0,0,0.0,1,24,0
24,1985,1985-11-03,9,25.013,NYG,,TAM,W 22-20,,0,0,,0,,,0,0,0.5,0,0,0
25,1985,1985-11-10,10,25.020,NYG,,RAM,W 24-19,,,,,,,,,,,,,
26,1985,1985-11-18,11,25.028,NYG,@,WAS,L 21-23,,,,,,,,,,,,,
27,1985,1985-11-24,12,25.034,NYG,@,STL,W 34-3,,0,0,,0,,,0,0,0.0,1,2,0
28,1985,1985-12-01,13,25.041,NYG,,CLE,L 33-35,,,,,,,,,,,,,
