ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,all_td,scoring,sacks,def_int,def_int_yds,def_int_td
29,1985,1985-12-08,14,25.048,NYG,@,HOU,W 35-14,,,,,,,,,,,,,
30,1985,1985-12-15,15,25.055,NYG,@,DAL,L 21-28,,0,0,,0,,,0,0,0.0,1,27,0
31,1985,1985-12-21,16,25.061,NYG,,PIT,W 28-10,,,,,,,,,,,,,
32,1986,1986-09-08,1,25.322,NYG,@,DAL,L 28-31,,,,,,,,,,,,,
33,1986,1986-09-14,2,25.328,NYG,,SDG,W 20-7,,,,,,,,,,,,,
34,1986,1986-09-21,3,25.335,NYG,@,RAI,W 14-9,,,,,,,,,,,,,
35,1986,1986-09-28,4,25.342,NYG,,NOR,W 20-17,,,,,,,,,,,,,
36,1986,1986-10-05,5,25.349,NYG,@,STL,W 13-6,,,,,,,,,,,,,
37,1986,1986-10-12,6,25.356,NYG,,PHI,W 35-3,,0,0,,0,,,0,0,0.0,1,26,0
38,1986,1986-10-19,7,25.363,NYG,@,SEA,L 12-17,,,,,,,,,,,,,
39,1986,1986-11-02,9,26.012,NYG,,DAL,W 17-14,,,,,,,,,,,,,
40,1986,1986-11-09,10,26.019,NYG,@,PHI,W 17-14,,0,0,,0,,,0,0,0.0,1,0,0
41,1986,1986-11-16,11,26.026,NYG,@,MIN,W 22-20,,,,,,,,,,,,,
42,1986,1986-11-23,12,26.033,NYG,,DEN,W 19-16,,,,,,,,,,,,,
43,1986,1986-12-01,13,26.041,NYG,@,SFO,W 21-17,,,,,,,,,,,,,
44,1986,1986-12-07,14,26.047,NYG,@,WAS,W 24-14,,,,,,,,,,,,,
45,1986,1986-12-14,15,26.054,NYG,,STL,W 27-7,,,,,,,,,,,,,
46,1986,1986-12-20,16,26.060,NYG,,GNB,W 55-24,,,,,,,,,,,,,
47,1987,1987-09-14,1,26.328,NYG,@,CHI,L 19-34,,,,,,,,,,,,,
48,1987,1987-10-04,3,26.348,SDG,@,CIN,W 10-9,,,,,,,,,,,,,
49,1987,1987-10-11,4,26.355,SDG,@,TAM,W 17-13,,,,,,,,,,,,,
50,1987,1987-10-18,5,26.362,SDG,@,RAI,W 23-17,,0,0,,0,,,1,6,0.0,1,75,1
51,1987,1987-10-25,6,27.004,SDG,,KAN,W 42-21,,,,,,,,,,,,,
52,1987,1987-11-01,7,27.011,SDG,,CLE,W 27-24,,,,,,,,,,,,,
53,1987,1987-11-08,8,27.018,SDG,@,IND,W 16-13,,,,,,,,,,,,,
54,1987,1987-11-15,9,27.025,SDG,,RAI,W 16-14,,,,,,,,,,,,,
55,1987,1987-11-22,10,27.032,SDG,@,SEA,L 3-34,,,,,,,,,,,,,
56,1987,1987-11-29,11,27.039,SDG,,DEN,L 17-31,,,,,,,,,,,,,
57,1987,1987-12-06,12,27.046,SDG,@,HOU,L 18-33,,,,,,,,,,,,,
58,1987,1987-12-13,13,27.053,SDG,,PIT,L 16-20,,,,,,,,,,,,,
59,1987,1987-12-20,14,27.060,SDG,,IND,L 7-20,,,,,,,,,,,,,
60,1987,1987-12-27,15,27.067,SDG,@,DEN,L 0-24,,,,,,,,,,,,,
61,1988,1988-09-04,1,27.319,SDG,@,RAI,L 13-24,,,,,,,,,,,,,
62,1988,1988-09-11,2,27.326,SDG,@,DEN,L 3-34,,0,0,,0,,,0,0,1.0,0,0,0
63,1988,1988-09-18,3,27.333,SDG,,SEA,W 17-6,,,,,,,,,,,,,
64,1988,1988-09-25,4,27.340,SDG,@,KAN,W 24-23,,,,,,,,,,,,,
65,1988,1988-10-02,5,27.347,SDG,,DEN,L 0-12,,,,,,,,,,,,,
66,1988,1988-10-16,7,27.361,SDG,@,MIA,L 28-31,,,,,,,,,,,,,
67,1988,1988-10-23,8,28.002,SDG,,IND,L 0-16,,,,,,,,,,,,,
68,1988,1988-11-06,10,28.016,SDG,,RAI,L 3-13,,,,,,,,,,,,,
69,1988,1988-11-13,11,28.023,SDG,@,ATL,W 10-7,,,,,,,,,,,,,
70,1988,1988-11-20,12,28.030,SDG,@,RAM,W 38-24,,0,0,,0,,,0,0,0.0,1,0,0
71,1988,1988-11-27,13,28.037,SDG,,SFO,L 10-48,,,,,,,,,,,,,
72,1988,1988-12-04,14,28.044,SDG,@,CIN,L 10-27,,,,,,,,,,,,,
73,1988,1988-12-11,15,28.051,SDG,,PIT,W 20-14,,,,,,,,,,,,,
74,1988,1988-12-18,16,28.058,SDG,,KAN,W 24-13,,,,,,,,,,,,,
75,1989,1989-09-10,1,28.324,SDG,@,RAI,L 14-40,,,,,,,,,,,,,
76,1989,1989-09-17,2,28.331,SDG,,HOU,L 27-34,,,,,,,,,,,,,
77,1989,1989-09-24,3,28.338,SDG,,KAN,W 21-6,,,,,,,,,,,,,
78,1989,1989-10-01,4,28.345,SDG,@,PHO,W 24-13,,,,,,,,,,,,,
79,1989,1989-10-08,5,28.352,SDG,@,DEN,L 10-16,,,,,,,,,,,,,
80,1989,1989-10-15,6,28.359,SDG,,SEA,L 16-17,,,,,,,,,,,,,
81,1989,1989-10-22,7,29.001,SDG,,NYG,L 13-20,,,,,,,,,,,,,
82,1989,1989-10-29,8,29.008,SDG,@,SEA,L 7-10,,0,0,,0,,,0,0,0.0,1,10,0
83,1989,1989-11-05,9,29.015,SDG,,PHI,W 20-17,,,,,,,,,,,,,
84,1989,1989-11-12,10,29.022,SDG,,RAI,W 14-12,,0,0,,0,,,0,0,0.0,1,34,0
85,1989,1989-11-19,11,29.029,SDG,@,PIT,L 17-20,,,,,,,,,,,,,
86,1989,1989-11-26,12,29.036,SDG,@,IND,L 6-10,,,,,,,,,,,,,
87,1989,1989-12-03,13,29.043,SDG,,NYJ,L 17-20,,,,,,,,,,,,,
88,1989,1989-12-10,14,29.050,SDG,@,WAS,L 21-26,,,,,,,,,,,,,
89,1989,1989-12-17,15,29.057,SDG,@,KAN,W 20-13,,,,,,,,,,,,,
90,1989,1989-12-24,16,29.064,SDG,,DEN,W 19-16,,,,,,,,,,,,,
91,1990,1990-09-09,1,29.323,RAI,,DEN,W 14-9,,,,,,,,,,,,,
92,1990,1990-09-16,2,29.330,RAI,@,SEA,W 17-13,,,,,,,,,,,,,
93,1990,1990-09-23,3,29.337,RAI,,PIT,W 20-3,,,,,,,,,,,,,
94,1990,1990-09-30,4,29.344,RAI,,CHI,W 24-10,,,,,,,,,,,,,
95,1990,1990-10-07,5,29.351,RAI,@,BUF,L 24-38,,,,,,,,,,,,,
96,1990,1990-10-14,6,29.358,RAI,,SEA,W 24-17,,,,,,,,,,,,,
97,1990,1990-10-21,7,30.000,RAI,@,SDG,W 24-9,,,,,,,,,,,,,
98,1990,1990-11-04,8,30.014,RAI,@,KAN,L 7-9,,,,,,,,,,,,,
99,1990,1990-11-11,9,30.021,RAI,,GNB,L 16-29,,,,,,,,,,,,,
100,1990,1990-11-19,10,30.029,RAI,@,MIA,W 13-10,,,,,,,,,,,,,
101,1990,1990-11-25,11,30.035,RAI,,KAN,L 24-27,,,,,,,,,,,,,
102,1990,1990-12-02,12,30.042,RAI,@,DEN,W 23-20,,,,,,,,,,,,,
103,1990,1990-12-10,13,30.050,RAI,@,DET,W 38-31,,,,,,,,,,,,,
104,1990,1990-12-16,14,30.056,RAI,,CIN,W 24-7,,,,,,,,,,,,,
105,1990,1990-12-22,15,30.062,RAI,@,MIN,W 28-24,,,,,,,,,,,,,
106,1990,1990-12-30,16,30.070,RAI,,SDG,W 17-12,,,,,,,,,,,,,
107,1991,1991-09-01,1,30.315,RAI,@,HOU,L 17-47,,,,,,,,,,,,,
108,1991,1991-09-08,2,30.322,RAI,,DEN,W 16-13,,,,,,,,,,,,,
109,1991,1991-09-15,3,30.329,RAI,,IND,W 16-0,,,,,,,,,,,,,
110,1991,1991-09-22,4,30.336,RAI,@,ATL,L 17-21,,,,,,,,,,,,,
111,1991,1991-09-29,5,30.343,RAI,,SFO,W 12-6,,,,,,,,,,,,,
112,1991,1991-10-06,6,30.350,RAI,,SDG,L 13-21,,,,,,,,,,,,,
113,1991,1991-10-13,7,30.357,RAI,@,SEA,W 23-20,,,,,,,,,,,,,
114,1991,1991-10-20,8,30.364,RAI,,RAM,W 20-17,,,,,,,,,,,,,
115,1991,1991-10-28,9,31.007,RAI,@,KAN,L 21-24,,1,34,34.00,0,,,0,0,0.0,0,0,0
116,1991,1991-11-10,10,31.020,RAI,@,DEN,W 17-16,,,,,,,,,,,,,
117,1991,1991-11-17,11,31.027,RAI,,SEA,W 31-7,,,,,,,,,,,,,
118,1991,1991-11-24,12,31.034,RAI,@,CIN,W 38-14,,,,,,,,,,,,,
119,1991,1991-12-01,13,31.041,RAI,@,SDG,W 9-7,,,,,,,,,,,,,
120,1991,1991-12-08,14,31.048,RAI,,BUF,L 27-30,,,,,,,,,,,,,
121,1991,1991-12-16,15,31.056,RAI,@,NOR,L 0-27,,,,,,,,,,,,,
122,1991,1991-12-22,16,31.062,RAI,,KAN,L 21-27,,,,,,,,,,,,,
123,1992,1992-09-06,1,31.321,RAI,@,DEN,L 13-17,,,,,,0.0%,,,,,,,
124,1992,1992-09-13,2,31.328,RAI,@,CIN,L 21-24,,,,,,0.0%,,,,,,,
125,1992,1992-09-20,3,31.335,RAI,,CLE,L 16-28,,,,,,0.0%,,,,,,,
126,1992,1992-09-28,4,31.343,RAI,@,KAN,L 7-27,,,,,,0.0%,,,,,,,
127,1992,1992-10-04,5,31.349,RAI,,NYG,W 13-10,,,,,,0.0%,,,,,,,
128,1992,1992-10-11,6,31.356,RAI,,BUF,W 20-3,,,,,,0.0%,,,,,,,
129,1992,1992-10-18,7,31.363,RAI,@,SEA,W 19-0,,,,,,0.0%,,,,,,,
130,1992,1992-10-25,8,32.004,RAI,,DAL,L 13-28,,,,,,0.0%,,,,,,,
131,1992,1992-11-08,9,32.018,RAI,@,PHI,L 10-31,,,,,,0.0%,,,,,,,
132,1992,1992-11-15,10,32.025,RAI,,SEA,W 20-3,,,,,,0.0%,,,,,,,
133,1992,1992-11-22,11,32.032,RAI,,DEN,W 24-0,,,,,,0.0%,,,,,,,
134,1992,1992-11-29,12,32.039,RAI,@,SDG,L 3-27,,,,,,0.0%,,,,,,,
135,1992,1992-12-06,13,32.046,RAI,,KAN,W 28-7,,,,,,0.0%,,,,,,,
136,1992,1992-12-14,14,32.054,RAI,@,MIA,L 7-20,,,,,,0.0%,,,,,,,
137,1992,1992-12-20,15,32.060,RAI,,SDG,L 14-36,,,,,,0.0%,,,,,,,
138,1993,1993-09-05,1,32.319,RAI,,MIN,W 24-7,,,,,,0.0%,,,,,,,
139,1993,1993-09-12,2,32.326,RAI,@,SEA,W 17-13,,,,,,0.0%,,,,,,,
140,1993,1993-10-03,4,32.347,RAI,@,KAN,L 9-24,,,,,,0.0%,,,,,,,
141,1993,1993-10-17,6,32.361,DAL,,SFO,W 26-17,,,,,,0.0%,,,,,,,
142,1993,1993-10-31,7,33.010,DAL,@,PHI,W 23-10,,,,,,0.0%,,,,,,,
143,1993,1993-11-07,8,33.017,DAL,,NYG,W 31-9,,,,,,0.0%,,,,,,,
144,1993,1993-11-14,9,33.024,DAL,,PHO,W 20-15,,,,,,0.0%,,,,,,,
145,1993,1993-11-21,10,33.031,DAL,@,ATL,L 14-27,,,,,,0.0%,,,,,,,
146,1993,1993-11-25,11,33.035,DAL,,MIA,L 14-16,,,,,,0.0%,,,,,,,
147,1993,1993-12-06,12,33.046,DAL,,PHI,W 23-17,,,,,,0.0%,,,,,,,
148,1993,1993-12-12,13,33.052,DAL,@,MIN,W 37-20,,,,,,0.0%,,,,,,,
149,1993,1993-12-18,14,33.058,DAL,@,NYJ,W 28-7,,,,,,0.0%,,,,,,,
150,1993,1993-12-26,15,33.066,DAL,,WAS,W 38-3,,,,,,0.0%,,,,,,,
151,1993,1994-01-02,16,33.073,DAL,@,NYG,W 16-13,,,,,,0.0%,,,,,,,
