ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt
1,2012,2012-12-23,15,23.052,MIA,,BUF,W 24-10,,,,,,,0.0%,
2,2012,2012-12-30,16,23.059,MIA,@,NWE,L 0-28,,,,,,,0.0%,
3,2013,2013-09-08,1,23.311,MIA,@,CLE,W 23-10,*,,,,,,0.0%,
4,2013,2013-09-15,2,23.318,MIA,@,IND,W 24-20,,,,,,,0.0%,
5,2013,2013-09-22,3,23.325,MIA,,ATL,W 27-23,,1,1,8,8.00,0,100.0%,8.00
6,2013,2013-09-30,4,23.333,MIA,@,NOR,L 17-38,,,,,,,0.0%,
7,2013,2013-10-06,5,23.339,MIA,,BAL,L 23-26,,1,0,0,,0,0.0%,0.00
8,2013,2013-10-20,6,23.353,MIA,,BUF,L 21-23,*,,,,,,0.0%,
9,2013,2013-10-27,7,23.360,MIA,@,NWE,L 17-27,,2,1,11,11.00,0,50.0%,5.50
10,2013,2013-10-31,8,23.364,MIA,,CIN,W 22-20,*,1,1,13,13.00,0,100.0%,13.00
11,2013,2013-11-11,9,24.010,MIA,@,TAM,L 19-22,,2,1,7,7.00,0,50.0%,3.50
12,2013,2013-11-17,10,24.016,MIA,,SDG,W 20-16,*,,,,,,0.0%,
13,2013,2013-11-24,11,24.023,MIA,,CAR,L 16-20,,1,1,5,5.00,0,100.0%,5.00
14,2013,2013-12-01,12,24.030,MIA,@,NYJ,W 23-3,,,,,,,0.0%,
15,2013,2013-12-08,13,24.037,MIA,@,PIT,W 34-28,,,,,,,0.0%,
16,2013,2013-12-15,14,24.044,MIA,,NWE,W 24-20,,3,2,25,12.50,0,66.7%,8.33
17,2013,2013-12-22,15,24.051,MIA,@,BUF,L 0-19,,,,,,,0.0%,
18,2013,2013-12-29,16,24.058,MIA,,NYJ,L 7-20,*,,,,,,0.0%,
