ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,all_td,scoring,sacks,tackles_solo,tackles_assists
1,2010,2010-09-26,3,23.102,SDG,@,SEA,L 20-27,,,,,,
2,2011,2011-09-11,1,24.087,SDG,,MIN,W 24-17,,0,0,0.0,0,0
3,2011,2011-09-18,2,24.094,SDG,@,NWE,L 21-35,,0,0,0.0,0,0
4,2011,2011-09-25,3,24.101,SDG,,KAN,W 20-17,,,,,,
5,2011,2011-10-02,4,24.108,SDG,,MIA,W 26-16,,0,0,0.0,0,0
6,2011,2011-10-09,5,24.115,SDG,@,DEN,W 29-24,,,,,,
7,2011,2011-10-23,6,24.129,SDG,@,NYJ,L 21-27,,,,,,
8,2011,2011-11-06,8,24.143,SDG,,GNB,L 38-45,,0,0,0.0,0,1
9,2011,2011-11-10,9,24.147,SDG,,OAK,L 17-24,,0,0,0.0,0,0
10,2011,2011-11-20,10,24.157,SDG,@,CHI,L 20-31,,0,0,0.0,0,0
11,2011,2011-11-27,11,24.164,SDG,,DEN,L 13-16,,0,0,0.0,0,1
12,2011,2011-12-05,12,24.172,SDG,@,JAX,W 38-14,,,,,,
13,2011,2011-12-18,14,24.185,SDG,,BAL,W 34-14,,,,,,
14,2011,2011-12-24,15,24.191,SDG,@,DET,L 10-38,,0,0,0.0,0,1
15,2011,2012-01-01,16,24.199,SDG,@,OAK,W 38-26,,,,,,
16,2012,2012-09-10,1,25.086,SDG,@,OAK,W 22-14,,0,0,0.0,0,0
17,2012,2012-09-16,2,25.092,SDG,,TEN,W 38-10,,0,0,0.0,0,0
18,2012,2012-09-23,3,25.099,SDG,,ATL,L 3-27,,,,,,
19,2012,2012-09-30,4,25.106,SDG,@,KAN,W 37-20,,0,0,0.0,0,0
20,2012,2012-10-07,5,25.113,SDG,@,NOR,L 24-31,,0,0,0.0,0,0
21,2012,2012-10-15,6,25.121,SDG,,DEN,L 24-35,,0,0,0.0,0,0
22,2012,2012-10-28,7,25.134,SDG,@,CLE,L 6-7,,,,,,
23,2012,2012-11-01,8,25.138,SDG,,KAN,W 31-13,,0,0,0.0,0,0
24,2012,2012-11-11,9,25.148,SDG,@,TAM,L 24-34,,,,,,
25,2012,2012-11-18,10,25.155,SDG,@,DEN,L 23-30,,0,0,0.0,0,0
26,2012,2012-11-25,11,25.162,SDG,,BAL,L 13-16,,0,0,0.0,0,0
27,2012,2012-12-09,13,25.176,SDG,@,PIT,W 34-24,,,,,,
28,2013,2013-09-09,1,26.085,SDG,,HOU,L 28-31,,,,,,
29,2013,2013-09-15,2,26.091,SDG,@,PHI,W 33-30,,0,0,0.0,0,0
30,2013,2013-09-22,3,26.098,SDG,@,TEN,L 17-20,,0,0,0.0,1,0
31,2013,2013-09-29,4,26.105,SDG,,DAL,W 30-21,,0,0,0.0,0,1
32,2013,2013-10-06,5,26.112,SDG,@,OAK,L 17-27,,0,0,0.0,1,0
33,2013,2013-10-14,6,26.120,SDG,,IND,W 19-9,,0,0,0.0,1,0
34,2013,2013-10-20,7,26.126,SDG,@,JAX,W 24-6,,,,,,
35,2013,2013-11-03,8,26.140,SDG,@,WAS,L 24-30,,0,0,0.0,3,2
36,2013,2013-11-10,9,26.147,SDG,,DEN,L 20-28,,0,0,0.0,2,0
37,2013,2013-11-17,10,26.154,SDG,@,MIA,L 16-20,,,,,,
38,2013,2013-11-24,11,26.161,SDG,@,KAN,W 41-38,,0,0,0.0,1,0
39,2013,2013-12-01,12,26.168,SDG,,CIN,L 10-17,,,,,,
40,2013,2013-12-08,13,26.175,SDG,,NYG,W 37-14,,0,0,0.0,2,0
41,2013,2013-12-12,14,26.179,SDG,@,DEN,W 27-20,,0,0,0.0,1,0
42,2013,2013-12-22,15,26.189,SDG,,OAK,W 26-13,,0,0,0.0,2,2
43,2013,2013-12-29,16,26.196,SDG,,KAN,W 27-24,,0,0,0.0,3,1
44,2014,2014-09-08,1,27.084,SDG,@,ARI,L 17-18,,,,,,
45,2014,2014-09-14,2,27.090,SDG,,SEA,W 30-21,,0,0,0.0,2,0
46,2014,2014-09-21,3,27.097,SDG,@,BUF,W 22-10,,0,0,0.0,1,1
47,2014,2014-09-28,4,27.104,SDG,,JAX,W 33-14,,,,,,
48,2014,2014-10-05,5,27.111,SDG,,NYJ,W 31-0,,,,,,
49,2014,2014-10-12,6,27.118,SDG,@,OAK,W 31-28,,0,0,0.0,1,3
50,2014,2014-10-19,7,27.125,SDG,,KAN,L 20-23,,,,,,
51,2014,2014-10-23,8,27.129,SDG,@,DEN,L 21-35,,,,,,
52,2014,2014-11-02,9,27.139,SDG,@,MIA,L 0-37,,0,0,0.0,1,1
53,2014,2014-11-16,10,27.153,SDG,,OAK,W 13-6,,0,0,0.0,3,1
54,2014,2014-11-23,11,27.160,SDG,,STL,W 27-24,,0,0,0.0,2,1
55,2014,2014-11-30,12,27.167,SDG,@,BAL,W 34-33,,0,0,0.0,4,0
56,2014,2014-12-07,13,27.174,SDG,,NWE,L 14-23,,0,6,0.0,3,0
57,2014,2014-12-14,14,27.181,SDG,,DEN,L 10-22,,,,,,
58,2014,2014-12-20,15,27.187,SDG,@,SFO,W 38-35,,,,,,
59,2014,2014-12-28,16,27.195,SDG,@,KAN,L 7-19,,0,0,0.0,1,2
60,2015,2015-09-13,1,28.089,SDG,,DET,W 33-28,,0,0,0.0,0,0
61,2015,2015-09-20,2,28.096,SDG,@,CIN,L 19-24,,0,0,0.0,0,0
62,2015,2015-09-27,3,28.103,SDG,@,MIN,L 14-31,,0,0,0.0,0,0
63,2015,2015-10-04,4,28.110,SDG,,CLE,W 30-27,,0,0,0.0,0,0
64,2015,2015-10-12,5,28.118,SDG,,PIT,L 20-24,,0,0,1.0,1,0
65,2015,2015-10-18,6,28.124,SDG,@,GNB,L 20-27,,0,0,0.0,0,1
66,2015,2015-10-25,7,28.131,SDG,,OAK,L 29-37,,0,0,0.0,0,0
67,2015,2015-11-01,8,28.138,SDG,@,BAL,L 26-29,,0,0,0.0,0,0
68,2015,2015-11-22,10,28.159,SDG,,KAN,L 3-33,,0,0,0.0,0,0
69,2015,2015-11-29,11,28.166,SDG,@,JAX,W 31-25,,0,0,0.0,0,0
70,2015,2015-12-06,12,28.173,SDG,,DEN,L 3-17,,0,0,0.0,0,0
71,2015,2015-12-13,13,28.180,SDG,@,KAN,L 3-10,,0,0,0.0,0,0
72,2015,2015-12-20,14,28.187,SDG,,MIA,W 30-14,,0,0,0.0,1,0
73,2015,2015-12-24,15,28.191,SDG,@,OAK,L 20-23,,0,0,0.0,0,1
74,2016,2016-09-11,1,29.087,SDG,@,KAN,L 27-33,,0,0,0.0,0,0
75,2016,2016-09-18,2,29.094,SDG,,JAX,W 38-14,,0,0,0.0,0,0
76,2016,2016-09-25,3,29.101,SDG,@,IND,L 22-26,,0,0,0.0,0,0
77,2016,2016-10-02,4,29.108,SDG,,NOR,L 34-35,,0,0,0.0,0,0
78,2016,2016-10-09,5,29.115,SDG,@,OAK,L 31-34,,0,0,0.0,0,0
79,2016,2016-10-13,6,29.119,SDG,,DEN,W 21-13,,0,0,0.0,0,0
80,2016,2016-10-23,7,29.129,SDG,@,ATL,W 33-30,,0,0,0.0,0,0
81,2016,2016-10-30,8,29.136,SDG,@,DEN,L 19-27,,0,0,0.0,0,0
82,2016,2016-11-06,9,29.143,SDG,,TEN,W 43-35,,0,0,0.0,1,0
83,2016,2016-11-13,10,29.150,SDG,,MIA,L 24-31,,0,0,0.0,2,0
84,2016,2016-11-27,11,29.164,SDG,@,HOU,W 21-13,,0,0,0.0,0,0
85,2016,2016-12-04,12,29.171,SDG,,TAM,L 21-28,,0,0,0.0,0,0
86,2016,2016-12-11,13,29.178,SDG,@,CAR,L 16-28,,0,0,0.0,0,0
87,2016,2016-12-18,14,29.185,SDG,,OAK,L 16-19,,0,0,0.0,0,0
88,2016,2016-12-24,15,29.191,SDG,@,CLE,L 17-20,,0,0,0.0,1,0
89,2016,2017-01-01,16,29.199,SDG,,KAN,L 27-37,,0,0,0.0,0,0
