ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,rush_att,rush_yds,rush_yds_per_att,rush_td,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,all_td,scoring
1,2014,2014-10-05,5,21.273,KAN,@,SFO,L 17-22,,0,0,0,,0,0.0%,,1,17,17.00,1,0,0,,0,2,38,19.00,0,1,6
2,2014,2014-10-19,6,21.287,KAN,@,SDG,W 23-20,*,2,2,21,10.50,0,100.0%,10.50,1,5,5.00,0,2,36,18.00,0,3,47,15.67,0,0,0
3,2014,2014-10-26,7,21.294,KAN,,STL,W 34-7,,5,4,14,3.50,0,80.0%,2.80,0,0,,0,0,0,,0,4,27,6.75,0,0,0
4,2014,2014-11-02,8,21.301,KAN,,NYJ,W 24-10,,1,1,5,5.00,0,100.0%,5.00,1,26,26.00,0,1,78,78.00,0,2,35,17.50,0,0,0
5,2014,2014-11-09,9,21.308,KAN,@,BUF,W 17-13,,0,0,0,,0,0.0%,,1,3,3.00,0,1,38,38.00,0,3,8,2.67,0,0,0
6,2014,2014-11-16,10,21.315,KAN,,SEA,W 24-20,,1,1,10,10.00,0,100.0%,10.00,3,22,7.33,0,1,32,32.00,0,1,9,9.00,0,0,0
7,2014,2014-11-20,11,21.319,KAN,@,OAK,L 20-24,*,6,2,15,7.50,0,33.3%,2.50,1,9,9.00,0,1,48,48.00,0,2,3,1.50,0,0,0
8,2014,2014-11-30,12,21.329,KAN,,DEN,L 16-29,*,2,2,5,2.50,0,100.0%,2.50,0,0,,0,4,89,22.25,0,0,0,,0,0,0
9,2014,2014-12-07,13,21.336,KAN,@,ARI,L 14-17,,1,1,6,6.00,0,100.0%,6.00,2,5,2.50,0,2,62,31.00,0,3,4,1.33,0,0,0
10,2014,2014-12-14,14,21.343,KAN,,OAK,W 31-13,,3,1,5,5.00,0,33.3%,1.67,2,14,7.00,0,0,0,,0,8,156,19.50,1,0,6
11,2014,2014-12-21,15,21.350,KAN,@,PIT,L 12-20,,7,6,47,7.83,0,85.7%,6.71,1,-6,-6.00,0,2,45,22.50,0,2,9,4.50,0,0,0
12,2014,2014-12-28,16,21.357,KAN,,SDG,W 19-7,,3,3,28,9.33,0,100.0%,9.33,1,18,18.00,0,0,0,,0,4,69,17.25,0,0,0
13,2015,2015-09-13,1,22.251,KAN,@,HOU,W 27-20,,2,1,2,2.00,0,50.0%,1.00,1,9,9.00,0,0,0,,0,5,81,16.20,0,0,0
14,2015,2015-09-17,2,22.255,KAN,,DEN,L 24-31,,4,2,20,10.00,0,50.0%,5.00,0,0,,0,0,0,,0,4,15,3.75,0,0,0
15,2015,2015-09-28,3,22.266,KAN,@,GNB,L 28-38,,2,2,12,6.00,0,100.0%,6.00,1,-7,-7.00,0,1,19,19.00,0,5,18,3.60,0,0,0
