ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rush_att,rush_yds,rush_yds_per_att,rush_td,rec,rec_yds,rec_yds_per_rec,rec_td
1,1954,1954-09-26,1,23.276,WAS,@,SFO,L 7-41,4,7,1.75,0,0,0,,0
2,1954,1954-10-02,2,23.282,WAS,@,PIT,L 7-37,3,7,2.33,0,0,0,,0
3,1954,1954-10-10,3,23.290,WAS,,NYG,L 21-51,1,2,2.00,0,0,0,,0
4,1954,1954-10-24,5,23.304,WAS,@,NYG,L 7-24,5,3,0.60,0,0,0,,0
5,1954,1954-10-31,6,23.311,WAS,,BAL,W 24-21,16,34,2.13,2,0,0,,0
6,1954,1954-11-07,7,23.318,WAS,@,CLE,L 3-62,7,11,1.57,0,1,6,6.00,0
7,1954,1954-11-14,8,23.325,WAS,,PIT,W 17-14,19,70,3.68,0,3,69,23.00,0
8,1954,1954-11-21,9,23.332,WAS,@,CRD,L 16-38,8,37,4.63,0,0,0,,0
9,1954,1954-11-28,10,23.339,WAS,@,PHI,L 33-41,5,5,1.00,0,0,0,,0
10,1955,1955-09-25,1,24.275,WAS,@,CLE,W 27-17,12,45,3.75,0,0,0,,0
11,1955,1955-10-01,2,24.281,WAS,@,PHI,W 31-30,11,42,3.82,0,0,0,,0
12,1955,1955-10-09,3,24.289,WAS,,CRD,L 10-24,7,10,1.43,0,1,15,15.00,0
13,1955,1955-10-16,4,24.296,WAS,,CLE,L 14-24,5,26,5.20,1,0,0,,0
14,1955,1955-10-23,5,24.303,WAS,@,BAL,W 14-13,13,46,3.54,0,2,22,11.00,0
15,1955,1955-10-30,6,24.310,WAS,@,NYG,L 7-35,11,70,6.36,0,1,14,14.00,0
16,1955,1955-11-06,7,24.317,WAS,,PHI,W 34-21,2,21,10.50,0,0,0,,0
17,1955,1955-11-27,10,24.338,WAS,@,PIT,W 23-14,2,16,8.00,0,0,0,,0
18,1955,1955-12-04,11,24.345,WAS,,NYG,L 20-27,8,11,1.38,0,4,25,6.25,0
19,1955,1955-12-11,12,24.352,WAS,,PIT,W 28-17,6,13,2.17,0,1,5,5.00,1
20,1956,1956-09-30,1,25.281,WAS,@,PIT,L 13-30,7,14,2.00,0,3,7,2.33,0
21,1956,1956-10-06,2,25.287,WAS,@,PHI,L 9-13,22,37,1.68,1,2,17,8.50,0
22,1956,1956-10-14,3,25.295,WAS,,CRD,L 3-31,9,19,2.11,0,1,4,4.00,0
23,1956,1956-10-21,4,25.302,WAS,,CLE,W 20-9,9,34,3.78,0,0,0,,0
24,1956,1956-10-28,5,25.309,WAS,@,CRD,W 17-14,16,59,3.69,0,0,0,,0
