ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,rush_att,rush_yds,rush_yds_per_att,rush_td,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,two_pt_md,all_td,scoring
1,2015,2015-09-13,1,22.153,SDG,,DET,W 33-28,*,14,51,3.64,0,3,3,16,5.33,0,100.0%,5.33,,0,0
2,2015,2015-09-20,2,22.160,SDG,@,CIN,L 19-24,*,16,88,5.50,0,1,1,10,10.00,0,100.0%,10.00,,0,0
3,2015,2015-09-27,3,22.167,SDG,@,MIN,L 14-31,*,14,51,3.64,0,1,0,0,,0,0.0%,0.00,,0,0
4,2015,2015-10-04,4,22.174,SDG,,CLE,W 30-27,*,12,38,3.17,0,2,2,8,4.00,0,100.0%,4.00,,0,0
5,2015,2015-10-12,5,22.182,SDG,,PIT,L 20-24,*,15,42,2.80,0,9,7,52,7.43,0,77.8%,5.78,,0,0
6,2015,2015-10-18,6,22.188,SDG,@,GNB,L 20-27,*,7,29,4.14,0,0,0,0,,0,0.0%,,,0,0
7,2015,2015-10-25,7,22.195,SDG,,OAK,L 29-37,,7,29,4.14,0,0,0,0,,0,0.0%,,,0,0
8,2015,2015-11-01,8,22.202,SDG,@,BAL,L 26-29,*,18,54,3.00,0,6,5,7,1.40,0,83.3%,1.17,,0,0
9,2015,2015-11-09,9,22.210,SDG,,CHI,L 19-22,*,11,31,2.82,0,3,3,25,8.33,0,100.0%,8.33,,0,0
10,2015,2015-11-22,10,22.223,SDG,,KAN,L 3-33,*,15,37,2.47,0,1,1,12,12.00,0,100.0%,12.00,,0,0
11,2015,2015-11-29,11,22.230,SDG,@,JAX,W 31-25,*,14,60,4.29,0,5,5,20,4.00,0,100.0%,4.00,,0,0
12,2015,2015-12-06,12,22.237,SDG,,DEN,L 3-17,*,12,55,4.58,0,1,1,8,8.00,0,100.0%,8.00,,0,0
13,2015,2015-12-13,13,22.244,SDG,@,KAN,L 3-10,*,14,35,2.50,0,4,4,28,7.00,0,100.0%,7.00,,0,0
14,2015,2015-12-20,14,22.251,SDG,,MIA,W 30-14,*,15,41,2.73,0,1,1,6,6.00,0,100.0%,6.00,,0,0
15,2016,2016-09-11,1,23.151,SDG,@,KAN,L 27-33,,14,57,4.07,2,0,0,0,,0,0.0%,,,2,12
16,2016,2016-09-18,2,23.158,SDG,,JAX,W 38-14,*,24,102,4.25,1,3,3,18,6.00,0,100.0%,6.00,,1,6
17,2016,2016-09-25,3,23.165,SDG,@,IND,L 22-26,*,16,35,2.19,1,7,4,43,10.75,0,57.1%,6.14,,1,6
18,2016,2016-10-02,4,23.172,SDG,,NOR,L 34-35,*,19,36,1.89,2,7,6,43,7.17,0,85.7%,6.14,,2,12
19,2016,2016-10-09,5,23.179,SDG,@,OAK,L 31-34,*,16,69,4.31,0,1,1,18,18.00,1,100.0%,18.00,,1,6
20,2016,2016-10-13,6,23.183,SDG,,DEN,W 21-13,,27,94,3.48,0,2,0,0,,0,0.0%,0.00,,0,0
21,2016,2016-10-23,7,23.193,SDG,@,ATL,W 33-30,*,22,68,3.09,2,7,6,53,8.83,1,85.7%,7.57,,3,18
