ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rush_att,rush_yds,rush_yds_per_att,rush_td,rec,rec_yds,rec_yds_per_rec,rec_td
1,1970,1970-09-18,1,25.068,RAM,,STL,W 34-13,,,,,,,,
2,1970,1970-09-27,2,25.077,RAM,@,BUF,W 19-0,,,,,,,,
3,1970,1970-10-04,3,25.084,RAM,,SDG,W 37-10,8,46,5.75,0,1,-5,-5.00,0
4,1970,1970-10-11,4,25.091,RAM,,SFO,L 6-20,,,,,,,,
5,1970,1970-11-22,10,25.133,RAM,@,ATL,W 17-7,,,,,,,,
6,1970,1970-11-29,11,25.140,RAM,@,SFO,W 30-13,,,,,,,,
7,1970,1970-12-06,12,25.147,RAM,,NOR,W 34-16,1,0,0.00,0,0,0,,0
8,1970,1970-12-14,13,25.155,RAM,,DET,L 23-28,,,,,,,,
9,1970,1970-12-20,14,25.161,RAM,@,NYG,W 31-3,1,4,4.00,0,0,0,,0
10,1971,1971-12-19,14,26.160,WAS,,CLE,L 13-20,,,,,,,,
11,1972,1972-12-03,12,27.144,WAS,@,PHI,W 23-7,,,,,,,,
