ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,sacks,tackles_solo,tackles_assists,punt,punt_yds,punt_yds_per_punt,punt_blocked
1,2011,2011-09-11,1,23.178,DET,@,TAM,W 27-20,,0.0,0,0,5,241,48.20,0
2,2011,2011-09-18,2,23.185,DET,,KAN,W 48-3,,0.0,0,0,5,206,41.20,0
3,2011,2011-09-25,3,23.192,DET,@,MIN,W 26-23,,0.0,0,0,7,325,46.43,0
4,2011,2011-10-02,4,23.199,DET,@,DAL,W 34-30,,0.0,0,0,6,262,43.67,0
5,2011,2011-10-10,5,23.207,DET,,CHI,W 24-13,,0.0,0,0,5,162,32.40,0
6,2011,2011-10-16,6,23.213,DET,,SFO,L 19-25,,0.0,0,1,8,350,43.75,0
7,2011,2011-10-23,7,23.220,DET,,ATL,L 16-23,,0.0,0,0,6,263,43.83,0
8,2011,2011-10-30,8,23.227,DET,@,DEN,W 45-10,,0.0,0,0,7,284,40.57,0
