ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,safety_md,all_td,scoring,sacks,tackles_solo,tackles_assists,def_int,def_int_yds,def_int_td
1,2008,2008-09-07,1,23.044,BAL,,CIN,W 17-10,,,,,,,,,,
2,2008,2008-09-21,2,23.058,BAL,,CLE,W 28-10,,,,,,,,,,
3,2008,2008-09-29,3,23.066,BAL,@,PIT,L 20-23,,,,,,,,,,
4,2008,2008-10-05,4,23.072,BAL,,TEN,L 10-13,,,,,,,,,,
5,2008,2008-10-12,5,23.079,BAL,@,IND,L 3-31,,,,,,,,,,
6,2008,2008-10-19,6,23.086,BAL,@,MIA,W 27-13,,,,,,,,,,
7,2008,2008-10-26,7,23.093,BAL,,OAK,W 29-10,,1,0,2,1.0,2,0,0,0,0
8,2008,2008-11-02,8,23.100,BAL,@,CLE,W 37-27,,,0,0,0.0,0,0,0,0,0
9,2008,2008-11-09,9,23.107,BAL,@,HOU,W 41-13,,,0,0,0.5,0,3,0,0,0
10,2008,2008-11-16,10,23.114,BAL,@,NYG,L 10-30,,,0,0,0.0,0,1,0,0,0
11,2008,2008-11-23,11,23.121,BAL,,PHI,W 36-7,,1,0,2,0.0,0,0,0,0,0
12,2008,2008-11-30,12,23.128,BAL,@,CIN,W 34-3,,,0,0,0.0,0,0,0,0,0
13,2008,2008-12-07,13,23.135,BAL,,WAS,W 24-10,,,0,0,0.0,0,0,0,0,0
14,2008,2008-12-14,14,23.142,BAL,,PIT,L 9-13,,,,,,,,,,
15,2008,2008-12-20,15,23.148,BAL,@,DAL,W 33-24,,,0,0,1.0,2,0,0,0,0
16,2008,2008-12-28,16,23.156,BAL,,JAX,W 27-7,,,0,0,0.0,1,0,0,0,0
17,2009,2009-09-13,1,24.050,BAL,,KAN,W 38-24,,,0,0,0.0,0,1,0,0,0
18,2009,2009-09-20,2,24.057,BAL,@,SDG,W 31-26,,,,,,,,,,
19,2009,2009-09-27,3,24.064,BAL,,CLE,W 34-3,,,0,0,0.0,2,1,0,0,0
20,2009,2009-10-04,4,24.071,BAL,@,NWE,L 21-27,,,0,0,0.0,0,2,0,0,0
