ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,rush_att,rush_yds,rush_yds_per_att,rush_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,all_td,scoring,sacks,tackles_solo,tackles_assists
1,2008,2008-09-07,1,24.339,NYJ,@,MIA,W 20-14,,3,2,37,18.50,1,66.7%,12.33,0,0,,0,0,0,,0,1,6,0.0,0,0
2,2008,2008-09-14,2,24.346,NYJ,,NWE,L 10-19,,4,4,43,10.75,1,100.0%,10.75,0,0,,0,0,0,,0,1,6,0.0,0,0
3,2008,2008-09-22,3,24.354,NYJ,@,SDG,L 29-48,,8,6,42,7.00,1,75.0%,5.25,0,0,,0,0,0,,0,1,6,0.0,0,0
4,2008,2008-09-28,4,24.360,NYJ,,ARI,W 56-35,*,2,2,12,6.00,0,100.0%,6.00,0,0,,0,0,0,,0,0,0,0.0,0,0
5,2008,2008-10-12,5,25.008,NYJ,,CIN,W 26-14,,1,0,0,,0,0.0%,0.00,1,1,1.00,0,0,0,,0,0,0,0.0,0,0
6,2008,2008-10-19,6,25.015,NYJ,@,OAK,L 13-16,*,2,2,48,24.00,0,100.0%,24.00,0,0,,0,0,0,,0,0,0,0.0,0,0
7,2008,2008-10-26,7,25.022,NYJ,,KAN,W 28-24,,6,3,43,14.33,0,50.0%,7.17,0,0,,0,0,0,,0,0,0,0.0,0,0
8,2008,2008-11-02,8,25.029,NYJ,@,BUF,W 26-17,,,,,,,0.0%,,,,,,,,,,,,,,
9,2008,2008-11-09,9,25.036,NYJ,,STL,W 47-3,,2,,,,,0.0%,,,,,,,,,,,,,,
10,2008,2008-11-13,10,25.040,NYJ,@,NWE,W 34-31,,1,1,3,3.00,0,100.0%,3.00,0,0,,0,0,0,,0,0,0,0.0,0,0
11,2008,2008-11-23,11,25.050,NYJ,@,TEN,W 34-13,,1,1,8,8.00,0,100.0%,8.00,0,0,,0,0,0,,0,0,0,0.0,0,0
12,2008,2008-11-30,12,25.057,NYJ,,DEN,L 17-34,,4,3,30,10.00,0,75.0%,7.50,0,0,,0,0,0,,0,0,0,0.0,0,0
13,2008,2008-12-07,13,25.064,NYJ,@,SFO,L 14-24,,5,4,43,10.75,0,80.0%,8.60,0,0,,0,0,0,,0,0,0,0.0,0,0
14,2008,2008-12-14,14,25.071,NYJ,,BUF,W 31-27,,1,,,,,0.0%,,,,,,,,,,,,,,
15,2008,2008-12-28,16,25.085,NYJ,,MIA,L 17-24,,5,4,50,12.50,0,80.0%,10.00,0,0,,0,0,0,,0,0,0,0.0,0,0
16,2009,2009-09-13,1,25.344,NYJ,@,HOU,W 24-7,*,8,4,64,16.00,1,50.0%,8.00,0,0,,0,0,0,,0,1,6,0.0,0,0
17,2009,2009-09-20,2,25.351,NYJ,,NWE,W 16-9,*,7,4,37,9.25,0,57.1%,5.29,0,0,,0,0,0,,0,0,0,0.0,0,0
18,2009,2009-09-27,3,25.358,NYJ,,TEN,W 24-17,*,6,2,11,5.50,0,33.3%,1.83,0,0,,0,0,0,,0,0,0,0.0,0,0
