ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,sacks,def_int,def_int_yds,def_int_td
1,1997,1997-08-31,1,21.154,NWE,,SDG,W 41-7,,0,0,,0,,,,,,,,
2,1997,1997-09-07,2,21.161,NWE,@,IND,W 31-6,,0,0,,0,,,,,,,,
3,1997,1997-09-14,3,21.168,NWE,,NYJ,W 27-24,,2,84,42.00,0,0,0,,0,0.0,0,0,0
4,1997,1997-09-21,4,21.175,NWE,,CHI,W 31-3,,0,0,,0,,,,,,,,
5,1997,1997-10-06,5,21.190,NWE,@,DEN,L 13-34,,0,0,,0,,,,,,,,
6,1997,1997-10-12,6,21.196,NWE,,BUF,W 33-6,,0,0,,0,,,,,,,,
7,1997,1997-10-19,7,21.203,NWE,@,NYJ,L 19-24,,2,31,15.50,0,0,0,,0,0.0,0,0,0
8,1997,1997-10-27,8,21.211,NWE,,GNB,L 10-28,,0,0,,0,,,,,,,,
9,1997,1997-11-02,9,21.217,NWE,@,MIN,L 18-23,,0,0,,0,,,,,,,,
10,1997,1997-11-09,10,21.224,NWE,@,BUF,W 31-10,,0,0,,0,,,,,,,,
11,1997,1997-11-16,11,21.231,NWE,@,TAM,L 7-27,,0,0,,0,0,0,,0,1.0,0,0,0
12,1997,1997-11-23,12,21.238,NWE,,MIA,W 27-24,,0,0,,0,,,,,,,,
13,1997,1997-11-30,13,21.245,NWE,,IND,W 20-17,,0,0,,0,,,,,,,,
14,1997,1997-12-07,14,21.252,NWE,@,JAX,W 26-20,,0,0,,0,,,,,,,,
15,1997,1997-12-13,15,21.258,NWE,,PIT,L 21-24,,0,0,,0,,,,,,,,
16,1997,1997-12-22,16,21.267,NWE,@,MIA,W 14-12,,0,0,,0,0,0,,0,1.0,0,0,0
17,1998,1998-09-07,1,22.161,NWE,@,DEN,L 21-27,,,,,,,,,,,,,
18,1998,1998-09-13,2,22.167,NWE,,IND,W 29-6,,0,0,,0,0,0,,0,0.0,1,12,0
19,1998,1998-09-20,3,22.174,NWE,,TEN,W 27-16,,,,,,,,,,,,,
20,1998,1998-10-04,4,22.188,NWE,@,NOR,W 30-27,,3,48,16.00,0,0,0,,0,1.0,0,0,0
21,1998,1998-10-11,5,22.195,NWE,,KAN,W 40-10,,,,,,,,,,,,,
22,1998,1998-10-19,6,22.203,NWE,,NYJ,L 14-24,,2,55,27.50,0,0,0,,0,0.0,0,0,0
23,1998,1998-10-25,7,22.209,NWE,@,MIA,L 9-12,,0,0,,0,3,65,21.67,0,0.0,0,0,0
