ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,xpm,xpa,xp_perc,fgm,fga,fg_perc,all_td,scoring,def_int,def_int_yds,def_int_td
1,1961,1961-09-10,1,23.123,SDG,@,DTX,W 26-10,1,2,2.00,0,2,3,66.7,2,4,50.0,0,8,0,0,0
2,1961,1961-09-17,2,23.130,SDG,,OAK,W 44-0,0,0,,0,5,6,83.3,1,3,33.3,0,8,1,4,0
3,1961,1961-09-24,3,23.137,SDG,,HOU,W 34-24,0,0,,0,4,4,100.0,2,4,50.0,0,10,0,0,0
4,1961,1961-09-30,4,23.143,SDG,@,BUF,W 19-11,0,0,,0,1,2,50.0,2,2,100.0,0,7,0,0,0
5,1961,1961-10-07,5,23.150,SDG,@,BOS,W 38-27,0,0,,0,5,5,100.0,1,3,33.3,0,8,0,0,0
6,1961,1961-10-15,6,23.158,SDG,@,NYT,W 25-10,0,0,,0,2,3,66.7,1,1,100.0,0,5,0,0,0
7,1961,1961-10-22,7,23.165,SDG,@,OAK,W 41-10,0,0,,0,5,6,83.3,,1,0.0,0,5,0,0,0
8,1961,1961-10-29,8,23.172,SDG,,DEN,W 37-0,0,0,,0,4,4,100.0,3,3,100.0,0,13,1,0,0
9,1961,1961-11-05,9,23.179,SDG,,NYT,W 48-13,0,0,,0,6,6,100.0,,1,0.0,0,6,0,0,0
10,1961,1961-11-12,10,23.186,SDG,@,DEN,W 19-16,0,0,,0,,,,,1,0.0,0,0,0,0,0
11,1961,1961-11-19,11,23.193,SDG,,DTX,W 24-14,0,0,,0,3,3,100.0,1,2,50.0,0,6,0,0,0
12,1961,1961-12-03,12,23.207,SDG,@,HOU,L 13-33,0,0,,0,1,1,100.0,,1,0.0,0,1,0,0,0
13,1961,1961-12-10,13,23.214,SDG,,BUF,W 28-10,0,0,,0,4,4,100.0,,1,0.0,0,4,0,0,0
14,1962,1962-09-07,1,24.120,SDG,@,DEN,L 21-30,0,0,,0,3,3,100.0,,1,0.0,0,3,0,0,0
15,1962,1962-09-16,2,24.129,SDG,,NYT,W 40-14,0,0,,0,4,5,80.0,2,2,100.0,0,10,0,0,0
16,1962,1962-09-23,3,24.136,SDG,,HOU,L 17-42,0,0,,0,2,2,100.0,1,1,100.0,0,5,0,0,0
17,1962,1962-09-30,4,24.143,SDG,@,OAK,W 42-33,0,0,,0,6,6,100.0,,,,0,6,1,19,0
