ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,xpm,xpa,xp_perc,fgm,fga,fg_perc,all_td,scoring,punt,punt_yds,punt_yds_per_punt,punt_blocked
1,1985,1985-09-08,1,25.116,HOU,,MIA,W 26-23,,0,0,,0,0,0,,0,,,,2,3,66.7,2,2,100.0,0,8,0,0,,0
2,1985,1985-09-15,2,25.123,HOU,@,WAS,L 13-16,,0,0,,0,0,0,,0,,,,1,1,100.0,2,4,50.0,0,7,0,0,,0
3,1985,1985-09-22,3,25.130,HOU,@,PIT,L 0-20,,,,,,,,,,,,,,,,,,,,,,,,
4,1985,1985-09-29,4,25.137,HOU,,DAL,L 10-17,,0,0,,0,0,0,,0,,,,1,1,100.0,1,2,50.0,0,4,0,0,,0
5,1985,1985-10-06,5,25.144,HOU,@,DEN,L 20-31,,0,0,,0,0,0,,0,,,,2,2,100.0,2,2,100.0,0,8,0,0,,0
6,1985,1985-10-13,6,25.151,HOU,,CLE,L 6-21,,0,0,,0,0,0,,0,,,,,,,2,2,100.0,0,6,0,0,,0
7,1985,1985-10-20,7,25.158,HOU,,CIN,W 44-27,,0,0,,0,0,0,,0,,,,5,5,100.0,3,4,75.0,0,14,0,0,,0
8,1985,1985-10-27,8,25.165,HOU,@,STL,W 20-10,,0,0,,0,0,0,,0,,,,2,2,100.0,2,2,100.0,0,8,0,0,,0
9,1985,1985-11-03,9,25.172,HOU,,KAN,W 23-20,,0,0,,0,0,0,,0,,,,2,3,66.7,1,2,50.0,0,5,0,0,,0
10,1985,1985-11-10,10,25.179,HOU,@,BUF,L 0-20,,,,,,,,,,,,,,,,,,,,,,,,
11,1985,1985-11-17,11,25.186,HOU,,PIT,L 7-30,,1,1,100.00,-7,0,0,79.2,0,0,-7.00,-7.00,1,1,100.0,,,,0,1,0,0,,0
12,1985,1985-11-24,12,25.193,HOU,,SDG,W 37-35,,0,0,,0,0,0,,0,,,,4,4,100.0,3,3,100.0,0,13,0,0,,0
13,1985,1985-12-01,13,25.200,HOU,@,CIN,L 27-45,,0,0,,0,0,0,,0,,,,3,3,100.0,2,2,100.0,0,9,0,0,,0
14,1985,1985-12-08,14,25.207,HOU,,NYG,L 14-35,,0,0,,0,0,,,0,,,,2,2,100.0,,,,0,2,,,,
15,1985,1985-12-15,15,25.214,HOU,@,CLE,L 21-28,,0,0,,0,0,0,,0,,,,3,3,100.0,,1,0.0,0,3,0,0,,0
16,1985,1985-12-22,16,25.221,HOU,@,IND,L 16-34,,0,0,,0,0,0,,0,,,,1,1,100.0,1,1,100.0,0,4,0,0,,0
17,1986,1986-09-07,1,26.115,HOU,@,GNB,W 31-3,,0,0,,0,0,0,,,,,,4,4,100.0,1,1,100.0,0,7,1,36,36.00,0
18,1986,1986-09-14,2,26.122,HOU,,CLE,L 20-23,,0,0,,0,0,0,,,,,,2,2,100.0,2,2,100.0,0,8,0,0,,0
19,1986,1986-09-21,3,26.129,HOU,@,KAN,L 13-27,,0,0,,0,0,,,,,,,1,2,50.0,,,,0,1,,,,
20,1986,1986-09-28,4,26.136,HOU,,PIT,L 16-22,,0,0,,0,0,0,,,,,,1,1,100.0,3,3,100.0,0,10,0,0,,0
21,1986,1986-10-05,5,26.143,HOU,@,DET,L 13-24,,0,0,,0,0,0,,,,,,1,1,100.0,2,3,66.7,0,7,0,0,,0
22,1986,1986-10-12,6,26.150,HOU,,CHI,L 7-20,,0,0,,0,0,0,,,,,,1,1,100.0,,1,0.0,0,1,0,0,,0
23,1986,1986-10-19,7,26.157,HOU,@,CIN,L 28-31,,0,0,,0,0,,,,,,,4,4,100.0,,,,0,4,,,,
24,1986,1986-10-26,8,26.164,HOU,,RAI,L 17-28,,0,0,,0,0,0,,,,,,2,2,100.0,1,1,100.0,0,5,0,0,,0
25,1986,1986-11-02,9,26.171,HOU,@,MIA,L 7-28,,0,0,,0,0,,,,,,,1,1,100.0,,,,0,1,,,,
26,1986,1986-11-09,10,26.178,HOU,,CIN,W 32-28,,0,0,,0,0,0,,,,,,2,2,100.0,4,4,100.0,0,14,0,0,,0
27,1986,1986-11-16,11,26.185,HOU,@,PIT,L 10-21,,0,0,,0,0,0,,,,,,1,1,100.0,1,2,50.0,0,4,0,0,,0
28,1986,1986-11-23,12,26.192,HOU,,IND,W 31-17,,0,0,,0,0,0,,,,,,4,4,100.0,1,2,50.0,0,7,0,0,,0
29,1986,1986-11-30,13,26.199,HOU,@,CLE,L 10-13,,0,0,,0,0,0,,,,,,1,1,100.0,1,2,50.0,0,4,0,0,,0
30,1986,1986-12-14,15,26.213,HOU,,MIN,W 23-10,,0,0,,0,0,0,,,,,,2,2,100.0,3,3,100.0,0,11,0,0,,0
31,1986,1986-12-21,16,26.220,HOU,,BUF,W 16-7,,0,0,,0,0,0,,,,,,1,1,100.0,3,3,100.0,0,10,0,0,,0
32,1987,1987-09-13,1,27.121,HOU,,RAM,W 20-16,,0,0,,0,0,0,,,,,,2,2,100.0,2,2,100.0,0,8,0,0,,0
33,1987,1987-09-20,2,27.128,HOU,@,BUF,L 30-34,,0,0,,0,0,0,,,,,,3,3,100.0,3,3,100.0,0,12,0,0,,0
34,1987,1987-10-18,5,27.156,HOU,,NWE,L 7-21,,0,0,,0,0,0,,,,,,1,1,100.0,,2,0.0,0,1,0,0,,0
35,1987,1987-10-25,6,27.163,HOU,,ATL,W 37-33,,0,0,,0,0,0,,,,,,4,4,100.0,3,3,100.0,0,13,0,0,,0
36,1987,1987-11-01,7,27.170,HOU,@,CIN,W 31-29,,0,0,,0,0,0,,,,,,4,4,100.0,1,1,100.0,0,7,0,0,,0
37,1987,1987-11-08,8,27.177,HOU,@,SFO,L 20-27,,0,0,,0,0,0,,,,,,2,2,100.0,2,2,100.0,0,8,0,0,,0
38,1987,1987-11-15,9,27.184,HOU,@,PIT,W 23-3,,0,0,,0,0,0,,,,,,2,2,100.0,3,3,100.0,0,11,0,0,,0
39,1987,1987-11-22,10,27.191,HOU,,CLE,L 7-40,,0,0,,0,0,0,,,,,,1,1,100.0,,1,0.0,0,1,0,0,,0
40,1987,1987-11-29,11,27.198,HOU,@,IND,L 27-51,,0,0,,0,0,0,,,,,,3,3,100.0,2,4,50.0,0,9,0,0,,0
41,1987,1987-12-06,12,27.205,HOU,,SDG,W 33-18,,0,0,,0,0,0,,,,,,3,4,75.0,2,2,100.0,0,9,0,0,,0
