ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rush_att,rush_yds,rush_yds_per_att,rush_td,rec,rec_yds,rec_yds_per_rec,rec_td,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,xpm,xpa,xp_perc,fgm,fga,fg_perc,all_td,scoring
1,1956,1956-10-21,4,22.044,DET,,SFO,W 20-17,9,26,2.89,0,2,5,2.50,0,0,0,,0,0,,,,,,,,,,,,,,,,,0,
2,1956,1956-11-11,7,22.065,DET,@,WAS,L 17-18,1,4,4.00,0,1,1,1.00,0,0,0,,0,0,,,,,,,,,,,,,,,,,0,
3,1956,1956-12-09,11,22.093,DET,,PIT,W 45-7,2,2,1.00,0,0,0,,0,0,0,,0,0,,,,,,,,,,,,,,,,,0,
4,1957,1957-09-29,1,23.022,DET,@,BAL,L 14-34,5,6,1.20,0,3,14,4.67,0,0,0,,0,0,,,,,,,,,,,,,,,,,0,
5,1957,1957-10-06,2,23.029,DET,@,GNB,W 24-14,1,7,7.00,0,1,-2,-2.00,0,0,0,,0,0,,,,,,,,,,,,,,,,,0,
6,1957,1957-10-27,5,23.050,DET,@,RAM,L 17-35,2,18,9.00,0,2,12,6.00,0,0,0,,0,0,,,,,,,,,,,,,,,,,0,
7,1957,1957-11-10,7,23.064,DET,@,PHI,W 27-16,6,11,1.83,0,0,0,,0,0,0,,0,0,,,,,,,,,,,,,,,,,0,
8,1957,1957-11-17,8,23.071,DET,,SFO,W 31-10,2,4,2.00,0,0,0,,0,0,0,,0,0,,,,,,,,,,,,,,,,,0,
9,1958,1958-10-05,2,24.028,PIT,,CLE,L 12-45,11,54,4.91,1,3,34,11.33,0,0,1,0.00,0,0,0,39.6,0,0,0.00,0.00,,,,,,,,,,,1,
10,1958,1958-10-12,3,24.035,PIT,,PHI,W 24-3,18,88,4.89,2,0,0,,0,0,0,,0,0,,,,,,,,,,,,,,,,,2,
11,1958,1958-10-19,4,24.042,PIT,@,CLE,L 10-27,14,78,5.57,0,2,39,19.50,0,1,1,100.00,64,1,0,158.3,0,0,64.00,84.00,,,,,,,,,,,0,
