ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,rush_att,rush_yds,rush_yds_per_att,rush_td,sacks,tackles_solo,tackles_assists
1,2009,2009-09-20,2,23.128,TAM,@,BUF,L 20-33,,,,,,,,,0,,,,,,,,,,
2,2009,2009-09-27,3,23.135,TAM,,NYG,L 0-24,,4,10,40.00,36,0,0,50.4,0,0,3.60,3.60,1,15,15.00,0,0.0,0,0
3,2009,2009-10-04,4,23.142,TAM,@,WAS,L 13-16,*,13,22,59.09,106,1,1,67.6,3,6,4.82,3.68,7,41,5.86,0,0.0,0,0
4,2009,2009-10-11,5,23.149,TAM,@,PHI,L 14-33,*,26,50,52.00,240,2,3,53.7,3,22,4.80,2.90,5,40,8.00,0,0.0,1,0
5,2009,2009-10-18,6,23.156,TAM,,CAR,L 21-28,*,11,17,64.71,147,0,1,67.5,4,26,8.65,6.00,8,45,5.63,0,0.0,0,0
6,2009,2009-10-25,7,23.163,TAM,,NWE,L 7-35,*,9,26,34.62,156,1,3,29.2,1,5,6.00,1.58,1,7,7.00,0,0.0,1,0
7,2010,2010-09-26,3,24.134,TAM,,PIT,L 13-38,,6,6,100.00,67,0,0,113.2,1,7,11.17,11.17,1,7,7.00,0,0.0,0,0
8,2010,2010-10-10,4,24.148,TAM,@,CIN,W 24-21,,2,2,100.00,4,0,0,79.2,0,0,2.00,2.00,0,0,,0,0.0,0,0
9,2010,2010-10-17,5,24.155,TAM,,NOR,L 6-31,,2,4,50.00,17,0,0,61.5,1,1,4.25,4.25,1,11,11.00,0,0.0,0,0
10,2010,2010-11-14,9,24.183,TAM,,CAR,W 31-16,,0,0,,0,0,0,,0,,,,1,14,14.00,0,0.0,0,0
11,2010,2010-11-21,10,24.190,TAM,@,SFO,W 21-0,,1,1,100.00,7,0,0,95.8,0,0,7.00,7.00,1,7,7.00,0,0.0,0,0
12,2010,2010-11-28,11,24.197,TAM,@,BAL,L 10-17,,,,,,,,,0,,,,,,,,,,
13,2010,2010-12-05,12,24.204,TAM,,ATL,L 24-28,,,,,,,,,0,,,,,,,,,,
14,2010,2010-12-12,13,24.211,TAM,@,WAS,W 17-16,,,,,,,,,0,,,,,,,,,,
15,2010,2010-12-19,14,24.218,TAM,,DET,L 20-23,,1,1,100.00,1,0,0,79.2,0,0,1.00,1.00,0,0,,0,0.0,0,0
16,2010,2010-12-26,15,24.225,TAM,,SEA,W 38-15,,2,2,100.00,15,0,0,97.9,0,0,7.50,7.50,0,0,,0,0.0,0,0
17,2010,2011-01-02,16,24.232,TAM,@,NOR,W 23-13,,,,,,,,,0,,,,,,,,,,
18,2011,2011-09-11,1,25.119,TAM,,DET,L 20-27,,1,3,33.33,7,0,0,42.4,0,0,2.33,2.33,1,2,2.00,0,0.0,0,0
19,2011,2011-10-03,4,25.141,TAM,,IND,W 24-17,,0,0,,0,0,0,,0,0,,,1,8,8.00,0,0.0,0,0
20,2011,2011-10-09,5,25.147,TAM,@,SFO,L 3-48,,1,2,50.00,7,0,0,58.3,1,2,3.50,3.50,0,0,,0,0.0,0,0
21,2011,2011-11-06,8,25.175,TAM,@,NOR,L 16-27,,0,0,,0,0,0,,0,0,,,1,1,1.00,0,0.0,0,0
22,2011,2011-11-13,9,25.182,TAM,,HOU,L 9-37,,0,2,0.00,0,0,0,39.6,0,0,0.00,0.00,1,0,0.00,0,0.0,0,0
23,2011,2011-11-27,11,25.196,TAM,@,TEN,L 17-23,,0,0,,0,0,0,,0,0,,,1,6,6.00,0,0.0,0,0
24,2011,2011-12-04,12,25.203,TAM,,CAR,L 19-38,*,16,27,59.26,229,1,1,83.7,2,22,8.48,7.56,5,45,9.00,0,0.0,0,0
25,2011,2011-12-11,13,25.210,TAM,@,JAX,L 14-41,,1,2,50.00,3,0,1,16.7,0,0,1.50,-21.00,0,0,,0,0.0,0,0
26,2011,2012-01-01,16,25.231,TAM,@,ATL,L 24-45,,0,0,,0,0,0,,0,0,,,1,5,5.00,0,0.0,0,0
27,2012,2012-12-30,16,26.229,CLE,@,PIT,L 10-24,,0,0,,0,0,0,,1,8,,,0,0,,0,0.0,0,0
28,2013,2013-10-27,8,27.165,CIN,,NYJ,W 49-9,,0,0,,0,0,0,,0,0,,,3,17,5.67,0,0.0,0,0
29,2013,2013-12-22,15,27.221,CIN,,MIN,W 42-14,,0,0,,0,0,0,,0,0,,,4,3,0.75,0,0.0,0,0
