ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rec,rec_yds,rec_yds_per_rec,rec_td,rush_att,rush_yds,rush_yds_per_att,rush_td,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,all_td,scoring
1,1961,1961-12-03,12,23.023,SDG,@,HOU,L 13-33,3,58,19.33,0,0,0,,0,0,0,,0,0,0
2,1962,1962-09-07,1,23.301,SDG,@,DEN,L 21-30,0,0,,0,4,16,4.00,0,0,0,,0,0,0
3,1962,1962-09-16,2,23.310,SDG,,NYT,W 40-14,1,8,8.00,0,4,4,1.00,0,0,0,,0,0,0
4,1962,1962-09-30,4,23.324,SDG,@,OAK,W 42-33,0,0,,0,1,2,2.00,0,0,0,,0,0,0
5,1962,1962-10-07,5,23.331,SDG,,DTX,W 32-28,1,15,15.00,0,0,0,,0,0,0,,0,0,0
6,1962,1962-10-13,6,23.337,SDG,@,BUF,L 10-35,1,7,7.00,0,2,8,4.00,0,0,0,,0,0,0
7,1962,1962-10-19,7,23.343,SDG,@,BOS,L 20-24,0,0,,0,2,7,3.50,0,0,0,,0,0,0
8,1962,1962-10-28,8,23.352,SDG,@,NYT,L 3-23,2,29,14.50,0,12,36,3.00,0,0,0,,0,0,0
9,1962,1962-11-04,9,23.359,SDG,,DEN,L 20-23,2,29,14.50,1,11,48,4.36,0,0,0,,0,1,6
10,1962,1962-11-11,10,24.001,SDG,,BUF,L 20-40,0,0,,0,17,102,6.00,0,0,0,,0,0,0
11,1962,1962-11-25,11,24.015,SDG,@,HOU,L 27-33,1,32,32.00,1,6,17,2.83,0,0,0,,0,1,6
12,1962,1962-12-02,12,24.022,SDG,,OAK,W 31-21,1,5,5.00,0,0,0,,0,0,0,,0,0,0
13,1963,1963-09-29,3,24.323,SDG,,KAN,W 24-10,1,13,13.00,0,0,0,,0,0,0,,0,0,0
14,1963,1963-10-06,4,24.330,SDG,@,DEN,L 34-50,2,68,34.00,1,0,0,,0,0,0,,0,1,6
15,1963,1963-10-13,5,24.337,SDG,,NYJ,W 24-20,1,17,17.00,0,0,0,,0,0,0,,0,0,0
16,1963,1963-10-27,7,24.351,SDG,,OAK,L 33-34,3,111,37.00,1,0,0,,0,0,0,,0,1,6
17,1963,1963-12-01,11,25.021,SDG,,HOU,W 27-0,1,7,7.00,0,0,0,,0,0,0,,0,0,0
18,1963,1963-12-08,12,25.028,SDG,@,OAK,L 27-41,1,5,5.00,1,0,0,,0,0,0,,0,1,6
19,1963,1963-12-22,14,25.042,SDG,,DEN,W 58-20,2,41,20.50,1,0,0,,0,0,0,,0,1,6
20,1964,1964-09-20,2,25.315,SDG,,BOS,L 28-33,1,14,14.00,0,0,0,,0,0,0,,0,0,0
