ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rush_att,rush_yds,rush_yds_per_att,rush_td,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td
1,1960,1960-09-24,1,22.321,PIT,@,DAL,W 35-28,0,0,,0,1,20,20.00,0,0,0,,0
2,1960,1960-10-02,2,22.329,PIT,@,CLE,L 20-28,0,0,,0,2,48,24.00,0,1,1,1.00,0
3,1960,1960-10-09,3,22.336,PIT,,NYG,L 17-19,0,0,,0,2,17,8.50,0,1,5,5.00,0
4,1960,1960-10-23,5,22.350,PIT,@,WAS,T 27-27,0,0,,0,0,0,,0,3,0,0.00,0
5,1960,1960-10-30,6,22.357,PIT,,GNB,L 13-19,4,12,3.00,0,1,25,25.00,0,2,20,10.00,0
6,1960,1960-11-13,8,23.005,PIT,@,NYG,L 24-27,0,0,,0,1,20,20.00,0,2,10,5.00,0
7,1960,1960-11-20,9,23.012,PIT,,CLE,W 14-10,,,,,1,16,16.00,0,,,,
8,1960,1960-11-27,10,23.019,PIT,,WAS,W 22-10,0,0,,0,0,0,,0,1,5,5.00,0
9,1960,1960-12-11,11,23.033,PIT,,PHI,W 27-21,0,0,,0,2,43,21.50,0,0,0,,0
10,1960,1960-12-18,12,23.040,PIT,@,STL,L 7-38,0,0,,0,5,127,25.40,0,1,4,4.00,0
