ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rec,rec_yds,rec_yds_per_rec,rec_td,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,all_td,scoring,def_int,def_int_yds,def_int_td
1,1967,1967-09-17,1,23.028,NYG,@,STL,W 37-20,0,0,,0,0,0,,0,0,0,1,7,0
2,1967,1967-10-15,5,23.056,NYG,@,PIT,W 27-24,1,18,18.00,0,0,0,,0,0,0,0,0,0
3,1967,1967-11-26,11,23.098,NYG,,PHI,W 44-7,0,0,,0,0,0,,0,0,0,1,0,0
4,1968,1968-09-15,1,24.026,NYG,@,PIT,W 34-20,0,0,,0,0,0,,0,0,0,1,0,0
5,1968,1968-10-06,4,24.047,NYG,,NOR,W 38-21,0,0,,0,1,2,2.00,0,0,0,0,0,0
6,1968,1968-11-03,8,24.075,NYG,,BAL,L 0-26,0,0,,0,0,0,,0,0,0,1,4,0
7,1968,1968-11-17,10,24.089,NYG,,PHI,W 7-6,0,0,,0,0,0,,0,0,0,1,0,0
8,1968,1968-11-24,11,24.096,NYG,@,RAM,L 21-24,0,0,,0,0,0,,0,0,0,1,16,0
9,1969,1969-09-28,2,25.039,NYG,@,DET,L 0-24,0,0,,0,0,0,,0,0,0,1,0,0
10,1969,1969-11-02,7,25.074,NYG,,PHI,L 20-23,0,0,,0,0,0,,0,1,6,1,23,1
11,1970,1970-09-19,1,26.030,NYG,,CHI,L 16-24,,,,,,,,,,,,,
12,1970,1970-10-11,4,26.052,NYG,,PHI,W 30-23,0,0,,0,0,0,,0,0,0,1,8,0
13,1970,1970-11-15,9,26.087,NYG,,WAS,W 35-33,,,,,,,,,,,,,
14,1970,1970-11-23,10,26.095,NYG,@,PHI,L 20-23,,,,,,,,,,,,,
15,1970,1970-11-29,11,26.101,NYG,@,WAS,W 27-24,,,,,,,,,,,,,
16,1970,1970-12-06,12,26.108,NYG,,BUF,W 20-6,,,,,,,,,,,,,
17,1970,1970-12-13,13,26.115,NYG,@,STL,W 34-17,0,0,,0,0,0,,0,0,0,1,0,0
18,1970,1970-12-20,14,26.122,NYG,,RAM,L 3-31,,,,,,,,,,,,,
19,1971,1971-09-19,1,27.030,NYG,@,GNB,W 42-40,,,,,,,,,,,,,
20,1971,1971-09-26,2,27.037,NYG,,WAS,L 3-30,,,,,,,,,,,,,
21,1971,1971-10-17,5,27.058,NYG,,BAL,L 7-31,,,,,,,,,,,,,
22,1971,1971-10-24,6,27.065,NYG,@,PHI,L 7-23,,,,,,,,,,,,,
23,1971,1971-10-31,7,27.072,NYG,,MIN,L 10-17,,,,,,,,,,,,,
24,1971,1971-11-07,8,27.079,NYG,,SDG,W 35-17,,,,,,,,,,,,,
25,1971,1971-11-14,9,27.086,NYG,@,ATL,W 21-17,,,,,,,,,,,,,
26,1971,1971-11-21,10,27.093,NYG,@,PIT,L 13-17,,,,,,,,,,,,,
27,1971,1971-11-28,11,27.100,NYG,,STL,L 7-24,0,0,,0,0,0,,0,0,0,1,0,0
28,1971,1971-12-05,12,27.107,NYG,@,WAS,L 7-23,,,,,,,,,,,,,
29,1971,1971-12-12,13,27.114,NYG,,DAL,L 14-42,,,,,,,,,,,,,
30,1971,1971-12-19,14,27.121,NYG,,PHI,L 28-41,,,,,,,,,,,,,
