ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rush_att,rush_yds,rush_yds_per_att,rush_td,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,all_td,scoring
1,1986,1986-09-07,1,24.009,STL,,RAM,L 10-16,0,0,,0,,0,0,,0,,,0,0,,0,0,0,,,,,,0,0,,0,3,46,15.33,0,0,0
2,1986,1986-09-14,2,24.016,STL,@,ATL,L 13-33,0,0,,0,,0,0,,0,,,0,0,,0,0,0,,,,,,2,25,12.50,0,4,36,9.00,0,0,0
3,1986,1986-09-21,3,24.023,STL,@,BUF,L 10-17,0,0,,0,,3,59,19.67,1,,,0,0,,0,0,0,,,,,,2,71,35.50,0,4,31,7.75,0,1,6
4,1986,1986-09-29,4,24.031,STL,,DAL,L 7-31,0,0,,0,,1,-8,-8.00,0,,,0,0,,0,0,0,,,,,,4,103,25.75,0,3,26,8.67,0,0,0
5,1986,1986-10-05,5,24.037,STL,,NYG,L 6-13,0,0,,0,,0,0,,0,,,0,0,,0,0,0,,,,,,0,0,,0,5,87,17.40,0,0,0
6,1986,1986-10-12,6,24.044,STL,@,TAM,W 30-19,2,26,13.00,0,,0,0,,0,,,0,0,,0,0,0,,,,,,3,78,26.00,0,0,0,,0,0,0
7,1986,1986-10-19,7,24.051,STL,@,WAS,L 21-28,0,0,,0,,0,0,,0,,,0,0,,0,0,0,,,,,,2,49,24.50,0,1,8,8.00,0,0,0
8,1986,1986-10-26,8,24.058,STL,@,DAL,L 6-37,0,0,,0,,1,8,8.00,0,,,0,0,,0,0,0,,,,,,3,76,25.33,0,1,13,13.00,0,0,0
9,1986,1986-11-02,9,24.065,STL,,PHI,W 13-10,0,0,,0,,0,0,,0,,,0,0,,0,0,0,,,,,,1,19,19.00,0,3,2,0.67,0,0,0
10,1986,1986-11-09,10,24.072,STL,@,SFO,L 17-43,0,0,,0,,1,16,16.00,0,,,0,0,,0,0,0,,,,,,5,116,23.20,0,0,0,,0,0,0
11,1986,1986-11-16,11,24.079,STL,,NOR,L 7-16,0,0,,0,,1,10,10.00,0,,,0,0,,0,0,0,,,,,,3,55,18.33,0,2,14,7.00,0,0,0
