ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rush_att,rush_yds,rush_yds_per_att,rush_td,rec,rec_yds,rec_yds_per_rec,rec_td,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td
1,1974,1974-11-10,9,23.204,HOU,@,BUF,W 21-9,,,,,,,,,,,,
2,1974,1974-11-17,10,23.211,HOU,,CIN,W 20-3,,,,,,,,,,,,
3,1974,1974-11-24,11,23.218,HOU,,DAL,L 0-10,,,,,,,,,,,,
4,1974,1974-12-01,12,23.225,HOU,@,PIT,W 13-10,,,,,,,,,,,,
5,1974,1974-12-08,13,23.232,HOU,@,DEN,L 14-37,0,0,,0,1,9,9.00,0,0,0,,0
6,1974,1974-12-15,14,23.239,HOU,,CLE,W 28-24,,,,,,,,,,,,
7,1975,1975-09-21,1,24.154,GNB,,DET,L 16-30,9,36,4.00,0,2,5,2.50,0,0,0,,0
8,1975,1975-09-29,2,24.162,GNB,@,DEN,L 13-23,4,2,0.50,0,0,0,,0,0,0,,0
9,1975,1975-10-05,3,24.168,GNB,,MIA,L 7-31,4,18,4.50,0,0,0,,0,0,0,,0
10,1975,1975-10-12,4,24.175,GNB,@,NOR,L 19-20,13,72,5.54,0,3,3,1.00,0,0,0,,0
11,1975,1975-10-26,6,24.189,GNB,,PIT,L 13-16,,,,,,,,,,,,
12,1975,1975-11-02,7,24.196,GNB,,MIN,L 17-28,0,0,,0,0,0,,0,1,26,26.00,0
13,1975,1975-11-09,8,24.203,GNB,@,CHI,L 14-27,0,0,,0,1,3,3.00,0,0,0,,0
14,1975,1975-11-16,9,24.210,GNB,@,DET,L 10-13,,,,,,,,,,,,
15,1975,1975-11-23,10,24.217,GNB,,NYG,W 40-14,3,11,3.67,0,0,0,,0,0,0,,0
16,1975,1975-11-30,11,24.224,GNB,,CHI,W 28-7,,,,,,,,,,,,
17,1975,1975-12-07,12,24.231,GNB,@,MIN,L 3-24,,,,,,,,,,,,
18,1975,1975-12-14,13,24.238,GNB,@,RAM,L 5-22,,,,,,,,,,,,
19,1975,1975-12-21,14,24.245,GNB,,ATL,W 22-13,,,,,,,,,,,,
